RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"409,092","+/-1,302",(X),(X),"196,603",+/-821,(X),(X),"212,489",+/-651,(X),(X)
High school graduate or higher,"356,662","+/-1,678",87.2%,+/-0.4,"170,499","+/-1,011",86.7%,+/-0.5,"186,163","+/-1,157",87.6%,+/-0.5
Bachelor's degree or higher,"134,528","+/-2,152",32.9%,+/-0.5,"65,166","+/-1,388",33.1%,+/-0.7,"69,362","+/-1,346",32.6%,+/-0.6
"White alone, not Hispanic or Latino","386,448",+/-186,(X),(X),"184,228",+/-125,(X),(X),"202,220",+/-96,(X),(X)
High school graduate or higher,"344,659","+/-1,573",89.2%,+/-0.4,"164,053",+/-976,89.0%,+/-0.5,"180,606",+/-976,89.3%,+/-0.5
Bachelor's degree or higher,"131,626","+/-2,064",34.1%,+/-0.5,"63,683","+/-1,419",34.6%,+/-0.8,"67,943","+/-1,260",33.6%,+/-0.6
Black alone,"149,191",+/-721,(X),(X),"64,283",+/-434,(X),(X),"84,908",+/-430,(X),(X)
High school graduate or higher,"125,845","+/-1,234",84.4%,+/-0.7,"52,783",+/-878,82.1%,+/-1.2,"73,062",+/-736,86.0%,+/-0.8
Bachelor's degree or higher,"24,444","+/-1,240",16.4%,+/-0.8,"9,606",+/-702,14.9%,+/-1.1,"14,838",+/-909,17.5%,+/-1.1
American Indian or Alaska Native alone,"1,425",+/-240,(X),(X),756,+/-169,(X),(X),669,+/-141,(X),(X)
High school graduate or higher,"1,116",+/-215,78.3%,+/-7.0,619,+/-158,81.9%,+/-8.3,497,+/-127,74.3%,+/-9.6
Bachelor's degree or higher,174,+/-77,12.2%,+/-5.5,124,+/-63,16.4%,+/-8.1,50,+/-39,7.5%,+/-6.1
Asian alone,"14,437",+/-386,(X),(X),"6,833",+/-262,(X),(X),"7,604",+/-197,(X),(X)
High school graduate or higher,"11,452",+/-490,79.3%,+/-3.0,"5,623",+/-289,82.3%,+/-3.3,"5,829",+/-321,76.7%,+/-4.1
Bachelor's degree or higher,"7,414",+/-555,51.4%,+/-3.8,"3,675",+/-319,53.8%,+/-4.4,"3,739",+/-339,49.2%,+/-4.4
Native Hawaiian and Other Pacific Islander alone,170,+/-135,(X),(X),116,+/-88,(X),(X),54,+/-58,(X),(X)
High school graduate or higher,124,+/-82,72.9%,+/-24.0,70,+/-59,60.3%,+/-41.5,54,+/-58,100.0%,+/-38.8
Bachelor's degree or higher,23,+/-21,13.5%,+/-17.1,23,+/-21,19.8%,+/-23.8,0,+/-27,0.0%,+/-38.8
Some other race alone,"19,832","+/-1,340",(X),(X),"10,995",+/-842,(X),(X),"8,837",+/-663,(X),(X)
High school graduate or higher,"9,879",+/-940,49.8%,+/-3.8,"5,290",+/-605,48.1%,+/-4.7,"4,589",+/-477,51.9%,+/-4.4
Bachelor's degree or higher,"1,457",+/-299,7.3%,+/-1.5,750,+/-236,6.8%,+/-2.0,707,+/-215,8.0%,+/-2.5
Two or more races,"9,152",+/-918,(X),(X),"4,297",+/-541,(X),(X),"4,855",+/-508,(X),(X)
High school graduate or higher,"7,989",+/-849,87.3%,+/-2.1,"3,697",+/-480,86.0%,+/-3.7,"4,292",+/-498,88.4%,+/-3.0
Bachelor's degree or higher,"2,723",+/-378,29.8%,+/-3.7,"1,130",+/-251,26.3%,+/-5.1,"1,593",+/-287,32.8%,+/-5.2
Hispanic or Latino Origin,"43,874",*****,(X),(X),"24,043",*****,(X),(X),"19,831",*****,(X),(X)
High school graduate or higher,"22,751","+/-1,169",51.9%,+/-2.7,"12,154",+/-817,50.6%,+/-3.4,"10,597",+/-577,53.4%,+/-2.9
Bachelor's degree or higher,"4,343",+/-528,9.9%,+/-1.2,"2,195",+/-334,9.1%,+/-1.4,"2,148",+/-350,10.8%,+/-1.8
