RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"144,480",+/-406,(X),(X),"69,287",+/-247,(X),(X),"75,193",+/-206,(X),(X)
High school graduate or higher,"129,175",+/-863,89.4%,+/-0.6,"61,515",+/-553,88.8%,+/-0.8,"67,660",+/-546,90.0%,+/-0.7
Bachelor's degree or higher,"42,408","+/-1,229",29.4%,+/-0.8,"20,658",+/-688,29.8%,+/-1.0,"21,750",+/-807,28.9%,+/-1.1
"White alone, not Hispanic or Latino","138,374",+/-67,(X),(X),"66,099",+/-36,(X),(X),"72,275",+/-53,(X),(X)
High school graduate or higher,"125,576",+/-788,90.8%,+/-0.6,"59,781",+/-514,90.4%,+/-0.8,"65,795",+/-504,91.0%,+/-0.7
Bachelor's degree or higher,"41,337","+/-1,228",29.9%,+/-0.9,"20,203",+/-665,30.6%,+/-1.0,"21,134",+/-815,29.2%,+/-1.1
Black alone,"19,091",+/-173,(X),(X),"8,440",+/-140,(X),(X),"10,651",+/-116,(X),(X)
High school graduate or higher,"15,732",+/-385,82.4%,+/-1.8,"7,071",+/-243,83.8%,+/-2.5,"8,661",+/-284,81.3%,+/-2.7
Bachelor's degree or higher,"2,654",+/-371,13.9%,+/-1.9,"1,215",+/-222,14.4%,+/-2.6,"1,439",+/-254,13.5%,+/-2.4
American Indian or Alaska Native alone,605,+/-136,(X),(X),292,+/-86,(X),(X),313,+/-96,(X),(X)
High school graduate or higher,481,+/-123,79.5%,+/-13.4,237,+/-83,81.2%,+/-19.3,244,+/-88,78.0%,+/-11.4
Bachelor's degree or higher,60,+/-29,9.9%,+/-4.6,26,+/-20,8.9%,+/-6.8,34,+/-22,10.9%,+/-6.5
Asian alone,"3,327",+/-161,(X),(X),"1,510",+/-133,(X),(X),"1,817",+/-83,(X),(X)
High school graduate or higher,"3,054",+/-188,91.8%,+/-3.1,"1,457",+/-134,96.5%,+/-2.8,"1,597",+/-114,87.9%,+/-5.0
Bachelor's degree or higher,"2,259",+/-235,67.9%,+/-6.0,"1,167",+/-156,77.3%,+/-6.7,"1,092",+/-145,60.1%,+/-7.8
Native Hawaiian and Other Pacific Islander alone,138,+/-53,(X),(X),78,+/-35,(X),(X),60,+/-31,(X),(X)
High school graduate or higher,131,+/-52,94.9%,+/-7.6,71,+/-34,91.0%,+/-13.1,60,+/-31,100.0%,+/-36.7
Bachelor's degree or higher,10,+/-13,7.2%,+/-9.8,10,+/-13,12.8%,+/-16.3,0,+/-27,0.0%,+/-36.7
Some other race alone,"2,836",+/-394,(X),(X),"1,444",+/-215,(X),(X),"1,392",+/-221,(X),(X)
High school graduate or higher,"1,526",+/-297,53.8%,+/-7.9,796,+/-183,55.1%,+/-9.7,730,+/-169,52.4%,+/-9.0
Bachelor's degree or higher,241,+/-102,8.5%,+/-3.6,107,+/-65,7.4%,+/-4.5,134,+/-62,9.6%,+/-4.5
Two or more races,"2,377",+/-329,(X),(X),"1,261",+/-251,(X),(X),"1,116",+/-183,(X),(X)
High school graduate or higher,"1,986",+/-312,83.6%,+/-4.3,"1,060",+/-235,84.1%,+/-6.1,926,+/-196,83.0%,+/-6.7
Bachelor's degree or higher,679,+/-181,28.6%,+/-6.6,333,+/-120,26.4%,+/-8.0,346,+/-135,31.0%,+/-9.5
Hispanic or Latino Origin,"9,568",*****,(X),(X),"5,000",*****,(X),(X),"4,568",*****,(X),(X)
High school graduate or higher,"5,526",+/-346,57.8%,+/-3.6,"2,779",+/-252,55.6%,+/-5.0,"2,747",+/-199,60.1%,+/-4.4
Bachelor's degree or higher,"1,435",+/-181,15.0%,+/-1.9,604,+/-130,12.1%,+/-2.6,831,+/-144,18.2%,+/-3.1
