RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"145,032",+/-429,(X),(X),"69,727",+/-246,(X),(X),"75,305",+/-271,(X),(X)
High school graduate or higher,"129,789",+/-955,89.5%,+/-0.6,"61,877",+/-617,88.7%,+/-0.8,"67,912",+/-616,90.2%,+/-0.7
Bachelor's degree or higher,"43,657","+/-1,314",30.1%,+/-0.9,"21,394",+/-826,30.7%,+/-1.2,"22,263",+/-829,29.6%,+/-1.1
"White alone, not Hispanic or Latino","138,418",+/-37,(X),(X),"66,236",+/-26,(X),(X),"72,182",+/-24,(X),(X)
High school graduate or higher,"125,609",+/-831,90.7%,+/-0.6,"59,775",+/-534,90.2%,+/-0.8,"65,834",+/-543,91.2%,+/-0.8
Bachelor's degree or higher,"42,462","+/-1,268",30.7%,+/-0.9,"20,813",+/-801,31.4%,+/-1.2,"21,649",+/-825,30.0%,+/-1.1
Black alone,"19,472",+/-214,(X),(X),"8,645",+/-149,(X),(X),"10,827",+/-159,(X),(X)
High school graduate or higher,"15,858",+/-414,81.4%,+/-2.0,"7,303",+/-244,84.5%,+/-2.3,"8,555",+/-345,79.0%,+/-2.8
Bachelor's degree or higher,"2,701",+/-414,13.9%,+/-2.1,"1,359",+/-257,15.7%,+/-3.0,"1,342",+/-235,12.4%,+/-2.2
American Indian or Alaska Native alone,690,+/-157,(X),(X),340,+/-103,(X),(X),350,+/-106,(X),(X)
High school graduate or higher,488,+/-159,70.7%,+/-15.6,230,+/-90,67.6%,+/-20.2,258,+/-110,73.7%,+/-15.9
Bachelor's degree or higher,57,+/-41,8.3%,+/-6.0,31,+/-33,9.1%,+/-10.2,26,+/-21,7.4%,+/-6.0
Asian alone,"3,645",+/-190,(X),(X),"1,717",+/-133,(X),(X),"1,928",+/-127,(X),(X)
High school graduate or higher,"3,308",+/-252,90.8%,+/-4.9,"1,604",+/-157,93.4%,+/-4.8,"1,704",+/-161,88.4%,+/-6.6
Bachelor's degree or higher,"2,465",+/-304,67.6%,+/-7.7,"1,248",+/-203,72.7%,+/-9.4,"1,217",+/-170,63.1%,+/-8.4
Native Hawaiian and Other Pacific Islander alone,170,+/-50,(X),(X),92,+/-39,(X),(X),78,+/-34,(X),(X)
High school graduate or higher,162,+/-48,95.3%,+/-6.7,84,+/-37,91.3%,+/-12.5,78,+/-34,100.0%,+/-30.9
Bachelor's degree or higher,34,+/-36,20.0%,+/-21.6,9,+/-12,9.8%,+/-12.9,25,+/-34,32.1%,+/-37.4
Some other race alone,"2,980",+/-371,(X),(X),"1,500",+/-236,(X),(X),"1,480",+/-234,(X),(X)
High school graduate or higher,"1,559",+/-295,52.3%,+/-7.4,717,+/-204,47.8%,+/-10.9,842,+/-184,56.9%,+/-7.9
Bachelor's degree or higher,245,+/-104,8.2%,+/-3.5,91,+/-56,6.1%,+/-3.8,154,+/-81,10.4%,+/-5.3
Two or more races,"2,466",+/-314,(X),(X),"1,219",+/-214,(X),(X),"1,247",+/-242,(X),(X)
High school graduate or higher,"2,149",+/-294,87.1%,+/-4.3,"1,108",+/-213,90.9%,+/-5.2,"1,041",+/-218,83.5%,+/-5.6
Bachelor's degree or higher,465,+/-131,18.9%,+/-4.8,165,+/-72,13.5%,+/-5.7,300,+/-116,24.1%,+/-7.6
Hispanic or Latino Origin,"10,198",*****,(X),(X),"5,327",*****,(X),(X),"4,871",*****,(X),(X)
High school graduate or higher,"6,155",+/-322,60.4%,+/-3.2,"3,117",+/-237,58.5%,+/-4.4,"3,038",+/-199,62.4%,+/-4.1
Bachelor's degree or higher,"1,538",+/-217,15.1%,+/-2.1,752,+/-174,14.1%,+/-3.3,786,+/-146,16.1%,+/-3.0
