Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"29,894",+/-88,(X),(X),"14,379",+/-37,(X),(X),"15,515",+/-72,(X),(X)
Less than high school graduate,"3,878",+/-401,13.0%,+/-1.3,"1,999",+/-259,13.9%,+/-1.8,"1,879",+/-306,12.1%,+/-2.0
High school graduate (includes equivalency),"9,340",+/-499,31.2%,+/-1.7,"4,890",+/-383,34.0%,+/-2.7,"4,450",+/-378,28.7%,+/-2.4
Some college or associate's degree,"13,488",+/-715,45.1%,+/-2.4,"5,870",+/-485,40.8%,+/-3.3,"7,618",+/-490,49.1%,+/-3.2
Bachelor's degree or higher,"3,188",+/-545,10.7%,+/-1.8,"1,620",+/-430,11.3%,+/-3.0,"1,568",+/-259,10.1%,+/-1.7
Population 25 years and over,"174,455",+/-87,(X),(X),"83,240",+/-57,(X),(X),"91,215",+/-67,(X),(X)
Less than 9th grade,"6,560",+/-504,3.8%,+/-0.3,"3,252",+/-321,3.9%,+/-0.4,"3,308",+/-361,3.6%,+/-0.4
"9th to 12th grade, no diploma","14,582",+/-862,8.4%,+/-0.5,"7,065",+/-536,8.5%,+/-0.6,"7,517",+/-541,8.2%,+/-0.6
High school graduate (includes equivalency),"53,575","+/-1,316",30.7%,+/-0.8,"26,071",+/-887,31.3%,+/-1.1,"27,504",+/-913,30.2%,+/-1.0
"Some college, no degree","36,587","+/-1,114",21.0%,+/-0.6,"17,042",+/-819,20.5%,+/-1.0,"19,545",+/-741,21.4%,+/-0.8
Associate's degree,"13,527",+/-735,7.8%,+/-0.4,"5,513",+/-480,6.6%,+/-0.6,"8,014",+/-549,8.8%,+/-0.6
Bachelor's degree,"30,387","+/-1,087",17.4%,+/-0.6,"14,251",+/-748,17.1%,+/-0.9,"16,136",+/-701,17.7%,+/-0.8
Graduate or professional degree,"19,237",+/-776,11.0%,+/-0.4,"10,046",+/-531,12.1%,+/-0.6,"9,191",+/-495,10.1%,+/-0.5
Percent high school graduate or higher,(X),(X),87.9%,+/-0.6,(X),(X),87.6%,+/-0.7,(X),(X),88.1%,+/-0.7
Percent bachelor's degree or higher,(X),(X),28.4%,+/-0.8,(X),(X),29.2%,+/-1.1,(X),(X),27.8%,+/-0.9
Population 25 to 34 years,"34,979",+/-114,(X),(X),"17,408",+/-79,(X),(X),"17,571",+/-67,(X),(X)
High school graduate or higher,"31,355",+/-367,89.6%,+/-1.1,"15,368",+/-278,88.3%,+/-1.6,"15,987",+/-245,91.0%,+/-1.4
Bachelor's degree or higher,"11,647",+/-746,33.3%,+/-2.2,"5,492",+/-463,31.5%,+/-2.7,"6,155",+/-443,35.0%,+/-2.5
Population 35 to 44 years,"31,754",+/-108,(X),(X),"15,611",+/-102,(X),(X),"16,143",+/-51,(X),(X)
High school graduate or higher,"28,226",+/-380,88.9%,+/-1.2,"13,813",+/-249,88.5%,+/-1.7,"14,413",+/-264,89.3%,+/-1.6
Bachelor's degree or higher,"9,963",+/-635,31.4%,+/-2.0,"4,479",+/-372,28.7%,+/-2.4,"5,484",+/-431,34.0%,+/-2.7
Population 45 to 64 years,"68,143",+/-135,(X),(X),"33,116",+/-130,(X),(X),"35,027",+/-61,(X),(X)
High school graduate or higher,"60,964",+/-455,89.5%,+/-0.7,"29,181",+/-344,88.1%,+/-1.1,"31,783",+/-300,90.7%,+/-0.9
Bachelor's degree or higher,"19,297",+/-690,28.3%,+/-1.0,"9,380",+/-433,28.3%,+/-1.3,"9,917",+/-495,28.3%,+/-1.4
Population 65 years and over,"39,579",+/-57,(X),(X),"17,105",+/-57,(X),(X),"22,474",+/-2,(X),(X)
High school graduate or higher,"32,768",+/-488,82.8%,+/-1.2,"14,561",+/-273,85.1%,+/-1.6,"18,207",+/-332,81.0%,+/-1.5
Bachelor's degree or higher,"8,717",+/-506,22.0%,+/-1.3,"4,946",+/-342,28.9%,+/-2.0,"3,771",+/-321,16.8%,+/-1.4
