Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"29,901",+/-64,(X),(X),"14,335",+/-10,(X),(X),"15,566",+/-63,(X),(X)
Less than high school graduate,"4,043",+/-346,13.5%,+/-1.2,"2,164",+/-329,15.1%,+/-2.3,"1,879",+/-218,12.1%,+/-1.4
High school graduate (includes equivalency),"9,536",+/-485,31.9%,+/-1.6,"4,895",+/-374,34.1%,+/-2.6,"4,641",+/-322,29.8%,+/-2.1
Some college or associate's degree,"13,267",+/-554,44.4%,+/-1.9,"5,828",+/-433,40.7%,+/-3.0,"7,439",+/-381,47.8%,+/-2.5
Bachelor's degree or higher,"3,055",+/-457,10.2%,+/-1.5,"1,448",+/-407,10.1%,+/-2.8,"1,607",+/-240,10.3%,+/-1.5
Population 25 years and over,"172,854",+/-72,(X),(X),"82,312",+/-33,(X),(X),"90,542",+/-63,(X),(X)
Less than 9th grade,"6,170",+/-498,3.6%,+/-0.3,"3,044",+/-359,3.7%,+/-0.4,"3,126",+/-293,3.5%,+/-0.3
"9th to 12th grade, no diploma","14,599",+/-811,8.4%,+/-0.5,"7,061",+/-506,8.6%,+/-0.6,"7,538",+/-569,8.3%,+/-0.6
High school graduate (includes equivalency),"53,853","+/-1,235",31.2%,+/-0.7,"25,883",+/-852,31.4%,+/-1.0,"27,970",+/-898,30.9%,+/-1.0
"Some college, no degree","36,686","+/-1,107",21.2%,+/-0.6,"17,296",+/-698,21.0%,+/-0.8,"19,390",+/-703,21.4%,+/-0.8
Associate's degree,"13,235",+/-658,7.7%,+/-0.4,"5,512",+/-433,6.7%,+/-0.5,"7,723",+/-500,8.5%,+/-0.6
Bachelor's degree,"29,255",+/-991,16.9%,+/-0.6,"13,839",+/-671,16.8%,+/-0.8,"15,416",+/-684,17.0%,+/-0.8
Graduate or professional degree,"19,056",+/-878,11.0%,+/-0.5,"9,677",+/-550,11.8%,+/-0.7,"9,379",+/-561,10.4%,+/-0.6
Percent high school graduate or higher,(X),(X),88.0%,+/-0.5,(X),(X),87.7%,+/-0.8,(X),(X),88.2%,+/-0.7
Percent bachelor's degree or higher,(X),(X),27.9%,+/-0.8,(X),(X),28.6%,+/-0.9,(X),(X),27.4%,+/-1.0
Population 25 to 34 years,"34,405",+/-80,(X),(X),"17,075",+/-55,(X),(X),"17,330",+/-56,(X),(X)
High school graduate or higher,"30,963",+/-362,90.0%,+/-1.0,"15,187",+/-266,88.9%,+/-1.5,"15,776",+/-244,91.0%,+/-1.4
Bachelor's degree or higher,"11,299",+/-625,32.8%,+/-1.8,"4,927",+/-356,28.9%,+/-2.1,"6,372",+/-448,36.8%,+/-2.6
Population 35 to 44 years,"31,908",+/-75,(X),(X),"15,630",+/-56,(X),(X),"16,278",+/-56,(X),(X)
High school graduate or higher,"28,512",+/-361,89.4%,+/-1.1,"13,697",+/-284,87.6%,+/-1.9,"14,815",+/-178,91.0%,+/-1.1
Bachelor's degree or higher,"9,657",+/-532,30.3%,+/-1.7,"4,422",+/-301,28.3%,+/-1.9,"5,235",+/-368,32.2%,+/-2.3
Population 45 to 64 years,"69,017",+/-114,(X),(X),"33,672",+/-86,(X),(X),"35,345",+/-55,(X),(X)
High school graduate or higher,"61,925",+/-559,89.7%,+/-0.8,"29,999",+/-351,89.1%,+/-1.0,"31,926",+/-368,90.3%,+/-1.0
Bachelor's degree or higher,"19,465",+/-840,28.2%,+/-1.2,"9,699",+/-528,28.8%,+/-1.6,"9,766",+/-525,27.6%,+/-1.5
Population 65 years and over,"37,524",+/-50,(X),(X),"15,935",+/-50,(X),(X),"21,589",+/-6,(X),(X)
High school graduate or higher,"30,685",+/-493,81.8%,+/-1.3,"13,324",+/-243,83.6%,+/-1.5,"17,361",+/-378,80.4%,+/-1.7
Bachelor's degree or higher,"7,890",+/-438,21.0%,+/-1.2,"4,468",+/-293,28.0%,+/-1.8,"3,422",+/-297,15.9%,+/-1.4
