RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"33,115",+/-91,(X),(X),"16,268",+/-71,(X),(X),"16,847",+/-69,(X),(X)
High school graduate or higher,"29,978",+/-398,90.5%,+/-1.2,"14,601",+/-286,89.8%,+/-1.7,"15,377",+/-235,91.3%,+/-1.3
Bachelor's degree or higher,"6,486",+/-520,19.6%,+/-1.6,"2,992",+/-304,18.4%,+/-1.9,"3,494",+/-333,20.7%,+/-2.0
"White alone, not Hispanic or Latino","32,966",+/-44,(X),(X),"16,180",+/-20,(X),(X),"16,786",+/-30,(X),(X)
High school graduate or higher,"29,861",+/-386,90.6%,+/-1.2,"14,545",+/-280,89.9%,+/-1.7,"15,316",+/-218,91.2%,+/-1.3
Bachelor's degree or higher,"6,462",+/-521,19.6%,+/-1.6,"2,968",+/-302,18.3%,+/-1.9,"3,494",+/-333,20.8%,+/-2.0
Black alone,237,+/-72,(X),(X),137,+/-49,(X),(X),100,+/-41,(X),(X)
High school graduate or higher,211,+/-77,89.0%,+/-12.2,123,+/-46,89.8%,+/-14.1,88,+/-46,88.0%,+/-20.4
Bachelor's degree or higher,34,+/-32,14.3%,+/-14.2,20,+/-24,14.6%,+/-17.2,14,+/-23,14.0%,+/-23.9
American Indian or Alaska Native alone,127,+/-46,(X),(X),30,+/-22,(X),(X),97,+/-46,(X),(X)
High school graduate or higher,92,+/-51,72.4%,+/-24.8,21,+/-20,70.0%,+/-38.5,71,+/-55,73.2%,+/-28.9
Bachelor's degree or higher,29,+/-23,22.8%,+/-14.0,13,+/-16,43.3%,+/-42.6,16,+/-24,16.5%,+/-20.5
Asian alone,205,+/-34,(X),(X),86,+/-28,(X),(X),119,+/-36,(X),(X)
High school graduate or higher,176,+/-42,85.9%,+/-13.5,68,+/-36,79.1%,+/-26.4,108,+/-37,90.8%,+/-12.8
Bachelor's degree or higher,70,+/-43,34.1%,+/-21.5,23,+/-22,26.7%,+/-23.7,47,+/-37,39.5%,+/-28.3
Native Hawaiian and Other Pacific Islander alone,26,+/-46,(X),(X),13,+/-23,(X),(X),13,+/-23,(X),(X)
High school graduate or higher,26,+/-46,100.0%,+/-55.9,13,+/-23,100.0%,+/-79.0,13,+/-23,100.0%,+/-79.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-55.9,0,+/-24,0.0%,+/-79.0,0,+/-24,0.0%,+/-79.0
Some other race alone,171,+/-120,(X),(X),89,+/-79,(X),(X),82,+/-70,(X),(X)
High school graduate or higher,153,+/-116,89.5%,+/-13.6,89,+/-79,100.0%,+/-27.9,64,+/-65,78.0%,+/-29.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-16.0,0,+/-24,0.0%,+/-27.9,0,+/-24,0.0%,+/-29.7
Two or more races,109,+/-58,(X),(X),46,+/-45,(X),(X),63,+/-43,(X),(X)
High school graduate or higher,91,+/-51,83.5%,+/-18.1,32,+/-37,69.6%,+/-39.3,59,+/-44,93.7%,+/-9.1
Bachelor's degree or higher,0,+/-24,0.0%,+/-23.7,0,+/-24,0.0%,+/-42.0,0,+/-24,0.0%,+/-35.6
Hispanic or Latino Origin,302,+/-77,(X),(X),165,+/-103,(X),(X),137,+/-54,(X),(X)
High school graduate or higher,267,+/-79,88.4%,+/-10.1,133,+/-97,80.6%,+/-16.5,134,+/-55,97.8%,+/-3.9
Bachelor's degree or higher,24,+/-32,7.9%,+/-9.9,24,+/-32,14.5%,+/-15.8,0,+/-24,0.0%,+/-19.5
