Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,981",+/-122,(X),(X),"2,137",+/-118,(X),(X),"1,844",+/-31,(X),(X)
Less than high school graduate,919,+/-236,23.1%,+/-5.6,511,+/-170,23.9%,+/-7.1,408,+/-134,22.1%,+/-7.3
High school graduate (includes equivalency),"1,084",+/-221,27.2%,+/-5.6,667,+/-145,31.2%,+/-7.0,417,+/-134,22.6%,+/-7.2
Some college or associate's degree,"1,713",+/-258,43.0%,+/-6.6,796,+/-155,37.2%,+/-7.6,917,+/-181,49.7%,+/-9.9
Bachelor's degree or higher,265,+/-79,6.7%,+/-2.0,163,+/-61,7.6%,+/-2.9,102,+/-55,5.5%,+/-3.0
Population 25 years and over,"33,990",+/-86,(X),(X),"16,669",+/-119,(X),(X),"17,321",+/-75,(X),(X)
Less than 9th grade,995,+/-212,2.9%,+/-0.6,622,+/-165,3.7%,+/-1.0,373,+/-137,2.2%,+/-0.8
"9th to 12th grade, no diploma","2,268",+/-324,6.7%,+/-1.0,"1,100",+/-216,6.6%,+/-1.3,"1,168",+/-199,6.7%,+/-1.1
High school graduate (includes equivalency),"13,475",+/-535,39.6%,+/-1.6,"6,886",+/-382,41.3%,+/-2.3,"6,589",+/-435,38.0%,+/-2.5
"Some college, no degree","7,344",+/-556,21.6%,+/-1.6,"3,719",+/-300,22.3%,+/-1.8,"3,625",+/-409,20.9%,+/-2.4
Associate's degree,"3,289",+/-413,9.7%,+/-1.2,"1,294",+/-191,7.8%,+/-1.1,"1,995",+/-323,11.5%,+/-1.9
Bachelor's degree,"4,472",+/-416,13.2%,+/-1.2,"2,133",+/-250,12.8%,+/-1.5,"2,339",+/-284,13.5%,+/-1.6
Graduate or professional degree,"2,147",+/-293,6.3%,+/-0.9,915,+/-179,5.5%,+/-1.1,"1,232",+/-242,7.1%,+/-1.4
Percent high school graduate or higher,(X),(X),90.4%,+/-1.2,(X),(X),89.7%,+/-1.7,(X),(X),91.1%,+/-1.3
Percent bachelor's degree or higher,(X),(X),19.5%,+/-1.5,(X),(X),18.3%,+/-1.8,(X),(X),20.6%,+/-1.9
Population 25 to 34 years,"5,449",+/-125,(X),(X),"2,725",+/-65,(X),(X),"2,724",+/-85,(X),(X)
High school graduate or higher,"5,053",+/-160,92.7%,+/-2.1,"2,488",+/-107,91.3%,+/-3.3,"2,565",+/-113,94.2%,+/-2.8
Bachelor's degree or higher,"1,009",+/-200,18.5%,+/-3.7,396,+/-109,14.5%,+/-4.0,613,+/-140,22.5%,+/-5.3
Population 35 to 44 years,"6,343",+/-92,(X),(X),"3,221",+/-78,(X),(X),"3,122",+/-42,(X),(X)
High school graduate or higher,"5,847",+/-199,92.2%,+/-2.9,"2,866",+/-145,89.0%,+/-4.0,"2,981",+/-83,95.5%,+/-2.6
Bachelor's degree or higher,"1,562",+/-253,24.6%,+/-4.0,550,+/-157,17.1%,+/-4.8,"1,012",+/-185,32.4%,+/-6.0
Population 45 to 64 years,"14,946",+/-90,(X),(X),"7,394",+/-63,(X),(X),"7,552",+/-86,(X),(X)
High school graduate or higher,"13,697",+/-229,91.6%,+/-1.5,"6,626",+/-176,89.6%,+/-2.4,"7,071",+/-165,93.6%,+/-1.8
Bachelor's degree or higher,"2,895",+/-356,19.4%,+/-2.4,"1,437",+/-221,19.4%,+/-3.0,"1,458",+/-223,19.3%,+/-3.0
Population 65 years and over,"7,252",+/-56,(X),(X),"3,329",+/-37,(X),(X),"3,923",+/-39,(X),(X)
High school graduate or higher,"6,130",+/-190,84.5%,+/-2.6,"2,967",+/-103,89.1%,+/-2.9,"3,163",+/-156,80.6%,+/-4.0
Bachelor's degree or higher,"1,153",+/-218,15.9%,+/-3.0,665,+/-153,20.0%,+/-4.6,488,+/-126,12.4%,+/-3.2
