RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"10,876",+/-50,(X),(X),"5,396",+/-50,(X),(X),"5,480",+/-35,(X),(X)
High school graduate or higher,"9,877",+/-214,90.8%,+/-1.9,"4,846",+/-160,89.8%,+/-3.0,"5,031",+/-122,91.8%,+/-2.2
Bachelor's degree or higher,"2,812",+/-332,25.9%,+/-3.1,"1,290",+/-200,23.9%,+/-3.7,"1,522",+/-193,27.8%,+/-3.5
"White alone, not Hispanic or Latino","10,775",+/-15,(X),(X),"5,328",+/-18,(X),(X),"5,447",+/-15,(X),(X)
High school graduate or higher,"9,800",+/-202,91.0%,+/-1.9,"4,802",+/-155,90.1%,+/-2.9,"4,998",+/-118,91.8%,+/-2.2
Bachelor's degree or higher,"2,800",+/-330,26.0%,+/-3.1,"1,290",+/-200,24.2%,+/-3.7,"1,510",+/-190,27.7%,+/-3.5
Black alone,45,+/-38,(X),(X),24,+/-34,(X),(X),21,+/-30,(X),(X)
High school graduate or higher,45,+/-38,100.0%,+/-42.5,24,+/-34,100.0%,+/-58.2,21,+/-30,100.0%,+/-62.2
Bachelor's degree or higher,34,+/-34,75.6%,+/-39.7,13,+/-25,54.2%,+/-54.2,21,+/-30,100.0%,+/-62.2
American Indian or Alaska Native alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Asian alone,119,+/-86,(X),(X),0,+/-18,(X),(X),119,+/-86,(X),(X)
High school graduate or higher,52,+/-55,43.7%,+/-44.5,0,+/-18,-,**,52,+/-55,43.7%,+/-44.5
Bachelor's degree or higher,0,+/-18,0.0%,+/-22.0,0,+/-18,-,**,0,+/-18,0.0%,+/-22.0
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,36,+/-31,(X),(X),7,+/-13,(X),(X),29,+/-30,(X),(X)
High school graduate or higher,36,+/-31,100.0%,+/-47.5,7,+/-13,100.0%,+/-100.0,29,+/-30,100.0%,+/-52.9
Bachelor's degree or higher,0,+/-18,0.0%,+/-47.5,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-52.9
Two or more races,178,+/-91,(X),(X),111,+/-87,(X),(X),67,+/-58,(X),(X)
High school graduate or higher,120,+/-61,67.4%,+/-19.6,81,+/-57,73.0%,+/-20.4,39,+/-37,58.2%,+/-44.5
Bachelor's degree or higher,19,+/-23,10.7%,+/-12.7,13,+/-23,11.7%,+/-22.1,6,+/-11,9.0%,+/-17.0
Hispanic or Latino Origin,163,+/-16,(X),(X),81,+/-49,(X),(X),82,+/-45,(X),(X)
High school graduate or higher,129,+/-35,79.1%,+/-20.0,57,+/-36,70.4%,+/-32.7,72,+/-42,87.8%,+/-17.7
Bachelor's degree or higher,12,+/-18,7.4%,+/-11.2,0,+/-18,0.0%,+/-30.0,12,+/-18,14.6%,+/-22.2
