Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,975,+/-16,(X),(X),482,+/-18,(X),(X),493,+/-16,(X),(X)
Less than high school graduate,336,+/-125,34.5%,+/-12.8,177,+/-73,36.7%,+/-15.2,159,+/-79,32.3%,+/-15.8
High school graduate (includes equivalency),301,+/-123,30.9%,+/-12.6,145,+/-98,30.1%,+/-20.3,156,+/-67,31.6%,+/-13.5
Some college or associate's degree,233,+/-123,23.9%,+/-12.6,99,+/-70,20.5%,+/-14.5,134,+/-73,27.2%,+/-14.8
Bachelor's degree or higher,105,+/-85,10.8%,+/-8.7,61,+/-68,12.7%,+/-14.1,44,+/-44,8.9%,+/-8.9
Population 25 years and over,"11,254",+/-43,(X),(X),"5,538",+/-103,(X),(X),"5,716",+/-104,(X),(X)
Less than 9th grade,251,+/-108,2.2%,+/-1.0,156,+/-82,2.8%,+/-1.5,95,+/-48,1.7%,+/-0.8
"9th to 12th grade, no diploma",873,+/-220,7.8%,+/-2.0,424,+/-147,7.7%,+/-2.7,449,+/-153,7.9%,+/-2.6
High school graduate (includes equivalency),"3,904",+/-400,34.7%,+/-3.5,"2,104",+/-237,38.0%,+/-4.3,"1,800",+/-253,31.5%,+/-4.5
"Some college, no degree","2,484",+/-313,22.1%,+/-2.8,"1,235",+/-214,22.3%,+/-3.8,"1,249",+/-189,21.9%,+/-3.2
Associate's degree,877,+/-181,7.8%,+/-1.6,303,+/-113,5.5%,+/-2.0,574,+/-125,10.0%,+/-2.2
Bachelor's degree,"1,421",+/-228,12.6%,+/-2.0,680,+/-165,12.3%,+/-3.0,741,+/-150,13.0%,+/-2.6
Graduate or professional degree,"1,444",+/-233,12.8%,+/-2.1,636,+/-124,11.5%,+/-2.3,808,+/-171,14.1%,+/-3.0
Percent high school graduate or higher,(X),(X),90.0%,+/-2.0,(X),(X),89.5%,+/-2.9,(X),(X),90.5%,+/-2.6
Percent bachelor's degree or higher,(X),(X),25.5%,+/-3.0,(X),(X),23.8%,+/-3.7,(X),(X),27.1%,+/-3.4
Population 25 to 34 years,"1,289",+/-42,(X),(X),656,+/-31,(X),(X),633,+/-33,(X),(X)
High school graduate or higher,"1,180",+/-93,91.5%,+/-5.5,598,+/-61,91.2%,+/-7.5,582,+/-67,91.9%,+/-8.1
Bachelor's degree or higher,241,+/-99,18.7%,+/-7.6,66,+/-47,10.1%,+/-7.0,175,+/-73,27.6%,+/-11.4
Population 35 to 44 years,"1,602",+/-56,(X),(X),857,+/-55,(X),(X),745,+/-18,(X),(X)
High school graduate or higher,"1,476",+/-85,92.1%,+/-4.9,761,+/-80,88.8%,+/-8.2,715,+/-38,96.0%,+/-4.3
Bachelor's degree or higher,516,+/-109,32.2%,+/-6.9,272,+/-80,31.7%,+/-9.7,244,+/-102,32.8%,+/-13.7
Population 45 to 64 years,"4,916",+/-75,(X),(X),"2,413",+/-59,(X),(X),"2,503",+/-55,(X),(X)
High school graduate or higher,"4,581",+/-135,93.2%,+/-2.2,"2,238",+/-105,92.7%,+/-3.6,"2,343",+/-88,93.6%,+/-3.2
Bachelor's degree or higher,"1,226",+/-195,24.9%,+/-3.9,561,+/-145,23.2%,+/-6.0,665,+/-123,26.6%,+/-5.0
Population 65 years and over,"3,447",+/-59,(X),(X),"1,612",+/-42,(X),(X),"1,835",+/-84,(X),(X)
High school graduate or higher,"2,893",+/-125,83.9%,+/-3.5,"1,361",+/-81,84.4%,+/-5.8,"1,532",+/-93,83.5%,+/-5.8
Bachelor's degree or higher,882,+/-141,25.6%,+/-4.1,417,+/-90,25.9%,+/-5.7,465,+/-88,25.3%,+/-5.0
