RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"10,815",+/-57,(X),(X),"5,411",+/-49,(X),(X),"5,404",+/-29,(X),(X)
High school graduate or higher,"9,767",+/-220,90.3%,+/-1.9,"4,834",+/-149,89.3%,+/-2.6,"4,933",+/-112,91.3%,+/-1.9
Bachelor's degree or higher,"2,446",+/-277,22.6%,+/-2.6,"1,115",+/-192,20.6%,+/-3.5,"1,331",+/-154,24.6%,+/-2.9
"White alone, not Hispanic or Latino","10,717",+/-15,(X),(X),"5,326",+/-18,(X),(X),"5,391",+/-15,(X),(X)
High school graduate or higher,"9,695",+/-213,90.5%,+/-2.0,"4,775",+/-147,89.7%,+/-2.8,"4,920",+/-106,91.3%,+/-1.9
Bachelor's degree or higher,"2,433",+/-278,22.7%,+/-2.6,"1,115",+/-192,20.9%,+/-3.6,"1,318",+/-157,24.4%,+/-2.9
Black alone,20,+/-26,(X),(X),8,+/-13,(X),(X),12,+/-22,(X),(X)
High school graduate or higher,19,+/-25,95.0%,+/-22.9,8,+/-13,100.0%,+/-100.0,11,+/-21,91.7%,+/-45.7
Bachelor's degree or higher,11,+/-21,55.0%,+/-55.0,0,+/-18,0.0%,+/-100.0,11,+/-21,91.7%,+/-45.7
American Indian or Alaska Native alone,10,+/-18,(X),(X),0,+/-18,(X),(X),10,+/-18,(X),(X)
High school graduate or higher,10,+/-18,100.0%,+/-90.1,0,+/-18,-,**,10,+/-18,100.0%,+/-90.1
Bachelor's degree or higher,0,+/-18,0.0%,+/-90.1,0,+/-18,-,**,0,+/-18,0.0%,+/-90.1
Asian alone,51,+/-55,(X),(X),0,+/-18,(X),(X),51,+/-55,(X),(X)
High school graduate or higher,8,+/-14,15.7%,+/-29.2,0,+/-18,-,**,8,+/-14,15.7%,+/-29.2
Bachelor's degree or higher,0,+/-18,0.0%,+/-39.9,0,+/-18,-,**,0,+/-18,0.0%,+/-39.9
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,4,+/-8,(X),(X),0,+/-18,(X),(X),4,+/-8,(X),(X)
High school graduate or higher,4,+/-8,100.0%,+/-100.0,0,+/-18,-,**,4,+/-8,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**,0,+/-18,0.0%,+/-100.0
Two or more races,136,+/-52,(X),(X),68,+/-54,(X),(X),68,+/-33,(X),(X)
High school graduate or higher,101,+/-41,74.3%,+/-18.3,49,+/-41,72.1%,+/-24.2,52,+/-29,76.5%,+/-29.9
Bachelor's degree or higher,4,+/-8,2.9%,+/-6.6,4,+/-8,5.9%,+/-13.3,0,+/-18,0.0%,+/-33.9
Hispanic or Latino Origin,118,+/-57,(X),(X),91,+/-51,(X),(X),27,+/-32,(X),(X)
High school graduate or higher,92,+/-43,78.0%,+/-29.2,65,+/-30,71.4%,+/-35.1,27,+/-32,100.0%,+/-54.8
Bachelor's degree or higher,13,+/-23,11.0%,+/-17.8,0,+/-18,0.0%,+/-27.5,13,+/-23,48.1%,+/-51.9
