Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,988,+/-22,(X),(X),498,+/-17,(X),(X),490,+/-14,(X),(X)
Less than high school graduate,311,+/-106,31.5%,+/-10.8,148,+/-69,29.7%,+/-13.5,163,+/-67,33.3%,+/-13.8
High school graduate (includes equivalency),315,+/-128,31.9%,+/-12.8,181,+/-105,36.3%,+/-21.2,134,+/-62,27.3%,+/-12.5
Some college or associate's degree,271,+/-126,27.4%,+/-12.7,112,+/-74,22.5%,+/-15.0,159,+/-74,32.4%,+/-15.0
Bachelor's degree or higher,91,+/-73,9.2%,+/-7.4,57,+/-65,11.4%,+/-13.0,34,+/-32,6.9%,+/-6.6
Population 25 years and over,"11,025",+/-109,(X),(X),"5,460",+/-74,(X),(X),"5,565",+/-77,(X),(X)
Less than 9th grade,233,+/-123,2.1%,+/-1.1,135,+/-85,2.5%,+/-1.5,98,+/-57,1.8%,+/-1.0
"9th to 12th grade, no diploma",918,+/-166,8.3%,+/-1.5,489,+/-114,9.0%,+/-2.1,429,+/-104,7.7%,+/-1.9
High school graduate (includes equivalency),"3,980",+/-367,36.1%,+/-3.3,"2,116",+/-238,38.8%,+/-4.3,"1,864",+/-250,33.5%,+/-4.5
"Some college, no degree","2,392",+/-235,21.7%,+/-2.2,"1,149",+/-184,21.0%,+/-3.4,"1,243",+/-177,22.3%,+/-3.1
Associate's degree,914,+/-170,8.3%,+/-1.5,348,+/-111,6.4%,+/-2.0,566,+/-124,10.2%,+/-2.2
Bachelor's degree,"1,238",+/-175,11.2%,+/-1.6,573,+/-100,10.5%,+/-1.8,665,+/-141,11.9%,+/-2.5
Graduate or professional degree,"1,350",+/-245,12.2%,+/-2.2,650,+/-154,11.9%,+/-2.8,700,+/-143,12.6%,+/-2.6
Percent high school graduate or higher,(X),(X),89.6%,+/-1.9,(X),(X),88.6%,+/-2.5,(X),(X),90.5%,+/-2.1
Percent bachelor's degree or higher,(X),(X),23.5%,+/-2.7,(X),(X),22.4%,+/-3.1,(X),(X),24.5%,+/-3.7
Population 25 to 34 years,"1,275",+/-38,(X),(X),640,+/-19,(X),(X),635,+/-33,(X),(X)
High school graduate or higher,"1,188",+/-68,93.2%,+/-4.3,579,+/-50,90.5%,+/-6.9,609,+/-43,95.9%,+/-5.9
Bachelor's degree or higher,237,+/-76,18.6%,+/-5.9,55,+/-37,8.6%,+/-5.8,182,+/-61,28.7%,+/-9.5
Population 35 to 44 years,"1,621",+/-39,(X),(X),865,+/-39,(X),(X),756,+/-18,(X),(X)
High school graduate or higher,"1,472",+/-83,90.8%,+/-5.6,755,+/-59,87.3%,+/-7.7,717,+/-37,94.8%,+/-4.9
Bachelor's degree or higher,416,+/-102,25.7%,+/-6.3,224,+/-74,25.9%,+/-8.7,192,+/-84,25.4%,+/-11.1
Population 45 to 64 years,"4,980",+/-72,(X),(X),"2,440",+/-34,(X),(X),"2,540",+/-59,(X),(X)
High school graduate or higher,"4,597",+/-139,92.3%,+/-2.3,"2,242",+/-99,91.9%,+/-3.8,"2,355",+/-79,92.7%,+/-2.3
Bachelor's degree or higher,"1,181",+/-166,23.7%,+/-3.3,567,+/-124,23.2%,+/-5.1,614,+/-112,24.2%,+/-4.5
Population 65 years and over,"3,149",+/-49,(X),(X),"1,515",+/-19,(X),(X),"1,634",+/-47,(X),(X)
High school graduate or higher,"2,617",+/-125,83.1%,+/-4.2,"1,260",+/-90,83.2%,+/-5.9,"1,357",+/-76,83.0%,+/-5.1
Bachelor's degree or higher,754,+/-146,23.9%,+/-4.7,377,+/-84,24.9%,+/-5.5,377,+/-90,23.1%,+/-5.6
