RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"177,543",+/-383,(X),(X),"84,532",+/-244,(X),(X),"93,011",+/-200,(X),(X)
High school graduate or higher,"171,717",+/-725,96.7%,+/-0.4,"81,432",+/-506,96.3%,+/-0.5,"90,285",+/-404,97.1%,+/-0.4
Bachelor's degree or higher,"101,046","+/-1,779",56.9%,+/-1.0,"50,236","+/-1,115",59.4%,+/-1.3,"50,810","+/-1,210",54.6%,+/-1.3
"White alone, not Hispanic or Latino","172,630",+/-163,(X),(X),"82,231",+/-96,(X),(X),"90,399",+/-92,(X),(X)
High school graduate or higher,"167,759",+/-641,97.2%,+/-0.4,"79,560",+/-463,96.8%,+/-0.5,"88,199",+/-341,97.6%,+/-0.4
Bachelor's degree or higher,"99,131","+/-1,725",57.4%,+/-1.0,"49,273","+/-1,086",59.9%,+/-1.3,"49,858","+/-1,185",55.2%,+/-1.3
Black alone,"7,154",+/-201,(X),(X),"3,573",+/-132,(X),(X),"3,581",+/-158,(X),(X)
High school graduate or higher,"6,770",+/-282,94.6%,+/-2.6,"3,290",+/-199,92.1%,+/-4.0,"3,480",+/-193,97.2%,+/-2.8
Bachelor's degree or higher,"3,564",+/-382,49.8%,+/-5.2,"1,751",+/-222,49.0%,+/-6.4,"1,813",+/-291,50.6%,+/-7.7
American Indian or Alaska Native alone,333,+/-138,(X),(X),173,+/-113,(X),(X),160,+/-92,(X),(X)
High school graduate or higher,268,+/-116,80.5%,+/-21.4,108,+/-64,62.4%,+/-31.7,160,+/-92,100.0%,+/-17.0
Bachelor's degree or higher,46,+/-48,13.8%,+/-15.1,8,+/-13,4.6%,+/-8.1,38,+/-49,23.8%,+/-30.4
Asian alone,"11,392",+/-256,(X),(X),"5,388",+/-159,(X),(X),"6,004",+/-140,(X),(X)
High school graduate or higher,"10,598",+/-327,93.0%,+/-1.6,"5,185",+/-198,96.2%,+/-1.7,"5,413",+/-200,90.2%,+/-2.6
Bachelor's degree or higher,"8,499",+/-494,74.6%,+/-3.8,"4,356",+/-283,80.8%,+/-4.3,"4,143",+/-299,69.0%,+/-4.8
Native Hawaiian and Other Pacific Islander alone,9,+/-16,(X),(X),0,+/-27,(X),(X),9,+/-16,(X),(X)
High school graduate or higher,9,+/-16,100.0%,+/-95.0,0,+/-27,-,**,9,+/-16,100.0%,+/-95.0
Bachelor's degree or higher,0,+/-27,0.0%,+/-95.0,0,+/-27,-,**,0,+/-27,0.0%,+/-95.0
Some other race alone,"1,360",+/-383,(X),(X),761,+/-242,(X),(X),599,+/-191,(X),(X)
High school graduate or higher,952,+/-280,70.0%,+/-11.9,510,+/-189,67.0%,+/-14.1,442,+/-151,73.8%,+/-13.0
Bachelor's degree or higher,368,+/-191,27.1%,+/-11.6,159,+/-109,20.9%,+/-13.1,209,+/-116,34.9%,+/-13.6
Two or more races,"2,012",+/-395,(X),(X),951,+/-210,(X),(X),"1,061",+/-267,(X),(X)
High school graduate or higher,"1,916",+/-382,95.2%,+/-3.6,855,+/-201,89.9%,+/-7.6,"1,061",+/-267,100.0%,+/-2.8
Bachelor's degree or higher,"1,351",+/-292,67.1%,+/-8.1,672,+/-199,70.7%,+/-12.6,679,+/-186,64.0%,+/-11.9
Hispanic or Latino Origin,"6,294",*****,(X),(X),"3,086",*****,(X),(X),"3,208",*****,(X),(X)
High school graduate or higher,"4,938",+/-374,78.5%,+/-5.9,"2,431",+/-215,78.8%,+/-7.0,"2,507",+/-212,78.1%,+/-6.6
Bachelor's degree or higher,"2,235",+/-398,35.5%,+/-6.3,"1,118",+/-246,36.2%,+/-7.9,"1,117",+/-241,34.8%,+/-7.5
