Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"21,315",+/-28,(X),(X),"10,976",+/-27,(X),(X),"10,339",+/-4,(X),(X)
Less than high school graduate,"3,766",+/-480,17.7%,+/-2.3,"2,081",+/-348,19.0%,+/-3.2,"1,685",+/-278,16.3%,+/-2.7
High school graduate (includes equivalency),"5,464",+/-601,25.6%,+/-2.8,"2,994",+/-349,27.3%,+/-3.2,"2,470",+/-422,23.9%,+/-4.1
Some college or associate's degree,"7,463",+/-605,35.0%,+/-2.8,"3,804",+/-444,34.7%,+/-4.0,"3,659",+/-349,35.4%,+/-3.4
Bachelor's degree or higher,"4,622",+/-510,21.7%,+/-2.4,"2,097",+/-377,19.1%,+/-3.4,"2,525",+/-284,24.4%,+/-2.7
Population 25 years and over,"195,132",+/-28,(X),(X),"93,016",+/-122,(X),(X),"102,116",+/-118,(X),(X)
Less than 9th grade,"2,177",+/-331,1.1%,+/-0.2,"1,041",+/-245,1.1%,+/-0.3,"1,136",+/-228,1.1%,+/-0.2
"9th to 12th grade, no diploma","5,687",+/-726,2.9%,+/-0.4,"3,107",+/-533,3.3%,+/-0.6,"2,580",+/-417,2.5%,+/-0.4
High school graduate (includes equivalency),"30,723","+/-1,368",15.7%,+/-0.7,"13,075",+/-805,14.1%,+/-0.9,"17,648",+/-919,17.3%,+/-0.9
"Some college, no degree","33,852","+/-1,368",17.3%,+/-0.7,"15,961",+/-826,17.2%,+/-0.9,"17,891",+/-970,17.5%,+/-1.0
Associate's degree,"12,871","+/-1,017",6.6%,+/-0.5,"5,188",+/-603,5.6%,+/-0.6,"7,683",+/-754,7.5%,+/-0.7
Bachelor's degree,"69,838","+/-1,620",35.8%,+/-0.8,"34,088","+/-1,149",36.6%,+/-1.2,"35,750","+/-1,260",35.0%,+/-1.2
Graduate or professional degree,"39,984","+/-1,243",20.5%,+/-0.6,"20,556",+/-929,22.1%,+/-1.0,"19,428",+/-874,19.0%,+/-0.9
Percent high school graduate or higher,(X),(X),96.0%,+/-0.4,(X),(X),95.5%,+/-0.6,(X),(X),96.4%,+/-0.5
Percent bachelor's degree or higher,(X),(X),56.3%,+/-0.9,(X),(X),58.7%,+/-1.1,(X),(X),54.0%,+/-1.2
Population 25 to 34 years,"37,385",+/-75,(X),(X),"17,722",+/-59,(X),(X),"19,663",+/-42,(X),(X)
High school graduate or higher,"35,867",+/-277,95.9%,+/-0.7,"16,782",+/-218,94.7%,+/-1.3,"19,085",+/-171,97.1%,+/-0.8
Bachelor's degree or higher,"22,990",+/-860,61.5%,+/-2.3,"10,414",+/-537,58.8%,+/-3.0,"12,576",+/-515,64.0%,+/-2.6
Population 35 to 44 years,"46,965",+/-63,(X),(X),"22,822",+/-19,(X),(X),"24,143",+/-59,(X),(X)
High school graduate or higher,"45,732",+/-230,97.4%,+/-0.5,"22,088",+/-191,96.8%,+/-0.8,"23,644",+/-196,97.9%,+/-0.8
Bachelor's degree or higher,"30,884",+/-849,65.8%,+/-1.8,"14,948",+/-635,65.5%,+/-2.8,"15,936",+/-541,66.0%,+/-2.3
Population 45 to 64 years,"78,921",+/-206,(X),(X),"38,308",+/-132,(X),(X),"40,613",+/-146,(X),(X)
High school graduate or higher,"76,401",+/-445,96.8%,+/-0.5,"36,853",+/-339,96.2%,+/-0.8,"39,548",+/-257,97.4%,+/-0.5
Bachelor's degree or higher,"43,877",+/-916,55.6%,+/-1.2,"22,424",+/-654,58.5%,+/-1.7,"21,453",+/-625,52.8%,+/-1.5
Population 65 years and over,"31,861",+/-201,(X),(X),"14,164",+/-165,(X),(X),"17,697",+/-125,(X),(X)
High school graduate or higher,"29,268",+/-481,91.9%,+/-1.5,"13,145",+/-357,92.8%,+/-2.3,"16,123",+/-291,91.1%,+/-1.5
Bachelor's degree or higher,"12,071",+/-642,37.9%,+/-2.0,"6,858",+/-385,48.4%,+/-2.8,"5,213",+/-432,29.5%,+/-2.4
