Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"19,962",+/-61,(X),(X),"10,255",+/-23,(X),(X),"9,707",+/-55,(X),(X)
Less than high school graduate,"3,681",+/-527,18.4%,+/-2.6,"2,075",+/-391,20.2%,+/-3.8,"1,606",+/-330,16.5%,+/-3.4
High school graduate (includes equivalency),"5,413",+/-603,27.1%,+/-3.0,"3,213",+/-455,31.3%,+/-4.4,"2,200",+/-333,22.7%,+/-3.4
Some college or associate's degree,"6,939",+/-742,34.8%,+/-3.7,"3,189",+/-506,31.1%,+/-4.9,"3,750",+/-415,38.6%,+/-4.3
Bachelor's degree or higher,"3,929",+/-457,19.7%,+/-2.3,"1,778",+/-316,17.3%,+/-3.1,"2,151",+/-299,22.2%,+/-3.1
Population 25 years and over,"190,788",+/-61,(X),(X),"91,004",+/-37,(X),(X),"99,784",+/-66,(X),(X)
Less than 9th grade,"2,109",+/-348,1.1%,+/-0.2,"1,018",+/-218,1.1%,+/-0.2,"1,091",+/-269,1.1%,+/-0.3
"9th to 12th grade, no diploma","5,252",+/-628,2.8%,+/-0.3,"2,731",+/-461,3.0%,+/-0.5,"2,521",+/-407,2.5%,+/-0.4
High school graduate (includes equivalency),"30,369","+/-1,331",15.9%,+/-0.7,"12,950",+/-902,14.2%,+/-1.0,"17,419",+/-798,17.5%,+/-0.8
"Some college, no degree","33,913","+/-1,554",17.8%,+/-0.8,"16,123","+/-1,074",17.7%,+/-1.2,"17,790","+/-1,002",17.8%,+/-1.0
Associate's degree,"12,530",+/-920,6.6%,+/-0.5,"4,995",+/-557,5.5%,+/-0.6,"7,535",+/-690,7.6%,+/-0.7
Bachelor's degree,"67,794","+/-1,921",35.5%,+/-1.0,"33,220","+/-1,273",36.5%,+/-1.4,"34,574","+/-1,141",34.6%,+/-1.1
Graduate or professional degree,"38,821","+/-1,373",20.3%,+/-0.7,"19,967",+/-991,21.9%,+/-1.1,"18,854",+/-864,18.9%,+/-0.9
Percent high school graduate or higher,(X),(X),96.1%,+/-0.3,(X),(X),95.9%,+/-0.5,(X),(X),96.4%,+/-0.4
Percent bachelor's degree or higher,(X),(X),55.9%,+/-1.1,(X),(X),58.4%,+/-1.4,(X),(X),53.5%,+/-1.2
Population 25 to 34 years,"37,299",+/-73,(X),(X),"17,631",+/-59,(X),(X),"19,668",+/-41,(X),(X)
High school graduate or higher,"36,113",+/-238,96.8%,+/-0.6,"16,915",+/-201,95.9%,+/-1.1,"19,198",+/-173,97.6%,+/-0.9
Bachelor's degree or higher,"23,214",+/-785,62.2%,+/-2.1,"10,429",+/-542,59.2%,+/-3.1,"12,785",+/-508,65.0%,+/-2.6
Population 35 to 44 years,"46,862",+/-46,(X),(X),"22,770",+/-21,(X),(X),"24,092",+/-41,(X),(X)
High school graduate or higher,"45,366",+/-382,96.8%,+/-0.8,"21,931",+/-234,96.3%,+/-1.0,"23,435",+/-240,97.3%,+/-1.0
Bachelor's degree or higher,"30,358",+/-876,64.8%,+/-1.9,"14,644",+/-569,64.3%,+/-2.5,"15,714",+/-587,65.2%,+/-2.4
Population 45 to 64 years,"77,163",+/-168,(X),(X),"37,587",+/-99,(X),(X),"39,576",+/-119,(X),(X)
High school graduate or higher,"74,869",+/-390,97.0%,+/-0.4,"36,232",+/-281,96.4%,+/-0.7,"38,637",+/-237,97.6%,+/-0.5
Bachelor's degree or higher,"42,239","+/-1,241",54.7%,+/-1.6,"21,794",+/-749,58.0%,+/-2.0,"20,445",+/-771,51.7%,+/-1.9
Population 65 years and over,"29,464",+/-158,(X),(X),"13,016",+/-108,(X),(X),"16,448",+/-114,(X),(X)
High school graduate or higher,"27,079",+/-416,91.9%,+/-1.3,"12,177",+/-250,93.6%,+/-1.7,"14,902",+/-306,90.6%,+/-1.7
Bachelor's degree or higher,"10,804",+/-674,36.7%,+/-2.3,"6,320",+/-419,48.6%,+/-3.2,"4,484",+/-399,27.3%,+/-2.4
