RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"170,259",+/-409,(X),(X),"81,166",+/-227,(X),(X),"89,093",+/-261,(X),(X)
High school graduate or higher,"164,282",+/-642,96.5%,+/-0.3,"78,115",+/-471,96.2%,+/-0.6,"86,167",+/-421,96.7%,+/-0.4
Bachelor's degree or higher,"94,134","+/-1,991",55.3%,+/-1.2,"46,904","+/-1,235",57.8%,+/-1.5,"47,230","+/-1,141",53.0%,+/-1.3
"White alone, not Hispanic or Latino","166,111",+/-220,(X),(X),"79,059",+/-118,(X),(X),"87,052",+/-117,(X),(X)
High school graduate or higher,"160,990",+/-595,96.9%,+/-0.3,"76,464",+/-432,96.7%,+/-0.5,"84,526",+/-362,97.1%,+/-0.4
Bachelor's degree or higher,"92,622","+/-1,945",55.8%,+/-1.2,"46,169","+/-1,230",58.4%,+/-1.6,"46,453","+/-1,128",53.4%,+/-1.3
Black alone,"6,588",+/-193,(X),(X),"3,252",+/-83,(X),(X),"3,336",+/-167,(X),(X)
High school graduate or higher,"6,304",+/-240,95.7%,+/-2.4,"3,083",+/-127,94.8%,+/-3.4,"3,221",+/-201,96.6%,+/-3.7
Bachelor's degree or higher,"3,034",+/-370,46.1%,+/-5.6,"1,531",+/-252,47.1%,+/-8.0,"1,503",+/-290,45.1%,+/-8.5
American Indian or Alaska Native alone,236,+/-117,(X),(X),130,+/-85,(X),(X),106,+/-63,(X),(X)
High school graduate or higher,185,+/-95,78.4%,+/-17.3,79,+/-51,60.8%,+/-23.7,106,+/-63,100.0%,+/-24.3
Bachelor's degree or higher,32,+/-34,13.6%,+/-13.5,0,+/-27,0.0%,+/-20.4,32,+/-34,30.2%,+/-28.1
Asian alone,"10,231",+/-209,(X),(X),"4,893",+/-153,(X),(X),"5,338",+/-162,(X),(X)
High school graduate or higher,"9,617",+/-289,94.0%,+/-2.0,"4,730",+/-201,96.7%,+/-2.3,"4,887",+/-214,91.6%,+/-2.8
Bachelor's degree or higher,"7,789",+/-400,76.1%,+/-3.8,"4,018",+/-258,82.1%,+/-4.9,"3,771",+/-282,70.6%,+/-5.0
Native Hawaiian and Other Pacific Islander alone,19,+/-31,(X),(X),19,+/-31,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,19,+/-31,100.0%,+/-65.4,19,+/-31,100.0%,+/-65.4,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,0.0%,+/-65.4,0,+/-27,0.0%,+/-65.4,0,+/-27,-,**
Some other race alone,"1,559",+/-370,(X),(X),775,+/-221,(X),(X),784,+/-234,(X),(X)
High school graduate or higher,"1,221",+/-344,78.3%,+/-10.0,557,+/-204,71.9%,+/-13.6,664,+/-211,84.7%,+/-11.7
Bachelor's degree or higher,602,+/-273,38.6%,+/-12.1,343,+/-167,44.3%,+/-14.7,259,+/-149,33.0%,+/-15.7
Two or more races,"1,896",+/-372,(X),(X),769,+/-238,(X),(X),"1,127",+/-240,(X),(X)
High school graduate or higher,"1,799",+/-372,94.9%,+/-3.3,672,+/-243,87.4%,+/-8.9,"1,127",+/-240,100.0%,+/-2.6
Bachelor's degree or higher,"1,024",+/-298,54.0%,+/-11.8,391,+/-174,50.8%,+/-14.2,633,+/-219,56.2%,+/-15.6
Hispanic or Latino Origin,"5,729",*****,(X),(X),"2,846",*****,(X),(X),"2,883",*****,(X),(X)
High school graduate or higher,"4,535",+/-293,79.2%,+/-5.1,"2,172",+/-216,76.3%,+/-7.6,"2,363",+/-176,82.0%,+/-6.1
Bachelor's degree or higher,"1,996",+/-343,34.8%,+/-6.0,995,+/-243,35.0%,+/-8.5,"1,001",+/-215,34.7%,+/-7.5
