RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"11,304",+/-34,(X),(X),"5,495",+/-34,(X),(X),"5,809",+/-18,(X),(X)
High school graduate or higher,"9,601",+/-290,84.9%,+/-2.5,"4,633",+/-171,84.3%,+/-3.1,"4,968",+/-165,85.5%,+/-2.8
Bachelor's degree or higher,"1,550",+/-216,13.7%,+/-1.9,685,+/-136,12.5%,+/-2.5,865,+/-122,14.9%,+/-2.1
"White alone, not Hispanic or Latino","11,254",+/-18,(X),(X),"5,445",+/-18,(X),(X),"5,809",+/-18,(X),(X)
High school graduate or higher,"9,555",+/-288,84.9%,+/-2.6,"4,587",+/-171,84.2%,+/-3.1,"4,968",+/-165,85.5%,+/-2.8
Bachelor's degree or higher,"1,550",+/-216,13.8%,+/-1.9,685,+/-136,12.6%,+/-2.5,865,+/-122,14.9%,+/-2.1
Black alone,139,+/-57,(X),(X),60,+/-36,(X),(X),79,+/-45,(X),(X)
High school graduate or higher,100,+/-39,71.9%,+/-22.4,21,+/-20,35.0%,+/-40.1,79,+/-45,100.0%,+/-30.6
Bachelor's degree or higher,22,+/-30,15.8%,+/-23.9,0,+/-18,0.0%,+/-36.7,22,+/-30,27.8%,+/-40.3
American Indian or Alaska Native alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Asian alone,1,+/-3,(X),(X),0,+/-18,(X),(X),1,+/-3,(X),(X)
High school graduate or higher,1,+/-3,100.0%,+/-100.0,0,+/-18,-,**,1,+/-3,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**,0,+/-18,0.0%,+/-100.0
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,75,+/-58,(X),(X),64,+/-61,(X),(X),11,+/-18,(X),(X)
High school graduate or higher,30,+/-27,40.0%,+/-53.1,19,+/-23,29.7%,+/-51.1,11,+/-18,100.0%,+/-85.9
Bachelor's degree or higher,11,+/-18,14.7%,+/-31.1,0,+/-18,0.0%,+/-35.3,11,+/-18,100.0%,+/-85.9
Two or more races,86,+/-64,(X),(X),40,+/-40,(X),(X),46,+/-39,(X),(X)
High school graduate or higher,86,+/-64,100.0%,+/-28.7,40,+/-40,100.0%,+/-45.1,46,+/-39,100.0%,+/-42.0
Bachelor's degree or higher,45,+/-52,52.3%,+/-36.3,27,+/-35,67.5%,+/-44.5,18,+/-22,39.1%,+/-42.2
Hispanic or Latino Origin,145,+/-44,(X),(X),134,+/-48,(X),(X),11,+/-18,(X),(X)
High school graduate or higher,96,+/-44,66.2%,+/-36.9,85,+/-42,63.4%,+/-38.6,11,+/-18,100.0%,+/-85.9
Bachelor's degree or higher,31,+/-40,21.4%,+/-27.3,20,+/-35,14.9%,+/-26.1,11,+/-18,100.0%,+/-85.9
