RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"11,257",+/-29,(X),(X),"5,476",+/-29,(X),(X),"5,781",+/-18,(X),(X)
High school graduate or higher,"9,572",+/-274,85.0%,+/-2.4,"4,623",+/-170,84.4%,+/-3.1,"4,949",+/-168,85.6%,+/-2.9
Bachelor's degree or higher,"1,624",+/-247,14.4%,+/-2.2,667,+/-135,12.2%,+/-2.5,957,+/-154,16.6%,+/-2.7
"White alone, not Hispanic or Latino","11,201",+/-18,(X),(X),"5,420",+/-18,(X),(X),"5,781",+/-18,(X),(X)
High school graduate or higher,"9,520",+/-270,85.0%,+/-2.4,"4,571",+/-168,84.3%,+/-3.1,"4,949",+/-168,85.6%,+/-2.9
Bachelor's degree or higher,"1,624",+/-247,14.5%,+/-2.2,667,+/-135,12.3%,+/-2.5,957,+/-154,16.6%,+/-2.7
Black alone,160,+/-82,(X),(X),60,+/-47,(X),(X),100,+/-53,(X),(X)
High school graduate or higher,118,+/-55,73.8%,+/-22.8,18,+/-31,30.0%,+/-55.4,100,+/-53,100.0%,+/-25.5
Bachelor's degree or higher,32,+/-44,20.0%,+/-31.4,0,+/-18,0.0%,+/-36.7,32,+/-44,32.0%,+/-43.8
American Indian or Alaska Native alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Asian alone,2,+/-3,(X),(X),0,+/-18,(X),(X),2,+/-3,(X),(X)
High school graduate or higher,2,+/-3,100.0%,+/-100.0,0,+/-18,-,**,2,+/-3,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**,0,+/-18,0.0%,+/-100.0
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,40,+/-47,(X),(X),31,+/-45,(X),(X),9,+/-15,(X),(X)
High school graduate or higher,9,+/-15,22.5%,+/-45.9,0,+/-18,0.0%,+/-51.2,9,+/-15,100.0%,+/-95.0
Bachelor's degree or higher,9,+/-15,22.5%,+/-45.9,0,+/-18,0.0%,+/-51.2,9,+/-15,100.0%,+/-95.0
Two or more races,80,+/-54,(X),(X),51,+/-40,(X),(X),29,+/-26,(X),(X)
High school graduate or higher,80,+/-54,100.0%,+/-30.3,51,+/-40,100.0%,+/-39.9,29,+/-26,100.0%,+/-52.9
Bachelor's degree or higher,45,+/-46,56.3%,+/-37.5,29,+/-30,56.9%,+/-44.3,16,+/-21,55.2%,+/-55.2
Hispanic or Latino Origin,111,+/-54,(X),(X),102,+/-53,(X),(X),9,+/-15,(X),(X)
High school graduate or higher,76,+/-43,68.5%,+/-33.8,67,+/-40,65.7%,+/-35.8,9,+/-15,100.0%,+/-95.0
Bachelor's degree or higher,24,+/-29,21.6%,+/-22.4,15,+/-25,14.7%,+/-21.7,9,+/-15,100.0%,+/-95.0
