RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"29,257",+/-131,(X),(X),"14,178",+/-99,(X),(X),"15,079",+/-70,(X),(X)
High school graduate or higher,"25,867",+/-414,88.4%,+/-1.5,"12,582",+/-250,88.7%,+/-1.7,"13,285",+/-267,88.1%,+/-1.9
Bachelor's degree or higher,"5,151",+/-437,17.6%,+/-1.5,"2,210",+/-243,15.6%,+/-1.7,"2,941",+/-293,19.5%,+/-1.9
"White alone, not Hispanic or Latino","28,824",+/-46,(X),(X),"13,931",+/-27,(X),(X),"14,893",+/-22,(X),(X)
High school graduate or higher,"25,663",+/-401,89.0%,+/-1.4,"12,474",+/-222,89.5%,+/-1.6,"13,189",+/-271,88.6%,+/-1.8
Bachelor's degree or higher,"5,089",+/-426,17.7%,+/-1.5,"2,189",+/-240,15.7%,+/-1.7,"2,900",+/-281,19.5%,+/-1.9
Black alone,332,+/-26,(X),(X),230,+/-58,(X),(X),102,+/-51,(X),(X)
High school graduate or higher,247,+/-65,74.4%,+/-20.2,145,+/-63,63.0%,+/-26.2,102,+/-51,100.0%,+/-25.1
Bachelor's degree or higher,18,+/-29,5.4%,+/-9.1,0,+/-24,0.0%,+/-12.2,18,+/-29,17.6%,+/-30.0
American Indian or Alaska Native alone,52,+/-52,(X),(X),19,+/-33,(X),(X),33,+/-40,(X),(X)
High school graduate or higher,52,+/-52,100.0%,+/-39.5,19,+/-33,100.0%,+/-65.4,33,+/-40,100.0%,+/-49.6
Bachelor's degree or higher,37,+/-47,71.2%,+/-33.4,19,+/-33,100.0%,+/-65.4,18,+/-33,54.5%,+/-52.4
Asian alone,236,+/-45,(X),(X),122,+/-16,(X),(X),114,+/-40,(X),(X)
High school graduate or higher,209,+/-50,88.6%,+/-13.1,110,+/-25,90.2%,+/-15.9,99,+/-38,86.8%,+/-13.9
Bachelor's degree or higher,159,+/-57,67.4%,+/-19.2,96,+/-30,78.7%,+/-20.9,63,+/-37,55.3%,+/-26.3
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,432,+/-139,(X),(X),211,+/-96,(X),(X),221,+/-79,(X),(X)
High school graduate or higher,332,+/-137,76.9%,+/-13.6,193,+/-97,91.5%,+/-16.7,139,+/-79,62.9%,+/-21.4
Bachelor's degree or higher,55,+/-44,12.7%,+/-9.9,36,+/-34,17.1%,+/-16.3,19,+/-22,8.6%,+/-9.4
Two or more races,278,+/-88,(X),(X),132,+/-92,(X),(X),146,+/-55,(X),(X)
High school graduate or higher,241,+/-89,86.7%,+/-15.0,119,+/-88,90.2%,+/-15.1,122,+/-62,83.6%,+/-20.8
Bachelor's degree or higher,73,+/-56,26.3%,+/-23.2,0,+/-24,0.0%,+/-20.2,73,+/-56,50.0%,+/-32.8
Hispanic or Latino Origin,845,+/-49,(X),(X),443,+/-43,(X),(X),402,+/-33,(X),(X)
High school graduate or higher,516,+/-127,61.1%,+/-13.7,286,+/-91,64.6%,+/-19.5,230,+/-77,57.2%,+/-16.4
Bachelor's degree or higher,92,+/-55,10.9%,+/-6.6,44,+/-38,9.9%,+/-8.6,48,+/-36,11.9%,+/-9.0
