Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,493",+/-83,(X),(X),"1,767",+/-43,(X),(X),"1,726",+/-68,(X),(X)
Less than high school graduate,676,+/-130,19.4%,+/-3.6,384,+/-96,21.7%,+/-5.4,292,+/-79,16.9%,+/-4.4
High school graduate (includes equivalency),"1,128",+/-181,32.3%,+/-5.3,613,+/-149,34.7%,+/-8.6,515,+/-128,29.8%,+/-7.4
Some college or associate's degree,"1,547",+/-216,44.3%,+/-5.9,736,+/-149,41.7%,+/-8.2,811,+/-132,47.0%,+/-7.4
Bachelor's degree or higher,142,+/-76,4.1%,+/-2.2,34,+/-31,1.9%,+/-1.7,108,+/-71,6.3%,+/-4.1
Population 25 years and over,"30,570",+/-84,(X),(X),"14,852",+/-108,(X),(X),"15,718",+/-93,(X),(X)
Less than 9th grade,"1,112",+/-237,3.6%,+/-0.8,593,+/-168,4.0%,+/-1.1,519,+/-135,3.3%,+/-0.9
"9th to 12th grade, no diploma","2,635",+/-316,8.6%,+/-1.0,"1,162",+/-226,7.8%,+/-1.5,"1,473",+/-219,9.4%,+/-1.4
High school graduate (includes equivalency),"13,144",+/-534,43.0%,+/-1.7,"6,834",+/-374,46.0%,+/-2.6,"6,310",+/-381,40.1%,+/-2.4
"Some college, no degree","6,127",+/-536,20.0%,+/-1.7,"2,833",+/-339,19.1%,+/-2.3,"3,294",+/-379,21.0%,+/-2.4
Associate's degree,"2,467",+/-233,8.1%,+/-0.8,"1,288",+/-208,8.7%,+/-1.4,"1,179",+/-186,7.5%,+/-1.2
Bachelor's degree,"3,210",+/-346,10.5%,+/-1.1,"1,352",+/-232,9.1%,+/-1.5,"1,858",+/-269,11.8%,+/-1.7
Graduate or professional degree,"1,875",+/-254,6.1%,+/-0.8,790,+/-154,5.3%,+/-1.0,"1,085",+/-195,6.9%,+/-1.2
Percent high school graduate or higher,(X),(X),87.7%,+/-1.1,(X),(X),88.2%,+/-1.8,(X),(X),87.3%,+/-1.5
Percent bachelor's degree or higher,(X),(X),16.6%,+/-1.4,(X),(X),14.4%,+/-1.9,(X),(X),18.7%,+/-2.2
Population 25 to 34 years,"5,283",+/-158,(X),(X),"2,618",+/-87,(X),(X),"2,665",+/-116,(X),(X)
High school graduate or higher,"4,687",+/-164,88.7%,+/-2.6,"2,352",+/-96,89.8%,+/-3.4,"2,335",+/-123,87.6%,+/-4.1
Bachelor's degree or higher,983,+/-183,18.6%,+/-3.6,301,+/-94,11.5%,+/-3.6,682,+/-149,25.6%,+/-5.7
Population 35 to 44 years,"5,439",+/-134,(X),(X),"2,790",+/-117,(X),(X),"2,649",+/-64,(X),(X)
High school graduate or higher,"4,785",+/-226,88.0%,+/-3.6,"2,545",+/-161,91.2%,+/-4.1,"2,240",+/-128,84.6%,+/-5.2
Bachelor's degree or higher,872,+/-191,16.0%,+/-3.5,413,+/-113,14.8%,+/-4.0,459,+/-139,17.3%,+/-5.3
Population 45 to 64 years,"12,957",+/-127,(X),(X),"6,417",+/-110,(X),(X),"6,540",+/-77,(X),(X)
High school graduate or higher,"11,814",+/-193,91.2%,+/-1.4,"5,707",+/-183,88.9%,+/-2.6,"6,107",+/-110,93.4%,+/-1.5
Bachelor's degree or higher,"2,211",+/-301,17.1%,+/-2.3,875,+/-167,13.6%,+/-2.6,"1,336",+/-206,20.4%,+/-3.2
Population 65 years and over,"6,891",+/-62,(X),(X),"3,027",+/-55,(X),(X),"3,864",+/-43,(X),(X)
High school graduate or higher,"5,537",+/-250,80.4%,+/-3.6,"2,493",+/-144,82.4%,+/-4.7,"3,044",+/-172,78.8%,+/-4.2
Bachelor's degree or higher,"1,019",+/-188,14.8%,+/-2.7,553,+/-128,18.3%,+/-4.1,466,+/-135,12.1%,+/-3.5
