Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,503",+/-98,(X),(X),"1,811",+/-66,(X),(X),"1,692",+/-70,(X),(X)
Less than high school graduate,726,+/-153,20.7%,+/-4.2,403,+/-105,22.3%,+/-5.6,323,+/-103,19.1%,+/-5.9
High school graduate (includes equivalency),"1,202",+/-179,34.3%,+/-5.2,657,+/-135,36.3%,+/-7.7,545,+/-117,32.2%,+/-6.7
Some college or associate's degree,"1,439",+/-176,41.1%,+/-4.9,711,+/-144,39.3%,+/-7.7,728,+/-123,43.0%,+/-7.4
Bachelor's degree or higher,136,+/-62,3.9%,+/-1.8,40,+/-35,2.2%,+/-1.9,96,+/-57,5.7%,+/-3.4
Population 25 years and over,"30,456",+/-144,(X),(X),"14,788",+/-152,(X),(X),"15,668",+/-98,(X),(X)
Less than 9th grade,"1,080",+/-254,3.5%,+/-0.8,605,+/-170,4.1%,+/-1.2,475,+/-135,3.0%,+/-0.9
"9th to 12th grade, no diploma","2,823",+/-389,9.3%,+/-1.3,"1,282",+/-263,8.7%,+/-1.7,"1,541",+/-249,9.8%,+/-1.6
High school graduate (includes equivalency),"13,417",+/-614,44.1%,+/-2.0,"7,054",+/-392,47.7%,+/-2.7,"6,363",+/-413,40.6%,+/-2.6
"Some college, no degree","6,243",+/-489,20.5%,+/-1.6,"2,744",+/-289,18.6%,+/-1.9,"3,499",+/-371,22.3%,+/-2.4
Associate's degree,"2,382",+/-296,7.8%,+/-1.0,"1,094",+/-200,7.4%,+/-1.4,"1,288",+/-214,8.2%,+/-1.4
Bachelor's degree,"2,802",+/-336,9.2%,+/-1.1,"1,230",+/-233,8.3%,+/-1.6,"1,572",+/-220,10.0%,+/-1.4
Graduate or professional degree,"1,709",+/-250,5.6%,+/-0.8,779,+/-152,5.3%,+/-1.0,930,+/-191,5.9%,+/-1.2
Percent high school graduate or higher,(X),(X),87.2%,+/-1.4,(X),(X),87.2%,+/-2.0,(X),(X),87.1%,+/-1.8
Percent bachelor's degree or higher,(X),(X),14.8%,+/-1.3,(X),(X),13.6%,+/-1.7,(X),(X),16.0%,+/-1.9
Population 25 to 34 years,"5,239",+/-143,(X),(X),"2,638",+/-97,(X),(X),"2,601",+/-102,(X),(X)
High school graduate or higher,"4,614",+/-178,88.1%,+/-3.4,"2,355",+/-109,89.3%,+/-4.1,"2,259",+/-124,86.9%,+/-4.8
Bachelor's degree or higher,837,+/-187,16.0%,+/-3.5,261,+/-83,9.9%,+/-3.2,576,+/-143,22.1%,+/-5.4
Population 35 to 44 years,"5,468",+/-123,(X),(X),"2,745",+/-79,(X),(X),"2,723",+/-91,(X),(X)
High school graduate or higher,"4,836",+/-189,88.4%,+/-3.1,"2,428",+/-145,88.5%,+/-4.3,"2,408",+/-131,88.4%,+/-4.3
Bachelor's degree or higher,804,+/-160,14.7%,+/-2.9,333,+/-87,12.1%,+/-3.2,471,+/-118,17.3%,+/-4.5
Population 45 to 64 years,"13,010",+/-173,(X),(X),"6,481",+/-144,(X),(X),"6,529",+/-78,(X),(X)
High school graduate or higher,"11,686",+/-255,89.8%,+/-1.9,"5,675",+/-183,87.6%,+/-3.1,"6,011",+/-148,92.1%,+/-2.2
Bachelor's degree or higher,"2,027",+/-282,15.6%,+/-2.2,914,+/-172,14.1%,+/-2.6,"1,113",+/-188,17.0%,+/-2.9
Population 65 years and over,"6,739",+/-90,(X),(X),"2,924",+/-69,(X),(X),"3,815",+/-73,(X),(X)
High school graduate or higher,"5,417",+/-239,80.4%,+/-3.3,"2,443",+/-131,83.5%,+/-3.9,"2,974",+/-196,78.0%,+/-4.8
Bachelor's degree or higher,843,+/-202,12.5%,+/-2.9,501,+/-137,17.1%,+/-4.6,342,+/-122,9.0%,+/-3.2
