RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"29,183",+/-138,(X),(X),"14,128",+/-95,(X),(X),"15,055",+/-78,(X),(X)
High school graduate or higher,"25,837",+/-375,88.5%,+/-1.2,"12,557",+/-257,88.9%,+/-1.8,"13,280",+/-249,88.2%,+/-1.6
Bachelor's degree or higher,"4,771",+/-441,16.3%,+/-1.5,"2,016",+/-279,14.3%,+/-2.0,"2,755",+/-333,18.3%,+/-2.2
"White alone, not Hispanic or Latino","28,802",+/-59,(X),(X),"13,911",+/-30,(X),(X),"14,891",+/-29,(X),(X)
High school graduate or higher,"25,631",+/-377,89.0%,+/-1.3,"12,459",+/-249,89.6%,+/-1.8,"13,172",+/-239,88.5%,+/-1.5
Bachelor's degree or higher,"4,708",+/-431,16.3%,+/-1.5,"1,995",+/-275,14.3%,+/-2.0,"2,713",+/-326,18.2%,+/-2.2
Black alone,378,+/-112,(X),(X),236,+/-99,(X),(X),142,+/-77,(X),(X)
High school graduate or higher,239,+/-111,63.2%,+/-20.2,140,+/-91,59.3%,+/-28.5,99,+/-50,69.7%,+/-35.2
Bachelor's degree or higher,17,+/-27,4.5%,+/-7.3,0,+/-24,0.0%,+/-11.9,17,+/-27,12.0%,+/-20.6
American Indian or Alaska Native alone,78,+/-72,(X),(X),35,+/-41,(X),(X),43,+/-43,(X),(X)
High school graduate or higher,49,+/-41,62.8%,+/-36.7,17,+/-28,48.6%,+/-51.4,32,+/-32,74.4%,+/-27.6
Bachelor's degree or higher,35,+/-37,44.9%,+/-43.1,17,+/-28,48.6%,+/-51.4,18,+/-26,41.9%,+/-47.2
Asian alone,226,+/-37,(X),(X),111,+/-14,(X),(X),115,+/-31,(X),(X)
High school graduate or higher,199,+/-48,88.1%,+/-14.0,97,+/-27,87.4%,+/-21.3,102,+/-33,88.7%,+/-11.4
Bachelor's degree or higher,146,+/-53,64.6%,+/-17.7,83,+/-28,74.8%,+/-22.7,63,+/-34,54.8%,+/-21.9
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,519,+/-170,(X),(X),279,+/-105,(X),(X),240,+/-94,(X),(X)
High school graduate or higher,342,+/-165,65.9%,+/-15.1,223,+/-111,79.9%,+/-18.9,119,+/-84,49.6%,+/-21.2
Bachelor's degree or higher,45,+/-42,8.7%,+/-7.9,26,+/-29,9.3%,+/-10.0,19,+/-22,7.9%,+/-9.2
Two or more races,186,+/-79,(X),(X),63,+/-49,(X),(X),123,+/-58,(X),(X)
High school graduate or higher,157,+/-67,84.4%,+/-16.2,63,+/-49,100.0%,+/-35.6,94,+/-55,76.4%,+/-26.3
Bachelor's degree or higher,71,+/-48,38.2%,+/-24.8,0,+/-24,0.0%,+/-35.6,71,+/-48,57.7%,+/-28.9
Hispanic or Latino Origin,882,+/-70,(X),(X),484,+/-48,(X),(X),398,+/-57,(X),(X)
High school graduate or higher,501,+/-146,56.8%,+/-14.6,291,+/-112,60.1%,+/-21.4,210,+/-88,52.8%,+/-17.2
Bachelor's degree or higher,90,+/-62,10.2%,+/-7.1,41,+/-36,8.5%,+/-7.7,49,+/-43,12.3%,+/-10.6
