RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,744",+/-178,(X),(X),"10,901",+/-103,(X),(X),"11,843",+/-108,(X),(X)
High school graduate or higher,"20,026",+/-309,88.0%,+/-1.3,"9,576",+/-204,87.8%,+/-1.8,"10,450",+/-213,88.2%,+/-1.7
Bachelor's degree or higher,"3,223",+/-271,14.2%,+/-1.2,"1,433",+/-175,13.1%,+/-1.6,"1,790",+/-185,15.1%,+/-1.6
"White alone, not Hispanic or Latino","22,308",+/-15,(X),(X),"10,668",+/-5,(X),(X),"11,640",+/-14,(X),(X)
High school graduate or higher,"19,776",+/-278,88.6%,+/-1.2,"9,448",+/-185,88.6%,+/-1.7,"10,328",+/-189,88.7%,+/-1.6
Bachelor's degree or higher,"3,223",+/-271,14.4%,+/-1.2,"1,433",+/-175,13.4%,+/-1.6,"1,790",+/-185,15.4%,+/-1.6
Black alone,315,+/-49,(X),(X),193,+/-78,(X),(X),122,+/-60,(X),(X)
High school graduate or higher,229,+/-41,72.7%,+/-14.1,121,+/-53,62.7%,+/-16.2,108,+/-59,88.5%,+/-19.9
Bachelor's degree or higher,95,+/-68,30.2%,+/-22.9,11,+/-17,5.7%,+/-7.9,84,+/-71,68.9%,+/-37.7
American Indian or Alaska Native alone,118,+/-64,(X),(X),52,+/-41,(X),(X),66,+/-34,(X),(X)
High school graduate or higher,76,+/-30,64.4%,+/-26.3,23,+/-17,44.2%,+/-34.2,53,+/-27,80.3%,+/-20.7
Bachelor's degree or higher,11,+/-14,9.3%,+/-10.7,0,+/-24,0.0%,+/-39.5,11,+/-14,16.7%,+/-19.0
Asian alone,411,+/-88,(X),(X),138,+/-52,(X),(X),273,+/-107,(X),(X)
High school graduate or higher,233,+/-126,56.7%,+/-22.7,41,+/-58,29.7%,+/-37.2,192,+/-115,70.3%,+/-18.3
Bachelor's degree or higher,67,+/-86,16.3%,+/-21.8,40,+/-58,29.0%,+/-37.5,27,+/-39,9.9%,+/-15.7
Native Hawaiian and Other Pacific Islander alone,43,+/-63,(X),(X),0,+/-24,(X),(X),43,+/-63,(X),(X)
High school graduate or higher,6,+/-16,14.0%,+/-44.4,0,+/-24,-,**,6,+/-16,14.0%,+/-44.4
Bachelor's degree or higher,6,+/-16,14.0%,+/-44.4,0,+/-24,-,**,6,+/-16,14.0%,+/-44.4
Some other race alone,"2,000",+/-226,(X),(X),"1,143",+/-104,(X),(X),857,+/-153,(X),(X)
High school graduate or higher,823,+/-261,41.2%,+/-12.1,425,+/-146,37.2%,+/-13.1,398,+/-139,46.4%,+/-13.6
Bachelor's degree or higher,55,+/-48,2.8%,+/-2.4,0,+/-24,0.0%,+/-2.6,55,+/-48,6.4%,+/-5.4
Two or more races,304,+/-161,(X),(X),174,+/-75,(X),(X),130,+/-109,(X),(X)
High school graduate or higher,168,+/-60,55.3%,+/-33.8,122,+/-57,70.1%,+/-24.1,46,+/-28,35.4%,+/-42.1
Bachelor's degree or higher,8,+/-13,2.6%,+/-4.9,1,+/-5,0.6%,+/-2.7,7,+/-12,5.4%,+/-12.7
Hispanic or Latino Origin,"2,617",*****,(X),(X),"1,436",*****,(X),(X),"1,181",*****,(X),(X)
High school graduate or higher,"1,070",+/-248,40.9%,+/-9.5,553,+/-152,38.5%,+/-10.6,517,+/-126,43.8%,+/-10.6
Bachelor's degree or higher,52,+/-46,2.0%,+/-1.8,0,+/-24,0.0%,+/-2.1,52,+/-46,4.4%,+/-3.9
