Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,256",+/-90,(X),(X),"1,821",+/-76,(X),(X),"1,435",+/-34,(X),(X)
Less than high school graduate,967,+/-200,29.7%,+/-6.0,595,+/-159,32.7%,+/-8.7,372,+/-97,25.9%,+/-6.6
High school graduate (includes equivalency),"1,263",+/-195,38.8%,+/-5.8,711,+/-164,39.0%,+/-8.7,552,+/-103,38.5%,+/-7.1
Some college or associate's degree,962,+/-188,29.5%,+/-5.8,515,+/-154,28.3%,+/-8.4,447,+/-94,31.1%,+/-6.6
Bachelor's degree or higher,64,+/-46,2.0%,+/-1.4,0,+/-24,0.0%,+/-1.6,64,+/-46,4.5%,+/-3.2
Population 25 years and over,"25,838",+/-89,(X),(X),"12,594",+/-103,(X),(X),"13,244",+/-88,(X),(X)
Less than 9th grade,"1,708",+/-196,6.6%,+/-0.8,"1,021",+/-167,8.1%,+/-1.3,687,+/-124,5.2%,+/-0.9
"9th to 12th grade, no diploma","2,727",+/-363,10.6%,+/-1.4,"1,387",+/-259,11.0%,+/-2.0,"1,340",+/-203,10.1%,+/-1.5
High school graduate (includes equivalency),"10,537",+/-476,40.8%,+/-1.8,"5,387",+/-311,42.8%,+/-2.5,"5,150",+/-348,38.9%,+/-2.6
"Some college, no degree","5,162",+/-338,20.0%,+/-1.3,"2,402",+/-237,19.1%,+/-1.9,"2,760",+/-251,20.8%,+/-1.9
Associate's degree,"2,045",+/-240,7.9%,+/-0.9,812,+/-131,6.4%,+/-1.0,"1,233",+/-199,9.3%,+/-1.5
Bachelor's degree,"2,373",+/-257,9.2%,+/-1.0,"1,061",+/-172,8.4%,+/-1.4,"1,312",+/-204,9.9%,+/-1.5
Graduate or professional degree,"1,286",+/-173,5.0%,+/-0.7,524,+/-113,4.2%,+/-0.9,762,+/-127,5.8%,+/-0.9
Percent high school graduate or higher,(X),(X),82.8%,+/-1.4,(X),(X),80.9%,+/-1.9,(X),(X),84.7%,+/-1.6
Percent bachelor's degree or higher,(X),(X),14.2%,+/-1.2,(X),(X),12.6%,+/-1.4,(X),(X),15.7%,+/-1.7
Population 25 to 34 years,"4,372",+/-62,(X),(X),"2,191",+/-53,(X),(X),"2,181",+/-51,(X),(X)
High school graduate or higher,"3,294",+/-235,75.3%,+/-5.2,"1,562",+/-148,71.3%,+/-6.9,"1,732",+/-138,79.4%,+/-5.9
Bachelor's degree or higher,723,+/-203,16.5%,+/-4.6,242,+/-94,11.0%,+/-4.3,481,+/-136,22.1%,+/-6.1
Population 35 to 44 years,"4,878",+/-187,(X),(X),"2,574",+/-127,(X),(X),"2,304",+/-92,(X),(X)
High school graduate or higher,"3,939",+/-160,80.8%,+/-4.0,"1,945",+/-116,75.6%,+/-4.9,"1,994",+/-85,86.5%,+/-4.5
Bachelor's degree or higher,745,+/-164,15.3%,+/-3.5,283,+/-92,11.0%,+/-3.6,462,+/-114,20.1%,+/-5.1
Population 45 to 64 years,"10,502",+/-208,(X),(X),"5,219",+/-127,(X),(X),"5,283",+/-119,(X),(X)
High school graduate or higher,"9,252",+/-193,88.1%,+/-1.9,"4,542",+/-137,87.0%,+/-2.3,"4,710",+/-120,89.2%,+/-2.3
Bachelor's degree or higher,"1,443",+/-196,13.7%,+/-1.9,670,+/-123,12.8%,+/-2.4,773,+/-148,14.6%,+/-2.8
Population 65 years and over,"6,086",+/-63,(X),(X),"2,610",+/-65,(X),(X),"3,476",+/-38,(X),(X)
High school graduate or higher,"4,918",+/-175,80.8%,+/-2.9,"2,137",+/-89,81.9%,+/-3.4,"2,781",+/-143,80.0%,+/-4.2
Bachelor's degree or higher,748,+/-134,12.3%,+/-2.2,390,+/-85,14.9%,+/-3.3,358,+/-89,10.3%,+/-2.6
