Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,245",+/-96,(X),(X),"1,804",+/-69,(X),(X),"1,441",+/-43,(X),(X)
Less than high school graduate,"1,002",+/-205,30.9%,+/-6.2,605,+/-148,33.5%,+/-8.0,397,+/-104,27.6%,+/-7.1
High school graduate (includes equivalency),"1,133",+/-187,34.9%,+/-5.7,653,+/-154,36.2%,+/-8.4,480,+/-93,33.3%,+/-6.4
Some college or associate's degree,"1,021",+/-192,31.5%,+/-6.0,530,+/-141,29.4%,+/-7.9,491,+/-110,34.1%,+/-7.6
Bachelor's degree or higher,89,+/-54,2.7%,+/-1.7,16,+/-18,0.9%,+/-1.0,73,+/-52,5.1%,+/-3.6
Population 25 years and over,"25,935",+/-94,(X),(X),"12,601",+/-115,(X),(X),"13,334",+/-122,(X),(X)
Less than 9th grade,"1,719",+/-253,6.6%,+/-1.0,963,+/-188,7.6%,+/-1.5,756,+/-140,5.7%,+/-1.1
"9th to 12th grade, no diploma","2,655",+/-333,10.2%,+/-1.3,"1,330",+/-221,10.6%,+/-1.8,"1,325",+/-225,9.9%,+/-1.7
High school graduate (includes equivalency),"10,229",+/-474,39.4%,+/-1.8,"5,350",+/-304,42.5%,+/-2.5,"4,879",+/-298,36.6%,+/-2.3
"Some college, no degree","5,356",+/-419,20.7%,+/-1.6,"2,494",+/-258,19.8%,+/-2.0,"2,862",+/-292,21.5%,+/-2.2
Associate's degree,"2,511",+/-281,9.7%,+/-1.1,979,+/-157,7.8%,+/-1.2,"1,532",+/-242,11.5%,+/-1.8
Bachelor's degree,"2,334",+/-213,9.0%,+/-0.8,"1,090",+/-146,8.7%,+/-1.1,"1,244",+/-153,9.3%,+/-1.2
Graduate or professional degree,"1,131",+/-162,4.4%,+/-0.6,395,+/-97,3.1%,+/-0.8,736,+/-128,5.5%,+/-1.0
Percent high school graduate or higher,(X),(X),83.1%,+/-1.6,(X),(X),81.8%,+/-2.2,(X),(X),84.4%,+/-1.7
Percent bachelor's degree or higher,(X),(X),13.4%,+/-1.1,(X),(X),11.8%,+/-1.4,(X),(X),14.8%,+/-1.5
Population 25 to 34 years,"4,351",+/-175,(X),(X),"2,101",+/-49,(X),(X),"2,250",+/-174,(X),(X)
High school graduate or higher,"3,524",+/-228,81.0%,+/-4.5,"1,629",+/-131,77.5%,+/-5.4,"1,895",+/-165,84.2%,+/-5.3
Bachelor's degree or higher,692,+/-137,15.9%,+/-3.1,241,+/-77,11.5%,+/-3.6,451,+/-117,20.0%,+/-5.0
Population 35 to 44 years,"4,774",+/-167,(X),(X),"2,497",+/-106,(X),(X),"2,277",+/-123,(X),(X)
High school graduate or higher,"3,905",+/-215,81.8%,+/-4.6,"1,924",+/-144,77.1%,+/-6.1,"1,981",+/-123,87.0%,+/-5.0
Bachelor's degree or higher,535,+/-122,11.2%,+/-2.6,166,+/-64,6.6%,+/-2.5,369,+/-85,16.2%,+/-4.0
Population 45 to 64 years,"10,372",+/-187,(X),(X),"5,189",+/-135,(X),(X),"5,183",+/-121,(X),(X)
High school graduate or higher,"8,863",+/-234,85.5%,+/-2.4,"4,403",+/-160,84.9%,+/-2.9,"4,460",+/-135,86.1%,+/-2.7
Bachelor's degree or higher,"1,441",+/-197,13.9%,+/-1.9,680,+/-141,13.1%,+/-2.7,761,+/-120,14.7%,+/-2.4
Population 65 years and over,"6,438",+/-86,(X),(X),"2,814",+/-76,(X),(X),"3,624",+/-42,(X),(X)
High school graduate or higher,"5,269",+/-154,81.8%,+/-2.3,"2,352",+/-102,83.6%,+/-3.4,"2,917",+/-124,80.5%,+/-3.5
Bachelor's degree or higher,797,+/-129,12.4%,+/-2.0,398,+/-87,14.1%,+/-3.0,399,+/-97,11.0%,+/-2.7
