RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"47,817",+/-163,(X),(X),"22,802",+/-103,(X),(X),"25,015",+/-100,(X),(X)
High school graduate or higher,"42,968",+/-447,89.9%,+/-1.0,"20,562",+/-299,90.2%,+/-1.3,"22,406",+/-333,89.6%,+/-1.4
Bachelor's degree or higher,"12,688",+/-591,26.5%,+/-1.2,"6,084",+/-405,26.7%,+/-1.8,"6,604",+/-425,26.4%,+/-1.7
"White alone, not Hispanic or Latino","47,177",+/-26,(X),(X),"22,469",+/-7,(X),(X),"24,708",+/-26,(X),(X)
High school graduate or higher,"42,510",+/-445,90.1%,+/-0.9,"20,302",+/-281,90.4%,+/-1.3,"22,208",+/-333,89.9%,+/-1.3
Bachelor's degree or higher,"12,547",+/-578,26.6%,+/-1.2,"5,981",+/-413,26.6%,+/-1.8,"6,566",+/-418,26.6%,+/-1.7
Black alone,"2,318",+/-88,(X),(X),"1,049",+/-77,(X),(X),"1,269",+/-29,(X),(X)
High school graduate or higher,"1,893",+/-161,81.7%,+/-5.4,907,+/-100,86.5%,+/-6.1,986,+/-101,77.7%,+/-7.8
Bachelor's degree or higher,290,+/-128,12.5%,+/-5.3,129,+/-81,12.3%,+/-7.3,161,+/-84,12.7%,+/-6.6
American Indian or Alaska Native alone,113,+/-51,(X),(X),37,+/-27,(X),(X),76,+/-52,(X),(X)
High school graduate or higher,107,+/-50,94.7%,+/-7.5,37,+/-27,100.0%,+/-46.8,70,+/-51,92.1%,+/-11.6
Bachelor's degree or higher,28,+/-37,24.8%,+/-27.9,2,+/-3,5.4%,+/-9.7,26,+/-37,34.2%,+/-38.1
Asian alone,475,+/-74,(X),(X),220,+/-62,(X),(X),255,+/-35,(X),(X)
High school graduate or higher,408,+/-89,85.9%,+/-10.5,213,+/-63,96.8%,+/-5.3,195,+/-44,76.5%,+/-16.1
Bachelor's degree or higher,180,+/-81,37.9%,+/-16.2,91,+/-55,41.4%,+/-24.0,89,+/-43,34.9%,+/-16.3
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,389,+/-206,(X),(X),179,+/-161,(X),(X),210,+/-94,(X),(X)
High school graduate or higher,272,+/-157,69.9%,+/-13.6,114,+/-119,63.7%,+/-23.3,158,+/-84,75.2%,+/-17.0
Bachelor's degree or higher,31,+/-29,8.0%,+/-7.9,0,+/-27,0.0%,+/-15.4,31,+/-29,14.8%,+/-12.9
Two or more races,343,+/-100,(X),(X),191,+/-74,(X),(X),152,+/-57,(X),(X)
High school graduate or higher,256,+/-89,74.6%,+/-14.1,139,+/-61,72.8%,+/-18.8,117,+/-51,77.0%,+/-19.3
Bachelor's degree or higher,76,+/-52,22.2%,+/-12.5,52,+/-47,27.2%,+/-19.3,24,+/-20,15.8%,+/-12.4
Hispanic or Latino Origin,"1,059",+/-105,(X),(X),530,+/-90,(X),(X),529,+/-62,(X),(X)
High school graduate or higher,746,+/-141,70.4%,+/-12.7,378,+/-94,71.3%,+/-14.6,368,+/-89,69.6%,+/-15.5
Bachelor's degree or higher,188,+/-112,17.8%,+/-10.9,103,+/-87,19.4%,+/-16.8,85,+/-59,16.1%,+/-10.9
