RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"48,355",+/-166,(X),(X),"23,010",+/-108,(X),(X),"25,345",+/-112,(X),(X)
High school graduate or higher,"43,521",+/-419,90.0%,+/-0.9,"20,862",+/-304,90.7%,+/-1.2,"22,659",+/-339,89.4%,+/-1.3
Bachelor's degree or higher,"13,874",+/-611,28.7%,+/-1.3,"6,656",+/-380,28.9%,+/-1.6,"7,218",+/-407,28.5%,+/-1.6
"White alone, not Hispanic or Latino","47,629",+/-36,(X),(X),"22,662",+/-14,(X),(X),"24,967",+/-29,(X),(X)
High school graduate or higher,"43,012",+/-394,90.3%,+/-0.8,"20,564",+/-282,90.7%,+/-1.2,"22,448",+/-322,89.9%,+/-1.3
Bachelor's degree or higher,"13,689",+/-583,28.7%,+/-1.2,"6,536",+/-363,28.8%,+/-1.6,"7,153",+/-400,28.6%,+/-1.6
Black alone,"2,268",+/-97,(X),(X),997,+/-81,(X),(X),"1,271",+/-47,(X),(X)
High school graduate or higher,"1,936",+/-156,85.4%,+/-4.8,831,+/-107,83.4%,+/-7.1,"1,105",+/-105,86.9%,+/-6.9
Bachelor's degree or higher,380,+/-151,16.8%,+/-6.3,134,+/-87,13.4%,+/-8.1,246,+/-109,19.4%,+/-8.3
American Indian or Alaska Native alone,166,+/-71,(X),(X),42,+/-24,(X),(X),124,+/-69,(X),(X)
High school graduate or higher,160,+/-72,96.4%,+/-6.4,42,+/-24,100.0%,+/-44.0,118,+/-69,95.2%,+/-9.0
Bachelor's degree or higher,41,+/-52,24.7%,+/-26.3,2,+/-4,4.8%,+/-11.0,39,+/-52,31.5%,+/-34.1
Asian alone,521,+/-59,(X),(X),212,+/-47,(X),(X),309,+/-45,(X),(X)
High school graduate or higher,413,+/-79,79.3%,+/-12.8,176,+/-49,83.0%,+/-18.5,237,+/-52,76.7%,+/-10.8
Bachelor's degree or higher,276,+/-77,53.0%,+/-13.7,123,+/-42,58.0%,+/-20.5,153,+/-54,49.5%,+/-14.3
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,247,+/-130,(X),(X),108,+/-83,(X),(X),139,+/-83,(X),(X)
High school graduate or higher,100,+/-66,40.5%,+/-20.6,52,+/-55,48.1%,+/-40.3,48,+/-39,34.5%,+/-27.8
Bachelor's degree or higher,54,+/-43,21.9%,+/-17.5,11,+/-19,10.2%,+/-18.4,43,+/-39,30.9%,+/-27.4
Two or more races,484,+/-102,(X),(X),284,+/-72,(X),(X),200,+/-67,(X),(X)
High school graduate or higher,388,+/-91,80.2%,+/-8.2,213,+/-62,75.0%,+/-13.3,175,+/-63,87.5%,+/-13.6
Bachelor's degree or higher,135,+/-54,27.9%,+/-9.6,68,+/-39,23.9%,+/-13.0,67,+/-40,33.5%,+/-16.3
Hispanic or Latino Origin,"1,052",+/-127,(X),(X),494,+/-90,(X),(X),558,+/-107,(X),(X)
High school graduate or higher,669,+/-136,63.6%,+/-12.8,375,+/-90,75.9%,+/-14.9,294,+/-114,52.7%,+/-17.5
Bachelor's degree or higher,279,+/-147,26.5%,+/-14.5,131,+/-103,26.5%,+/-21.4,148,+/-92,26.5%,+/-14.8
