Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"6,750",+/-130,(X),(X),"3,424",+/-97,(X),(X),"3,326",+/-77,(X),(X)
Less than high school graduate,949,+/-168,14.1%,+/-2.5,605,+/-148,17.7%,+/-4.3,344,+/-96,10.3%,+/-2.9
High school graduate (includes equivalency),"2,201",+/-272,32.6%,+/-3.9,"1,320",+/-200,38.6%,+/-5.9,881,+/-177,26.5%,+/-5.3
Some college or associate's degree,"3,058",+/-256,45.3%,+/-3.7,"1,312",+/-190,38.3%,+/-5.3,"1,746",+/-194,52.5%,+/-5.6
Bachelor's degree or higher,542,+/-136,8.0%,+/-2.0,187,+/-75,5.5%,+/-2.2,355,+/-112,10.7%,+/-3.4
Population 25 years and over,"51,839",+/-130,(X),(X),"24,639",+/-105,(X),(X),"27,200",+/-100,(X),(X)
Less than 9th grade,"1,754",+/-303,3.4%,+/-0.6,809,+/-186,3.3%,+/-0.8,945,+/-182,3.5%,+/-0.7
"9th to 12th grade, no diploma","3,760",+/-379,7.3%,+/-0.7,"1,770",+/-266,7.2%,+/-1.1,"1,990",+/-246,7.3%,+/-0.9
High school graduate (includes equivalency),"16,492",+/-629,31.8%,+/-1.2,"8,109",+/-450,32.9%,+/-1.8,"8,383",+/-381,30.8%,+/-1.4
"Some college, no degree","11,499",+/-615,22.2%,+/-1.2,"5,352",+/-391,21.7%,+/-1.6,"6,147",+/-443,22.6%,+/-1.6
Associate's degree,"4,375",+/-357,8.4%,+/-0.7,"1,870",+/-223,7.6%,+/-0.9,"2,505",+/-261,9.2%,+/-1.0
Bachelor's degree,"8,938",+/-476,17.2%,+/-0.9,"4,445",+/-343,18.0%,+/-1.4,"4,493",+/-341,16.5%,+/-1.2
Graduate or professional degree,"5,021",+/-358,9.7%,+/-0.7,"2,284",+/-248,9.3%,+/-1.0,"2,737",+/-230,10.1%,+/-0.8
Percent high school graduate or higher,(X),(X),89.4%,+/-0.9,(X),(X),89.5%,+/-1.4,(X),(X),89.2%,+/-0.9
Percent bachelor's degree or higher,(X),(X),26.9%,+/-1.2,(X),(X),27.3%,+/-1.6,(X),(X),26.6%,+/-1.5
Population 25 to 34 years,"9,297",+/-167,(X),(X),"4,526",+/-128,(X),(X),"4,771",+/-100,(X),(X)
High school graduate or higher,"8,492",+/-220,91.3%,+/-2.2,"4,120",+/-179,91.0%,+/-3.3,"4,372",+/-156,91.6%,+/-2.8
Bachelor's degree or higher,"2,786",+/-323,30.0%,+/-3.5,"1,272",+/-206,28.1%,+/-4.6,"1,514",+/-207,31.7%,+/-4.4
Population 35 to 44 years,"9,666",+/-149,(X),(X),"4,699",+/-92,(X),(X),"4,967",+/-101,(X),(X)
High school graduate or higher,"8,893",+/-219,92.0%,+/-1.7,"4,274",+/-150,91.0%,+/-2.6,"4,619",+/-133,93.0%,+/-2.1
Bachelor's degree or higher,"3,063",+/-281,31.7%,+/-2.9,"1,409",+/-183,30.0%,+/-3.9,"1,654",+/-182,33.3%,+/-3.8
Population 45 to 64 years,"21,830",+/-148,(X),(X),"10,590",+/-127,(X),(X),"11,240",+/-74,(X),(X)
High school graduate or higher,"19,949",+/-256,91.4%,+/-1.1,"9,730",+/-195,91.9%,+/-1.6,"10,219",+/-195,90.9%,+/-1.5
Bachelor's degree or higher,"5,889",+/-394,27.0%,+/-1.8,"2,764",+/-242,26.1%,+/-2.2,"3,125",+/-276,27.8%,+/-2.4
Population 65 years and over,"11,046",+/-54,(X),(X),"4,824",+/-40,(X),(X),"6,222",+/-49,(X),(X)
High school graduate or higher,"8,991",+/-228,81.4%,+/-2.0,"3,936",+/-138,81.6%,+/-3.0,"5,055",+/-156,81.2%,+/-2.5
Bachelor's degree or higher,"2,221",+/-238,20.1%,+/-2.2,"1,284",+/-151,26.6%,+/-3.1,937,+/-142,15.1%,+/-2.3
