RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"29,308",+/-255,(X),(X),"14,112",+/-147,(X),(X),"15,196",+/-130,(X),(X)
High school graduate or higher,"25,049",+/-418,85.5%,+/-1.3,"11,988",+/-249,84.9%,+/-1.8,"13,061",+/-258,86.0%,+/-1.5
Bachelor's degree or higher,"5,446",+/-356,18.6%,+/-1.2,"2,558",+/-240,18.1%,+/-1.7,"2,888",+/-227,19.0%,+/-1.5
"White alone, not Hispanic or Latino","28,293",+/-24,(X),(X),"13,599",+/-24,(X),(X),"14,694",+/-24,(X),(X)
High school graduate or higher,"24,514",+/-363,86.6%,+/-1.3,"11,749",+/-235,86.4%,+/-1.7,"12,765",+/-232,86.9%,+/-1.6
Bachelor's degree or higher,"5,361",+/-353,18.9%,+/-1.2,"2,558",+/-240,18.8%,+/-1.8,"2,803",+/-217,19.1%,+/-1.5
Black alone,102,+/-50,(X),(X),81,+/-42,(X),(X),21,+/-20,(X),(X)
High school graduate or higher,78,+/-44,76.5%,+/-17.0,63,+/-39,77.8%,+/-17.7,15,+/-16,71.4%,+/-53.8
Bachelor's degree or higher,0,+/-24,0.0%,+/-25.1,0,+/-24,0.0%,+/-30.0,0,+/-24,0.0%,+/-62.2
American Indian or Alaska Native alone,92,+/-43,(X),(X),32,+/-29,(X),(X),60,+/-36,(X),(X)
High school graduate or higher,66,+/-40,71.7%,+/-25.2,16,+/-21,50.0%,+/-41.9,50,+/-34,83.3%,+/-27.7
Bachelor's degree or higher,14,+/-17,15.2%,+/-18.8,2,+/-3,6.3%,+/-12.6,12,+/-17,20.0%,+/-28.0
Asian alone,204,+/-33,(X),(X),88,+/-37,(X),(X),116,+/-42,(X),(X)
High school graduate or higher,186,+/-34,91.2%,+/-9.9,73,+/-39,83.0%,+/-23.1,113,+/-42,97.4%,+/-4.1
Bachelor's degree or higher,102,+/-52,50.0%,+/-24.7,46,+/-42,52.3%,+/-39.3,56,+/-57,48.3%,+/-35.7
Native Hawaiian and Other Pacific Islander alone,9,+/-12,(X),(X),5,+/-7,(X),(X),4,+/-6,(X),(X)
High school graduate or higher,9,+/-12,100.0%,+/-95.0,5,+/-7,100.0%,+/-100.0,4,+/-6,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-95.0,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0
Some other race alone,939,+/-299,(X),(X),551,+/-197,(X),(X),388,+/-125,(X),(X)
High school graduate or higher,529,+/-198,56.3%,+/-16.5,338,+/-132,61.3%,+/-19.2,191,+/-98,49.2%,+/-22.5
Bachelor's degree or higher,14,+/-19,1.5%,+/-2.3,0,+/-24,0.0%,+/-5.3,14,+/-19,3.6%,+/-5.1
Two or more races,229,+/-74,(X),(X),121,+/-58,(X),(X),108,+/-47,(X),(X)
High school graduate or higher,185,+/-73,80.8%,+/-15.0,96,+/-50,79.3%,+/-19.6,89,+/-47,82.4%,+/-18.2
Bachelor's degree or higher,62,+/-38,27.1%,+/-15.6,19,+/-21,15.7%,+/-16.4,43,+/-34,39.8%,+/-22.8
Hispanic or Latino Origin,"2,024",+/-93,(X),(X),"1,109",+/-77,(X),(X),915,+/-47,(X),(X)
High school graduate or higher,"1,114",+/-185,55.0%,+/-9.3,612,+/-120,55.2%,+/-11.5,502,+/-117,54.9%,+/-11.8
Bachelor's degree or higher,111,+/-57,5.5%,+/-2.9,0,+/-24,0.0%,+/-2.7,111,+/-57,12.1%,+/-6.2
