RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"29,309",+/-344,(X),(X),"14,219",+/-222,(X),(X),"15,090",+/-146,(X),(X)
High school graduate or higher,"25,086",+/-458,85.6%,+/-1.5,"11,986",+/-271,84.3%,+/-1.9,"13,100",+/-296,86.8%,+/-1.9
Bachelor's degree or higher,"5,839",+/-377,19.9%,+/-1.3,"2,733",+/-239,19.2%,+/-1.7,"3,106",+/-298,20.6%,+/-1.9
"White alone, not Hispanic or Latino","28,109",+/-24,(X),(X),"13,555",+/-24,(X),(X),"14,554",+/-24,(X),(X)
High school graduate or higher,"24,307",+/-414,86.5%,+/-1.5,"11,641",+/-237,85.9%,+/-1.7,"12,666",+/-283,87.0%,+/-1.9
Bachelor's degree or higher,"5,698",+/-378,20.3%,+/-1.3,"2,717",+/-234,20.0%,+/-1.7,"2,981",+/-286,20.5%,+/-2.0
Black alone,118,+/-50,(X),(X),88,+/-42,(X),(X),30,+/-32,(X),(X)
High school graduate or higher,81,+/-47,68.6%,+/-26.0,65,+/-41,73.9%,+/-17.8,16,+/-16,53.3%,+/-53.3
Bachelor's degree or higher,12,+/-17,10.2%,+/-14.5,12,+/-17,13.6%,+/-18.7,0,+/-24,0.0%,+/-52.0
American Indian or Alaska Native alone,70,+/-55,(X),(X),19,+/-25,(X),(X),51,+/-49,(X),(X)
High school graduate or higher,42,+/-43,60.0%,+/-41.8,5,+/-8,26.3%,+/-50.6,37,+/-45,72.5%,+/-48.2
Bachelor's degree or higher,9,+/-14,12.9%,+/-18.9,0,+/-24,0.0%,+/-65.4,9,+/-14,17.6%,+/-30.8
Asian alone,135,+/-54,(X),(X),64,+/-27,(X),(X),71,+/-33,(X),(X)
High school graduate or higher,118,+/-53,87.4%,+/-12.3,57,+/-25,89.1%,+/-16.2,61,+/-37,85.9%,+/-22.8
Bachelor's degree or higher,43,+/-28,31.9%,+/-15.2,32,+/-26,50.0%,+/-33.1,11,+/-11,15.5%,+/-17.1
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,889,+/-292,(X),(X),507,+/-194,(X),(X),382,+/-124,(X),(X)
High school graduate or higher,670,+/-261,75.4%,+/-10.2,370,+/-177,73.0%,+/-18.4,300,+/-129,78.5%,+/-18.0
Bachelor's degree or higher,67,+/-52,7.5%,+/-6.7,0,+/-24,0.0%,+/-5.7,67,+/-52,17.5%,+/-14.5
Two or more races,310,+/-92,(X),(X),117,+/-59,(X),(X),193,+/-87,(X),(X)
High school graduate or higher,232,+/-78,74.8%,+/-15.2,96,+/-46,82.1%,+/-16.0,136,+/-68,70.5%,+/-21.7
Bachelor's degree or higher,124,+/-75,40.0%,+/-17.2,44,+/-37,37.6%,+/-24.7,80,+/-66,41.5%,+/-25.9
Hispanic or Latino Origin,"2,178",+/-96,(X),(X),"1,184",+/-96,(X),(X),994,*****,(X),(X)
High school graduate or higher,"1,511",+/-215,69.4%,+/-9.0,715,+/-175,60.4%,+/-13.7,796,+/-94,80.1%,+/-9.5
Bachelor's degree or higher,270,+/-92,12.4%,+/-4.5,16,+/-25,1.4%,+/-2.1,254,+/-89,25.6%,+/-8.9
