Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,993",+/-121,(X),(X),"2,117",+/-114,(X),(X),"1,876",+/-38,(X),(X)
Less than high school graduate,"1,043",+/-185,26.1%,+/-4.3,653,+/-159,30.8%,+/-7.0,390,+/-91,20.8%,+/-4.7
High school graduate (includes equivalency),"1,571",+/-224,39.3%,+/-5.6,890,+/-162,42.0%,+/-7.6,681,+/-143,36.3%,+/-7.3
Some college or associate's degree,"1,163",+/-194,29.1%,+/-5.0,515,+/-132,24.3%,+/-6.3,648,+/-139,34.5%,+/-7.6
Bachelor's degree or higher,216,+/-94,5.4%,+/-2.3,59,+/-43,2.8%,+/-2.0,157,+/-90,8.4%,+/-4.8
Population 25 years and over,"30,894",+/-125,(X),(X),"15,053",+/-126,(X),(X),"15,841",+/-64,(X),(X)
Less than 9th grade,"2,064",+/-348,6.7%,+/-1.1,"1,016",+/-224,6.7%,+/-1.5,"1,048",+/-214,6.6%,+/-1.3
"9th to 12th grade, no diploma","2,733",+/-277,8.8%,+/-0.9,"1,401",+/-213,9.3%,+/-1.4,"1,332",+/-156,8.4%,+/-1.0
High school graduate (includes equivalency),"12,537",+/-547,40.6%,+/-1.7,"6,321",+/-336,42.0%,+/-2.3,"6,216",+/-371,39.2%,+/-2.3
"Some college, no degree","5,127",+/-365,16.6%,+/-1.2,"2,442",+/-265,16.2%,+/-1.7,"2,685",+/-244,16.9%,+/-1.6
Associate's degree,"2,708",+/-354,8.8%,+/-1.1,"1,234",+/-258,8.2%,+/-1.7,"1,474",+/-227,9.3%,+/-1.4
Bachelor's degree,"3,677",+/-300,11.9%,+/-1.0,"1,697",+/-197,11.3%,+/-1.3,"1,980",+/-244,12.5%,+/-1.5
Graduate or professional degree,"2,048",+/-276,6.6%,+/-0.9,942,+/-151,6.3%,+/-1.0,"1,106",+/-191,7.0%,+/-1.2
Percent high school graduate or higher,(X),(X),84.5%,+/-1.4,(X),(X),83.9%,+/-1.9,(X),(X),85.0%,+/-1.7
Percent bachelor's degree or higher,(X),(X),18.5%,+/-1.5,(X),(X),17.5%,+/-1.7,(X),(X),19.5%,+/-1.9
Population 25 to 34 years,"5,075",+/-205,(X),(X),"2,622",+/-131,(X),(X),"2,453",+/-96,(X),(X)
High school graduate or higher,"4,204",+/-276,82.8%,+/-3.9,"2,134",+/-180,81.4%,+/-5.7,"2,070",+/-145,84.4%,+/-4.2
Bachelor's degree or higher,"1,102",+/-175,21.7%,+/-3.4,396,+/-104,15.1%,+/-4.0,706,+/-140,28.8%,+/-5.7
Population 35 to 44 years,"5,494",+/-161,(X),(X),"2,751",+/-113,(X),(X),"2,743",+/-98,(X),(X)
High school graduate or higher,"4,612",+/-238,83.9%,+/-3.2,"2,293",+/-153,83.4%,+/-4.1,"2,319",+/-132,84.5%,+/-4.0
Bachelor's degree or higher,"1,155",+/-196,21.0%,+/-3.5,488,+/-124,17.7%,+/-4.4,667,+/-137,24.3%,+/-5.0
Population 45 to 64 years,"12,715",+/-165,(X),(X),"6,370",+/-127,(X),(X),"6,345",+/-93,(X),(X)
High school graduate or higher,"11,050",+/-283,86.9%,+/-2.0,"5,388",+/-212,84.6%,+/-2.9,"5,662",+/-136,89.2%,+/-2.2
Bachelor's degree or higher,"2,024",+/-298,15.9%,+/-2.3,959,+/-154,15.1%,+/-2.4,"1,065",+/-198,16.8%,+/-3.1
Population 65 years and over,"7,610",+/-84,(X),(X),"3,310",+/-54,(X),(X),"4,300",+/-48,(X),(X)
High school graduate or higher,"6,231",+/-205,81.9%,+/-2.5,"2,821",+/-113,85.2%,+/-3.2,"3,410",+/-151,79.3%,+/-3.5
Bachelor's degree or higher,"1,444",+/-176,19.0%,+/-2.3,796,+/-122,24.0%,+/-3.6,648,+/-112,15.1%,+/-2.6
