Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,975",+/-108,(X),(X),"2,081",+/-86,(X),(X),"1,894",+/-50,(X),(X)
Less than high school graduate,"1,114",+/-169,28.0%,+/-4.0,693,+/-137,33.3%,+/-6.1,421,+/-105,22.2%,+/-5.4
High school graduate (includes equivalency),"1,319",+/-194,33.2%,+/-4.6,724,+/-126,34.8%,+/-5.6,595,+/-141,31.4%,+/-7.3
Some college or associate's degree,"1,277",+/-195,32.1%,+/-5.2,553,+/-121,26.6%,+/-6.1,724,+/-139,38.2%,+/-7.6
Bachelor's degree or higher,265,+/-69,6.7%,+/-1.7,111,+/-69,5.3%,+/-3.3,154,+/-72,8.1%,+/-3.8
Population 25 years and over,"30,883",+/-112,(X),(X),"14,990",+/-99,(X),(X),"15,893",+/-67,(X),(X)
Less than 9th grade,"2,104",+/-323,6.8%,+/-1.0,"1,126",+/-212,7.5%,+/-1.4,978,+/-205,6.2%,+/-1.3
"9th to 12th grade, no diploma","2,677",+/-289,8.7%,+/-0.9,"1,285",+/-195,8.6%,+/-1.3,"1,392",+/-183,8.8%,+/-1.2
High school graduate (includes equivalency),"12,496",+/-536,40.5%,+/-1.8,"6,327",+/-345,42.2%,+/-2.4,"6,169",+/-313,38.8%,+/-2.0
"Some college, no degree","5,548",+/-375,18.0%,+/-1.2,"2,605",+/-268,17.4%,+/-1.8,"2,943",+/-219,18.5%,+/-1.4
Associate's degree,"2,420",+/-249,7.8%,+/-0.8,"1,022",+/-189,6.8%,+/-1.3,"1,398",+/-193,8.8%,+/-1.2
Bachelor's degree,"3,558",+/-274,11.5%,+/-0.9,"1,621",+/-232,10.8%,+/-1.5,"1,937",+/-180,12.2%,+/-1.1
Graduate or professional degree,"2,080",+/-228,6.7%,+/-0.7,"1,004",+/-144,6.7%,+/-1.0,"1,076",+/-159,6.8%,+/-1.0
Percent high school graduate or higher,(X),(X),84.5%,+/-1.3,(X),(X),83.9%,+/-1.8,(X),(X),85.1%,+/-1.5
Percent bachelor's degree or higher,(X),(X),18.3%,+/-1.2,(X),(X),17.5%,+/-1.6,(X),(X),19.0%,+/-1.4
Population 25 to 34 years,"4,991",+/-192,(X),(X),"2,596",+/-124,(X),(X),"2,395",+/-96,(X),(X)
High school graduate or higher,"4,054",+/-179,81.2%,+/-3.9,"2,032",+/-140,78.3%,+/-5.6,"2,022",+/-97,84.4%,+/-4.4
Bachelor's degree or higher,"1,007",+/-173,20.2%,+/-3.5,343,+/-94,13.2%,+/-3.7,664,+/-126,27.7%,+/-5.2
Population 35 to 44 years,"5,740",+/-162,(X),(X),"2,844",+/-108,(X),(X),"2,896",+/-93,(X),(X)
High school graduate or higher,"4,801",+/-216,83.6%,+/-3.2,"2,404",+/-141,84.5%,+/-4.1,"2,397",+/-133,82.8%,+/-4.3
Bachelor's degree or higher,"1,198",+/-196,20.9%,+/-3.5,516,+/-117,18.1%,+/-4.2,682,+/-135,23.5%,+/-4.7
Population 45 to 64 years,"12,768",+/-140,(X),(X),"6,364",+/-103,(X),(X),"6,404",+/-85,(X),(X)
High school graduate or higher,"11,204",+/-260,87.8%,+/-1.8,"5,438",+/-195,85.4%,+/-2.6,"5,766",+/-146,90.0%,+/-2.1
Bachelor's degree or higher,"2,126",+/-221,16.7%,+/-1.7,"1,021",+/-154,16.0%,+/-2.4,"1,105",+/-137,17.3%,+/-2.2
Population 65 years and over,"7,384",+/-72,(X),(X),"3,186",+/-35,(X),(X),"4,198",+/-53,(X),(X)
High school graduate or higher,"6,043",+/-166,81.8%,+/-2.2,"2,705",+/-87,84.9%,+/-2.6,"3,338",+/-135,79.5%,+/-3.0
Bachelor's degree or higher,"1,307",+/-154,17.7%,+/-2.1,745,+/-107,23.4%,+/-3.4,562,+/-98,13.4%,+/-2.3
