Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,507",+/-22,(X),(X),788,+/-16,(X),(X),719,+/-12,(X),(X)
Less than high school graduate,429,+/-124,28.5%,+/-8.2,248,+/-77,31.5%,+/-9.7,181,+/-76,25.2%,+/-10.5
High school graduate (includes equivalency),436,+/-104,28.9%,+/-6.9,248,+/-81,31.5%,+/-10.2,188,+/-73,26.1%,+/-10.2
Some college or associate's degree,547,+/-134,36.3%,+/-8.9,255,+/-86,32.4%,+/-10.9,292,+/-92,40.6%,+/-12.7
Bachelor's degree or higher,95,+/-64,6.3%,+/-4.2,37,+/-40,4.7%,+/-5.1,58,+/-40,8.1%,+/-5.5
Population 25 years and over,"14,921",+/-101,(X),(X),"7,524",+/-90,(X),(X),"7,397",+/-67,(X),(X)
Less than 9th grade,638,+/-169,4.3%,+/-1.1,334,+/-104,4.4%,+/-1.4,304,+/-107,4.1%,+/-1.4
"9th to 12th grade, no diploma","1,548",+/-226,10.4%,+/-1.5,870,+/-139,11.6%,+/-1.9,678,+/-143,9.2%,+/-1.9
High school graduate (includes equivalency),"6,411",+/-388,43.0%,+/-2.5,"3,482",+/-238,46.3%,+/-3.0,"2,929",+/-298,39.6%,+/-4.1
"Some college, no degree","3,442",+/-374,23.1%,+/-2.5,"1,485",+/-213,19.7%,+/-2.8,"1,957",+/-275,26.5%,+/-3.7
Associate's degree,991,+/-195,6.6%,+/-1.3,452,+/-140,6.0%,+/-1.9,539,+/-110,7.3%,+/-1.5
Bachelor's degree,"1,024",+/-165,6.9%,+/-1.1,456,+/-117,6.1%,+/-1.5,568,+/-121,7.7%,+/-1.6
Graduate or professional degree,867,+/-176,5.8%,+/-1.2,445,+/-115,5.9%,+/-1.5,422,+/-122,5.7%,+/-1.6
Percent high school graduate or higher,(X),(X),85.3%,+/-1.7,(X),(X),84.0%,+/-2.2,(X),(X),86.7%,+/-2.1
Percent bachelor's degree or higher,(X),(X),12.7%,+/-1.7,(X),(X),12.0%,+/-2.1,(X),(X),13.4%,+/-2.2
Population 25 to 34 years,"2,158",+/-47,(X),(X),"1,111",+/-39,(X),(X),"1,047",+/-25,(X),(X)
High school graduate or higher,"1,887",+/-109,87.4%,+/-4.6,983,+/-68,88.5%,+/-5.5,904,+/-76,86.3%,+/-7.6
Bachelor's degree or higher,246,+/-83,11.4%,+/-3.8,71,+/-52,6.4%,+/-4.6,175,+/-55,16.7%,+/-5.4
Population 35 to 44 years,"2,380",+/-56,(X),(X),"1,207",+/-37,(X),(X),"1,173",+/-28,(X),(X)
High school graduate or higher,"2,014",+/-115,84.6%,+/-4.2,998,+/-77,82.7%,+/-5.8,"1,016",+/-67,86.6%,+/-5.1
Bachelor's degree or higher,375,+/-111,15.8%,+/-4.6,144,+/-50,11.9%,+/-4.1,231,+/-80,19.7%,+/-6.8
Population 45 to 64 years,"6,617",+/-97,(X),(X),"3,378",+/-84,(X),(X),"3,239",+/-58,(X),(X)
High school graduate or higher,"5,803",+/-180,87.7%,+/-2.5,"2,929",+/-137,86.7%,+/-3.3,"2,874",+/-120,88.7%,+/-3.3
Bachelor's degree or higher,842,+/-160,12.7%,+/-2.4,432,+/-115,12.8%,+/-3.3,410,+/-106,12.7%,+/-3.2
Population 65 years and over,"3,766",+/-46,(X),(X),"1,828",+/-43,(X),(X),"1,938",+/-24,(X),(X)
High school graduate or higher,"3,031",+/-150,80.5%,+/-3.8,"1,410",+/-112,77.1%,+/-5.7,"1,621",+/-86,83.6%,+/-4.3
Bachelor's degree or higher,428,+/-112,11.4%,+/-3.0,254,+/-82,13.9%,+/-4.4,174,+/-88,9.0%,+/-4.5
