RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"14,557",+/-52,(X),(X),"7,274",+/-33,(X),(X),"7,283",+/-31,(X),(X)
High school graduate or higher,"12,080",+/-320,83.0%,+/-2.2,"5,970",+/-175,82.1%,+/-2.5,"6,110",+/-211,83.9%,+/-2.8
Bachelor's degree or higher,"1,537",+/-230,10.6%,+/-1.6,738,+/-130,10.1%,+/-1.8,799,+/-153,11.0%,+/-2.1
"White alone, not Hispanic or Latino","14,485",+/-21,(X),(X),"7,231",+/-21,(X),(X),"7,254",+/-21,(X),(X)
High school graduate or higher,"12,020",+/-320,83.0%,+/-2.2,"5,932",+/-183,82.0%,+/-2.5,"6,088",+/-201,83.9%,+/-2.8
Bachelor's degree or higher,"1,524",+/-233,10.5%,+/-1.6,725,+/-131,10.0%,+/-1.8,799,+/-153,11.0%,+/-2.1
Black alone,112,+/-88,(X),(X),31,+/-29,(X),(X),81,+/-69,(X),(X)
High school graduate or higher,111,+/-88,99.1%,+/-2.6,30,+/-29,96.8%,+/-8.7,81,+/-69,100.0%,+/-30.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-23.2,0,+/-21,0.0%,+/-51.2,0,+/-21,0.0%,+/-30.0
American Indian or Alaska Native alone,58,+/-47,(X),(X),0,+/-21,(X),(X),58,+/-47,(X),(X)
High school graduate or higher,58,+/-47,100.0%,+/-37.4,0,+/-21,-,**,58,+/-47,100.0%,+/-37.4
Bachelor's degree or higher,0,+/-21,0.0%,+/-37.4,0,+/-21,-,**,0,+/-21,0.0%,+/-37.4
Asian alone,39,+/-52,(X),(X),28,+/-35,(X),(X),11,+/-19,(X),(X)
High school graduate or higher,32,+/-43,82.1%,+/-14.5,21,+/-27,75.0%,+/-23.6,11,+/-19,100.0%,+/-85.9
Bachelor's degree or higher,0,+/-21,0.0%,+/-45.6,0,+/-21,0.0%,+/-53.8,0,+/-21,0.0%,+/-85.9
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,7,+/-14,(X),(X),7,+/-14,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-100.0,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-100.0,0,+/-21,-,**
Two or more races,159,+/-104,(X),(X),90,+/-52,(X),(X),69,+/-69,(X),(X)
High school graduate or higher,159,+/-104,100.0%,+/-17.1,90,+/-52,100.0%,+/-27.7,69,+/-69,100.0%,+/-33.6
Bachelor's degree or higher,31,+/-37,19.5%,+/-23.8,20,+/-34,22.2%,+/-33.3,11,+/-17,15.9%,+/-24.6
Hispanic or Latino Origin,79,+/-53,(X),(X),50,+/-34,(X),(X),29,+/-31,(X),(X)
High school graduate or higher,60,+/-44,75.9%,+/-37.6,38,+/-32,76.0%,+/-36.8,22,+/-25,75.9%,+/-59.9
Bachelor's degree or higher,13,+/-23,16.5%,+/-28.9,13,+/-23,26.0%,+/-42.0,0,+/-21,0.0%,+/-52.9
