RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"14,476",+/-59,(X),(X),"7,225",+/-48,(X),(X),"7,251",+/-42,(X),(X)
High school graduate or higher,"12,343",+/-249,85.3%,+/-1.7,"6,037",+/-170,83.6%,+/-2.2,"6,306",+/-165,87.0%,+/-2.2
Bachelor's degree or higher,"1,769",+/-245,12.2%,+/-1.7,802,+/-150,11.1%,+/-2.1,967,+/-170,13.3%,+/-2.3
"White alone, not Hispanic or Latino","14,408",+/-21,(X),(X),"7,195",+/-21,(X),(X),"7,213",+/-21,(X),(X)
High school graduate or higher,"12,276",+/-241,85.2%,+/-1.7,"6,008",+/-162,83.5%,+/-2.3,"6,268",+/-155,86.9%,+/-2.2
Bachelor's degree or higher,"1,740",+/-249,12.1%,+/-1.7,773,+/-150,10.7%,+/-2.1,967,+/-170,13.4%,+/-2.4
Black alone,150,+/-87,(X),(X),96,+/-77,(X),(X),54,+/-36,(X),(X)
High school graduate or higher,150,+/-87,100.0%,+/-18.0,96,+/-77,100.0%,+/-26.3,54,+/-36,100.0%,+/-38.8
Bachelor's degree or higher,44,+/-49,29.3%,+/-21.4,44,+/-49,45.8%,+/-24.7,0,+/-21,0.0%,+/-38.8
American Indian or Alaska Native alone,60,+/-38,(X),(X),36,+/-31,(X),(X),24,+/-22,(X),(X)
High school graduate or higher,51,+/-35,85.0%,+/-20.5,36,+/-31,100.0%,+/-47.5,15,+/-17,62.5%,+/-44.3
Bachelor's degree or higher,21,+/-26,35.0%,+/-35.7,16,+/-25,44.4%,+/-53.8,5,+/-7,20.8%,+/-23.4
Asian alone,71,+/-20,(X),(X),21,+/-18,(X),(X),50,+/-12,(X),(X)
High school graduate or higher,37,+/-17,52.1%,+/-27.9,15,+/-17,71.4%,+/-44.2,22,+/-22,44.0%,+/-44.8
Bachelor's degree or higher,18,+/-21,25.4%,+/-35.7,0,+/-21,0.0%,+/-62.2,18,+/-21,36.0%,+/-42.7
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Two or more races,164,+/-69,(X),(X),146,+/-52,(X),(X),18,+/-26,(X),(X)
High school graduate or higher,154,+/-73,93.9%,+/-11.5,136,+/-57,93.2%,+/-12.5,18,+/-26,100.0%,+/-67.2
Bachelor's degree or higher,39,+/-32,23.8%,+/-19.7,39,+/-32,26.7%,+/-21.0,0,+/-21,0.0%,+/-67.2
Hispanic or Latino Origin,133,+/-87,(X),(X),95,+/-88,(X),(X),38,+/-42,(X),(X)
High school graduate or higher,132,+/-87,99.2%,+/-1.8,94,+/-88,98.9%,+/-2.8,38,+/-42,100.0%,+/-46.2
Bachelor's degree or higher,73,+/-67,54.9%,+/-27.0,73,+/-67,76.8%,+/-22.4,0,+/-21,0.0%,+/-46.2
