RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"6,914",+/-68,(X),(X),"3,486",+/-68,(X),(X),"3,428",+/-18,(X),(X)
High school graduate or higher,"5,729",+/-205,82.9%,+/-3.0,"2,762",+/-147,79.2%,+/-4.4,"2,967",+/-105,86.6%,+/-3.1
Bachelor's degree or higher,565,+/-113,8.2%,+/-1.6,264,+/-87,7.6%,+/-2.5,301,+/-72,8.8%,+/-2.1
"White alone, not Hispanic or Latino","6,848",+/-18,(X),(X),"3,420",+/-18,(X),(X),"3,428",+/-18,(X),(X)
High school graduate or higher,"5,729",+/-205,83.7%,+/-3.0,"2,762",+/-147,80.8%,+/-4.3,"2,967",+/-105,86.6%,+/-3.1
Bachelor's degree or higher,565,+/-113,8.3%,+/-1.7,264,+/-87,7.7%,+/-2.6,301,+/-72,8.8%,+/-2.1
Black alone,55,+/-37,(X),(X),51,+/-36,(X),(X),4,+/-8,(X),(X)
High school graduate or higher,24,+/-26,43.6%,+/-38.0,20,+/-25,39.2%,+/-40.3,4,+/-8,100.0%,+/-100.0
Bachelor's degree or higher,4,+/-8,7.3%,+/-15.1,0,+/-18,0.0%,+/-39.9,4,+/-8,100.0%,+/-100.0
American Indian or Alaska Native alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Asian alone,13,+/-20,(X),(X),3,+/-5,(X),(X),10,+/-18,(X),(X)
High school graduate or higher,13,+/-20,100.0%,+/-79.0,3,+/-5,100.0%,+/-100.0,10,+/-18,100.0%,+/-90.1
Bachelor's degree or higher,3,+/-5,23.1%,+/-42.2,3,+/-5,100.0%,+/-100.0,0,+/-18,0.0%,+/-90.1
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,33,+/-45,(X),(X),33,+/-45,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,33,+/-45,100.0%,+/-49.6,33,+/-45,100.0%,+/-49.6,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-49.6,0,+/-18,0.0%,+/-49.6,0,+/-18,-,**
Two or more races,55,+/-38,(X),(X),23,+/-17,(X),(X),32,+/-26,(X),(X)
High school graduate or higher,49,+/-40,89.1%,+/-22.6,20,+/-17,87.0%,+/-29.1,29,+/-27,90.6%,+/-25.9
Bachelor's degree or higher,13,+/-16,23.6%,+/-28.4,0,+/-18,0.0%,+/-59.4,13,+/-16,40.6%,+/-38.8
Hispanic or Latino Origin,99,+/-77,(X),(X),99,+/-77,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,33,+/-45,33.3%,+/-44.2,33,+/-45,33.3%,+/-44.2,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-25.7,0,+/-18,0.0%,+/-25.7,0,+/-18,-,**
