Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,779,+/-37,(X),(X),403,+/-18,(X),(X),376,+/-37,(X),(X)
Less than high school graduate,236,+/-112,30.3%,+/-14.1,143,+/-80,35.5%,+/-19.9,93,+/-65,24.7%,+/-16.4
High school graduate (includes equivalency),334,+/-106,42.9%,+/-13.5,187,+/-86,46.4%,+/-21.3,147,+/-53,39.1%,+/-14.1
Some college or associate's degree,209,+/-78,26.8%,+/-10.3,73,+/-52,18.1%,+/-12.9,136,+/-54,36.2%,+/-14.6
Bachelor's degree or higher,0,+/-18,0.0%,+/-3.8,0,+/-18,0.0%,+/-7.2,0,+/-18,0.0%,+/-7.7
Population 25 years and over,"7,159",+/-38,(X),(X),"3,628",+/-59,(X),(X),"3,531",+/-53,(X),(X)
Less than 9th grade,353,+/-110,4.9%,+/-1.5,234,+/-81,6.4%,+/-2.2,119,+/-56,3.4%,+/-1.6
"9th to 12th grade, no diploma",894,+/-154,12.5%,+/-2.1,520,+/-130,14.3%,+/-3.5,374,+/-102,10.6%,+/-2.9
High school graduate (includes equivalency),"3,483",+/-270,48.7%,+/-3.8,"1,715",+/-171,47.3%,+/-4.9,"1,768",+/-176,50.1%,+/-5.0
"Some college, no degree","1,289",+/-215,18.0%,+/-3.0,660,+/-129,18.2%,+/-3.5,629,+/-148,17.8%,+/-4.2
Associate's degree,517,+/-136,7.2%,+/-1.9,189,+/-85,5.2%,+/-2.3,328,+/-95,9.3%,+/-2.7
Bachelor's degree,451,+/-128,6.3%,+/-1.8,216,+/-77,6.0%,+/-2.1,235,+/-88,6.7%,+/-2.5
Graduate or professional degree,172,+/-60,2.4%,+/-0.8,94,+/-45,2.6%,+/-1.2,78,+/-33,2.2%,+/-0.9
Percent high school graduate or higher,(X),(X),82.6%,+/-2.8,(X),(X),79.2%,+/-4.3,(X),(X),86.0%,+/-3.3
Percent bachelor's degree or higher,(X),(X),8.7%,+/-1.9,(X),(X),8.5%,+/-2.3,(X),(X),8.9%,+/-2.6
Population 25 to 34 years,"1,130",+/-9,(X),(X),561,+/-9,(X),(X),569,+/-18,(X),(X)
High school graduate or higher,945,+/-69,83.6%,+/-6.0,466,+/-51,83.1%,+/-8.9,479,+/-36,84.2%,+/-6.3
Bachelor's degree or higher,96,+/-49,8.5%,+/-4.3,43,+/-28,7.7%,+/-5.0,53,+/-32,9.3%,+/-5.6
Population 35 to 44 years,"1,283",+/-55,(X),(X),669,+/-45,(X),(X),614,+/-36,(X),(X)
High school graduate or higher,"1,132",+/-89,88.2%,+/-5.3,628,+/-52,93.9%,+/-4.2,504,+/-77,82.1%,+/-11.0
Bachelor's degree or higher,139,+/-72,10.8%,+/-5.4,48,+/-34,7.2%,+/-5.1,91,+/-50,14.8%,+/-7.6
Population 45 to 64 years,"2,910",+/-44,(X),(X),"1,495",+/-38,(X),(X),"1,415",+/-25,(X),(X)
High school graduate or higher,"2,422",+/-112,83.2%,+/-3.8,"1,125",+/-109,75.3%,+/-7.2,"1,297",+/-52,91.7%,+/-3.3
Bachelor's degree or higher,214,+/-80,7.4%,+/-2.8,97,+/-60,6.5%,+/-4.0,117,+/-51,8.3%,+/-3.6
Population 65 years and over,"1,836",+/-70,(X),(X),903,+/-65,(X),(X),933,+/-38,(X),(X)
High school graduate or higher,"1,413",+/-116,77.0%,+/-6.3,655,+/-74,72.5%,+/-9.7,758,+/-65,81.2%,+/-6.9
Bachelor's degree or higher,174,+/-70,9.5%,+/-3.9,122,+/-51,13.5%,+/-5.8,52,+/-33,5.6%,+/-3.5
