RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"6,863",+/-10,(X),(X),"3,424",+/-10,(X),(X),"3,439",+/-18,(X),(X)
High school graduate or higher,"5,809",+/-174,84.6%,+/-2.5,"2,851",+/-134,83.3%,+/-4.0,"2,958",+/-112,86.0%,+/-3.3
Bachelor's degree or higher,606,+/-123,8.8%,+/-1.8,270,+/-101,7.9%,+/-2.9,336,+/-96,9.8%,+/-2.8
"White alone, not Hispanic or Latino","6,857",+/-18,(X),(X),"3,418",+/-18,(X),(X),"3,439",+/-18,(X),(X)
High school graduate or higher,"5,809",+/-174,84.7%,+/-2.5,"2,851",+/-134,83.4%,+/-3.9,"2,958",+/-112,86.0%,+/-3.3
Bachelor's degree or higher,606,+/-123,8.8%,+/-1.8,270,+/-101,7.9%,+/-2.9,336,+/-96,9.8%,+/-2.8
Black alone,86,+/-51,(X),(X),79,+/-54,(X),(X),7,+/-11,(X),(X)
High school graduate or higher,43,+/-44,50.0%,+/-38.2,36,+/-46,45.6%,+/-42.8,7,+/-11,100.0%,+/-100.0
Bachelor's degree or higher,7,+/-11,8.1%,+/-16.9,0,+/-18,0.0%,+/-30.6,7,+/-11,100.0%,+/-100.0
American Indian or Alaska Native alone,19,+/-27,(X),(X),19,+/-27,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,19,+/-27,100.0%,+/-65.4,19,+/-27,100.0%,+/-65.4,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-65.4,0,+/-18,0.0%,+/-65.4,0,+/-18,-,**
Asian alone,18,+/-22,(X),(X),4,+/-7,(X),(X),14,+/-20,(X),(X)
High school graduate or higher,18,+/-22,100.0%,+/-67.2,4,+/-7,100.0%,+/-100.0,14,+/-20,100.0%,+/-76.1
Bachelor's degree or higher,4,+/-7,22.2%,+/-47.2,4,+/-7,100.0%,+/-100.0,0,+/-18,0.0%,+/-76.1
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,31,+/-46,(X),(X),31,+/-46,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,31,+/-46,100.0%,+/-51.2,31,+/-46,100.0%,+/-51.2,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-51.2,0,+/-18,0.0%,+/-51.2,0,+/-18,-,**
Two or more races,38,+/-35,(X),(X),12,+/-14,(X),(X),26,+/-34,(X),(X)
High school graduate or higher,29,+/-34,76.3%,+/-38.6,7,+/-11,58.3%,+/-58.3,22,+/-34,84.6%,+/-39.4
Bachelor's degree or higher,22,+/-34,57.9%,+/-50.4,0,+/-18,0.0%,+/-82.3,22,+/-34,84.6%,+/-39.4
Hispanic or Latino Origin,37,+/-47,(X),(X),37,+/-47,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,31,+/-46,83.8%,+/-39.7,31,+/-46,83.8%,+/-39.7,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-46.8,0,+/-18,0.0%,+/-46.8,0,+/-18,-,**
