Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,804,+/-25,(X),(X),428,+/-22,(X),(X),376,+/-15,(X),(X)
Less than high school graduate,251,+/-83,31.2%,+/-10.6,172,+/-64,40.2%,+/-15.3,79,+/-48,21.0%,+/-12.6
High school graduate (includes equivalency),292,+/-76,36.3%,+/-8.9,130,+/-64,30.4%,+/-14.2,162,+/-62,43.1%,+/-16.1
Some college or associate's degree,261,+/-73,32.5%,+/-9.2,126,+/-57,29.4%,+/-13.4,135,+/-56,35.9%,+/-15.3
Bachelor's degree or higher,0,+/-18,0.0%,+/-3.7,0,+/-18,0.0%,+/-6.8,0,+/-18,0.0%,+/-7.7
Population 25 years and over,"7,055",+/-25,(X),(X),"3,569",+/-45,(X),(X),"3,486",+/-40,(X),(X)
Less than 9th grade,322,+/-99,4.6%,+/-1.4,211,+/-78,5.9%,+/-2.2,111,+/-42,3.2%,+/-1.2
"9th to 12th grade, no diploma",784,+/-159,11.1%,+/-2.3,410,+/-120,11.5%,+/-3.4,374,+/-105,10.7%,+/-3.0
High school graduate (includes equivalency),"3,287",+/-264,46.6%,+/-3.7,"1,731",+/-171,48.5%,+/-4.7,"1,556",+/-169,44.6%,+/-5.0
"Some college, no degree","1,400",+/-197,19.8%,+/-2.8,714,+/-148,20.0%,+/-4.1,686,+/-138,19.7%,+/-3.9
Associate's degree,623,+/-133,8.8%,+/-1.9,229,+/-94,6.4%,+/-2.6,394,+/-95,11.3%,+/-2.7
Bachelor's degree,458,+/-134,6.5%,+/-1.9,194,+/-88,5.4%,+/-2.5,264,+/-95,7.6%,+/-2.7
Graduate or professional degree,181,+/-74,2.6%,+/-1.0,80,+/-61,2.2%,+/-1.7,101,+/-44,2.9%,+/-1.3
Percent high school graduate or higher,(X),(X),84.3%,+/-2.5,(X),(X),82.6%,+/-4.0,(X),(X),86.1%,+/-3.2
Percent bachelor's degree or higher,(X),(X),9.1%,+/-1.9,(X),(X),7.7%,+/-2.8,(X),(X),10.5%,+/-2.7
Population 25 to 34 years,"1,149",+/-14,(X),(X),581,+/-14,(X),(X),568,+/-18,(X),(X)
High school graduate or higher,932,+/-89,81.1%,+/-7.9,462,+/-59,79.5%,+/-10.4,470,+/-54,82.7%,+/-9.5
Bachelor's degree or higher,77,+/-37,6.7%,+/-3.2,35,+/-25,6.0%,+/-4.3,42,+/-26,7.4%,+/-4.6
Population 35 to 44 years,"1,297",+/-54,(X),(X),680,+/-56,(X),(X),617,+/-34,(X),(X)
High school graduate or higher,"1,171",+/-77,90.3%,+/-4.2,629,+/-66,92.5%,+/-5.4,542,+/-50,87.8%,+/-7.4
Bachelor's degree or higher,97,+/-60,7.5%,+/-4.5,12,+/-15,1.8%,+/-2.3,85,+/-50,13.8%,+/-7.5
Population 45 to 64 years,"2,965",+/-47,(X),(X),"1,539",+/-44,(X),(X),"1,426",+/-23,(X),(X)
High school graduate or higher,"2,579",+/-101,87.0%,+/-3.5,"1,291",+/-74,83.9%,+/-5.2,"1,288",+/-68,90.3%,+/-4.9
Bachelor's degree or higher,280,+/-92,9.4%,+/-3.1,118,+/-70,7.7%,+/-4.6,162,+/-71,11.4%,+/-4.9
Population 65 years and over,"1,644",+/-7,(X),(X),769,+/-18,(X),(X),875,+/-7,(X),(X)
High school graduate or higher,"1,267",+/-75,77.1%,+/-4.6,566,+/-60,73.6%,+/-7.8,701,+/-52,80.1%,+/-6.1
Bachelor's degree or higher,185,+/-74,11.3%,+/-4.5,109,+/-61,14.2%,+/-7.9,76,+/-39,8.7%,+/-4.5
