RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"91,507",+/-354,(X),(X),"43,872",+/-251,(X),(X),"47,635",+/-187,(X),(X)
High school graduate or higher,"84,010",+/-794,91.8%,+/-0.9,"40,247",+/-518,91.7%,+/-1.2,"43,763",+/-492,91.9%,+/-1.0
Bachelor's degree or higher,"26,509",+/-976,29.0%,+/-1.0,"13,056",+/-638,29.8%,+/-1.4,"13,453",+/-661,28.2%,+/-1.4
"White alone, not Hispanic or Latino","90,108",+/-104,(X),(X),"43,171",+/-41,(X),(X),"46,937",+/-79,(X),(X)
High school graduate or higher,"82,891",+/-743,92.0%,+/-0.8,"39,733",+/-478,92.0%,+/-1.1,"43,158",+/-452,91.9%,+/-0.9
Bachelor's degree or higher,"26,144",+/-939,29.0%,+/-1.0,"12,767",+/-605,29.6%,+/-1.4,"13,377",+/-655,28.5%,+/-1.4
Black alone,"1,482",+/-190,(X),(X),783,+/-176,(X),(X),699,+/-137,(X),(X)
High school graduate or higher,"1,379",+/-174,93.0%,+/-5.1,682,+/-169,87.1%,+/-9.6,697,+/-137,99.7%,+/-0.6
Bachelor's degree or higher,701,+/-224,47.3%,+/-13.7,438,+/-168,55.9%,+/-17.9,263,+/-217,37.6%,+/-25.9
American Indian or Alaska Native alone,97,+/-75,(X),(X),14,+/-21,(X),(X),83,+/-68,(X),(X)
High school graduate or higher,97,+/-75,100.0%,+/-26.1,14,+/-21,100.0%,+/-76.1,83,+/-68,100.0%,+/-29.5
Bachelor's degree or higher,71,+/-71,73.2%,+/-38.0,0,+/-27,0.0%,+/-76.1,71,+/-71,85.5%,+/-35.4
Asian alone,"2,492",+/-193,(X),(X),"1,215",+/-100,(X),(X),"1,277",+/-130,(X),(X)
High school graduate or higher,"2,067",+/-245,82.9%,+/-7.6,"1,103",+/-126,90.8%,+/-7.6,964,+/-166,75.5%,+/-10.2
Bachelor's degree or higher,"1,067",+/-257,42.8%,+/-9.7,564,+/-146,46.4%,+/-11.0,503,+/-168,39.4%,+/-12.2
Native Hawaiian and Other Pacific Islander alone,9,+/-15,(X),(X),9,+/-15,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,9,+/-15,100.0%,+/-95.0,9,+/-15,100.0%,+/-95.0,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,0.0%,+/-95.0,0,+/-27,0.0%,+/-95.0,0,+/-27,-,**
Some other race alone,"1,141",+/-441,(X),(X),706,+/-249,(X),(X),435,+/-241,(X),(X)
High school graduate or higher,932,+/-352,81.7%,+/-11.0,639,+/-252,90.5%,+/-12.2,293,+/-183,67.4%,+/-27.5
Bachelor's degree or higher,180,+/-179,15.8%,+/-17.1,131,+/-162,18.6%,+/-23.7,49,+/-53,11.3%,+/-14.0
Two or more races,766,+/-269,(X),(X),307,+/-157,(X),(X),459,+/-161,(X),(X)
High school graduate or higher,714,+/-256,93.2%,+/-6.4,286,+/-145,93.2%,+/-7.5,428,+/-152,93.2%,+/-8.8
Bachelor's degree or higher,234,+/-125,30.5%,+/-11.7,118,+/-91,38.4%,+/-22.4,116,+/-85,25.3%,+/-16.1
Hispanic or Latino Origin,"2,597",+/-158,(X),(X),"1,436",+/-123,(X),(X),"1,161",+/-152,(X),(X)
High school graduate or higher,"2,067",+/-212,79.6%,+/-8.1,"1,141",+/-203,79.5%,+/-12.2,926,+/-131,79.8%,+/-12.7
Bachelor's degree or higher,509,+/-247,19.6%,+/-9.9,394,+/-228,27.4%,+/-15.3,115,+/-86,9.9%,+/-7.4
