RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"92,303",+/-371,(X),(X),"44,256",+/-249,(X),(X),"48,047",+/-220,(X),(X)
High school graduate or higher,"85,243",+/-771,92.4%,+/-0.8,"40,832",+/-544,92.3%,+/-1.1,"44,411",+/-420,92.4%,+/-0.9
Bachelor's degree or higher,"28,181","+/-1,301",30.5%,+/-1.4,"13,698",+/-703,31.0%,+/-1.6,"14,483",+/-836,30.1%,+/-1.7
"White alone, not Hispanic or Latino","90,867",+/-67,(X),(X),"43,587",+/-18,(X),(X),"47,280",+/-65,(X),(X)
High school graduate or higher,"84,018",+/-726,92.5%,+/-0.8,"40,283",+/-507,92.4%,+/-1.2,"43,735",+/-409,92.5%,+/-0.8
Bachelor's degree or higher,"27,721","+/-1,261",30.5%,+/-1.4,"13,374",+/-689,30.7%,+/-1.6,"14,347",+/-829,30.3%,+/-1.8
Black alone,"1,765",+/-197,(X),(X),930,+/-169,(X),(X),835,+/-122,(X),(X)
High school graduate or higher,"1,674",+/-173,94.8%,+/-3.8,839,+/-147,90.2%,+/-6.9,835,+/-122,100.0%,+/-3.5
Bachelor's degree or higher,627,+/-173,35.5%,+/-10.5,335,+/-148,36.0%,+/-15.8,292,+/-154,35.0%,+/-16.1
American Indian or Alaska Native alone,123,+/-86,(X),(X),34,+/-57,(X),(X),89,+/-73,(X),(X)
High school graduate or higher,123,+/-86,100.0%,+/-21.4,34,+/-57,100.0%,+/-48.9,89,+/-73,100.0%,+/-27.9
Bachelor's degree or higher,34,+/-43,27.6%,+/-34.7,0,+/-27,0.0%,+/-48.9,34,+/-43,38.2%,+/-45.3
Asian alone,"2,874",+/-150,(X),(X),"1,415",+/-94,(X),(X),"1,459",+/-106,(X),(X)
High school graduate or higher,"2,212",+/-312,77.0%,+/-9.1,"1,176",+/-180,83.1%,+/-10.3,"1,036",+/-189,71.0%,+/-10.1
Bachelor's degree or higher,"1,326",+/-316,46.1%,+/-9.9,730,+/-170,51.6%,+/-10.6,596,+/-222,40.8%,+/-13.7
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,"1,314",+/-482,(X),(X),772,+/-271,(X),(X),542,+/-256,(X),(X)
High school graduate or higher,"1,015",+/-357,77.2%,+/-11.3,671,+/-271,86.9%,+/-14.7,344,+/-173,63.5%,+/-25.4
Bachelor's degree or higher,211,+/-180,16.1%,+/-14.3,156,+/-169,20.2%,+/-21.5,55,+/-62,10.1%,+/-11.8
Two or more races,581,+/-217,(X),(X),235,+/-120,(X),(X),346,+/-139,(X),(X)
High school graduate or higher,516,+/-207,88.8%,+/-8.7,219,+/-113,93.2%,+/-8.3,297,+/-135,85.8%,+/-13.9
Bachelor's degree or higher,172,+/-102,29.6%,+/-11.9,62,+/-58,26.4%,+/-24.6,110,+/-87,31.8%,+/-18.1
Hispanic or Latino Origin,"2,793",+/-166,(X),(X),"1,469",+/-122,(X),(X),"1,324",+/-171,(X),(X)
High school graduate or higher,"2,253",+/-157,80.7%,+/-6.5,"1,232",+/-179,83.9%,+/-10.4,"1,021",+/-126,77.1%,+/-12.3
Bachelor's degree or higher,686,+/-276,24.6%,+/-10.5,480,+/-243,32.7%,+/-16.4,206,+/-123,15.6%,+/-9.5
