Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"12,331",+/-263,(X),(X),"6,147",+/-204,(X),(X),"6,184",+/-178,(X),(X)
Less than high school graduate,"2,313",+/-300,18.8%,+/-2.5,"1,335",+/-222,21.7%,+/-3.6,978,+/-176,15.8%,+/-3.0
High school graduate (includes equivalency),"3,962",+/-383,32.1%,+/-3.1,"2,252",+/-299,36.6%,+/-4.9,"1,710",+/-285,27.7%,+/-4.6
Some college or associate's degree,"4,764",+/-492,38.6%,+/-3.7,"2,015",+/-314,32.8%,+/-4.8,"2,749",+/-378,44.5%,+/-5.6
Bachelor's degree or higher,"1,292",+/-273,10.5%,+/-2.2,545,+/-191,8.9%,+/-3.1,747,+/-202,12.1%,+/-3.3
Population 25 years and over,"96,050",+/-285,(X),(X),"46,171",+/-304,(X),(X),"49,879",+/-226,(X),(X)
Less than 9th grade,"1,846",+/-316,1.9%,+/-0.3,885,+/-190,1.9%,+/-0.4,961,+/-212,1.9%,+/-0.4
"9th to 12th grade, no diploma","5,821",+/-612,6.1%,+/-0.6,"2,855",+/-435,6.2%,+/-0.9,"2,966",+/-356,5.9%,+/-0.7
High school graduate (includes equivalency),"32,510","+/-1,242",33.8%,+/-1.3,"15,458",+/-798,33.5%,+/-1.7,"17,052",+/-741,34.2%,+/-1.5
"Some college, no degree","19,431","+/-1,073",20.2%,+/-1.1,"8,847",+/-622,19.2%,+/-1.4,"10,584",+/-750,21.2%,+/-1.5
Associate's degree,"9,050",+/-829,9.4%,+/-0.9,"4,442",+/-466,9.6%,+/-1.0,"4,608",+/-579,9.2%,+/-1.2
Bachelor's degree,"18,649","+/-1,090",19.4%,+/-1.1,"9,423",+/-704,20.4%,+/-1.5,"9,226",+/-773,18.5%,+/-1.5
Graduate or professional degree,"8,743",+/-674,9.1%,+/-0.7,"4,261",+/-460,9.2%,+/-1.0,"4,482",+/-437,9.0%,+/-0.9
Percent high school graduate or higher,(X),(X),92.0%,+/-0.8,(X),(X),91.9%,+/-1.0,(X),(X),92.1%,+/-0.9
Percent bachelor's degree or higher,(X),(X),28.5%,+/-1.4,(X),(X),29.6%,+/-1.8,(X),(X),27.5%,+/-1.7
Population 25 to 34 years,"18,562",+/-328,(X),(X),"9,105",+/-199,(X),(X),"9,457",+/-238,(X),(X)
High school graduate or higher,"17,051",+/-455,91.9%,+/-1.8,"8,247",+/-294,90.6%,+/-2.4,"8,804",+/-305,93.1%,+/-2.5
Bachelor's degree or higher,"5,761",+/-667,31.0%,+/-3.5,"2,570",+/-418,28.2%,+/-4.4,"3,191",+/-410,33.7%,+/-4.3
Population 35 to 44 years,"20,393",+/-339,(X),(X),"10,548",+/-252,(X),(X),"9,845",+/-191,(X),(X)
High school graduate or higher,"19,518",+/-400,95.7%,+/-1.0,"10,100",+/-290,95.8%,+/-1.6,"9,418",+/-241,95.7%,+/-1.3
Bachelor's degree or higher,"7,399",+/-576,36.3%,+/-2.8,"3,826",+/-455,36.3%,+/-4.2,"3,573",+/-397,36.3%,+/-3.9
Population 45 to 64 years,"37,634",+/-328,(X),(X),"18,033",+/-225,(X),(X),"19,601",+/-280,(X),(X)
High school graduate or higher,"35,101",+/-525,93.3%,+/-1.1,"16,687",+/-365,92.5%,+/-1.7,"18,414",+/-376,93.9%,+/-1.2
Bachelor's degree or higher,"10,399",+/-746,27.6%,+/-1.9,"5,262",+/-446,29.2%,+/-2.4,"5,137",+/-469,26.2%,+/-2.3
Population 65 years and over,"19,461",+/-166,(X),(X),"8,485",+/-101,(X),(X),"10,976",+/-108,(X),(X)
High school graduate or higher,"16,713",+/-404,85.9%,+/-1.9,"7,397",+/-196,87.2%,+/-2.2,"9,316",+/-292,84.9%,+/-2.4
Bachelor's degree or higher,"3,833",+/-416,19.7%,+/-2.1,"2,026",+/-276,23.9%,+/-3.2,"1,807",+/-241,16.5%,+/-2.2
