Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,986,+/-27,(X),(X),522,+/-15,(X),(X),464,+/-23,(X),(X)
Less than high school graduate,298,+/-64,30.2%,+/-6.5,146,+/-56,28.0%,+/-10.9,152,+/-43,32.8%,+/-9.8
High school graduate (includes equivalency),290,+/-73,29.4%,+/-7.3,181,+/-49,34.7%,+/-9.4,109,+/-52,23.5%,+/-11.1
Some college or associate's degree,300,+/-72,30.4%,+/-7.0,138,+/-51,26.4%,+/-9.5,162,+/-56,34.9%,+/-11.4
Bachelor's degree or higher,98,+/-59,9.9%,+/-6.0,57,+/-48,10.9%,+/-9.1,41,+/-28,8.8%,+/-6.1
Population 25 years and over,"9,031",+/-29,(X),(X),"4,523",+/-44,(X),(X),"4,508",+/-31,(X),(X)
Less than 9th grade,425,+/-114,4.7%,+/-1.3,267,+/-89,5.9%,+/-2.0,158,+/-62,3.5%,+/-1.4
"9th to 12th grade, no diploma",831,+/-162,9.2%,+/-1.8,440,+/-84,9.7%,+/-1.9,391,+/-112,8.7%,+/-2.5
High school graduate (includes equivalency),"4,168",+/-270,46.2%,+/-3.0,"2,203",+/-189,48.7%,+/-4.2,"1,965",+/-160,43.6%,+/-3.6
"Some college, no degree","2,025",+/-250,22.4%,+/-2.8,934,+/-160,20.7%,+/-3.5,"1,091",+/-160,24.2%,+/-3.5
Associate's degree,554,+/-126,6.1%,+/-1.4,233,+/-88,5.2%,+/-2.0,321,+/-83,7.1%,+/-1.8
Bachelor's degree,736,+/-139,8.1%,+/-1.5,300,+/-82,6.6%,+/-1.8,436,+/-90,9.7%,+/-2.0
Graduate or professional degree,292,+/-81,3.2%,+/-0.9,146,+/-53,3.2%,+/-1.2,146,+/-57,3.2%,+/-1.3
Percent high school graduate or higher,(X),(X),86.1%,+/-2.0,(X),(X),84.4%,+/-2.3,(X),(X),87.8%,+/-2.6
Percent bachelor's degree or higher,(X),(X),11.4%,+/-1.9,(X),(X),9.9%,+/-2.2,(X),(X),12.9%,+/-2.4
Population 25 to 34 years,"1,355",+/-37,(X),(X),694,+/-13,(X),(X),661,+/-34,(X),(X)
High school graduate or higher,"1,155",+/-87,85.2%,+/-5.7,578,+/-56,83.3%,+/-7.9,577,+/-59,87.3%,+/-7.3
Bachelor's degree or higher,153,+/-81,11.3%,+/-6.0,46,+/-40,6.6%,+/-5.8,107,+/-55,16.2%,+/-8.4
Population 35 to 44 years,"1,576",+/-34,(X),(X),841,+/-30,(X),(X),735,+/-18,(X),(X)
High school graduate or higher,"1,423",+/-83,90.3%,+/-4.6,763,+/-49,90.7%,+/-4.8,660,+/-58,89.8%,+/-7.6
Bachelor's degree or higher,251,+/-83,15.9%,+/-5.2,84,+/-42,10.0%,+/-5.0,167,+/-61,22.7%,+/-8.2
Population 45 to 64 years,"3,774",+/-53,(X),(X),"1,908",+/-36,(X),(X),"1,866",+/-40,(X),(X)
High school graduate or higher,"3,395",+/-107,90.0%,+/-2.5,"1,679",+/-71,88.0%,+/-3.4,"1,716",+/-63,92.0%,+/-3.1
Bachelor's degree or higher,429,+/-109,11.4%,+/-2.9,200,+/-57,10.5%,+/-3.0,229,+/-71,12.3%,+/-3.8
Population 65 years and over,"2,326",+/-46,(X),(X),"1,080",+/-31,(X),(X),"1,246",+/-25,(X),(X)
High school graduate or higher,"1,802",+/-107,77.5%,+/-4.4,796,+/-69,73.7%,+/-6.7,"1,006",+/-69,80.7%,+/-5.2
Bachelor's degree or higher,195,+/-62,8.4%,+/-2.7,116,+/-46,10.7%,+/-4.3,79,+/-32,6.3%,+/-2.6
