RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"8,689",+/-41,(X),(X),"4,336",+/-36,(X),(X),"4,353",+/-47,(X),(X)
High school graduate or higher,"7,597",+/-203,87.4%,+/-2.3,"3,717",+/-116,85.7%,+/-2.7,"3,880",+/-132,89.1%,+/-2.8
Bachelor's degree or higher,938,+/-162,10.8%,+/-1.9,417,+/-91,9.6%,+/-2.1,521,+/-106,12.0%,+/-2.4
"White alone, not Hispanic or Latino","8,570",+/-18,(X),(X),"4,283",+/-18,(X),(X),"4,287",+/-18,(X),(X)
High school graduate or higher,"7,483",+/-196,87.3%,+/-2.3,"3,666",+/-119,85.6%,+/-2.8,"3,817",+/-120,89.0%,+/-2.8
Bachelor's degree or higher,920,+/-162,10.7%,+/-1.9,406,+/-90,9.5%,+/-2.1,514,+/-105,12.0%,+/-2.5
Black alone,35,+/-32,(X),(X),24,+/-22,(X),(X),11,+/-14,(X),(X)
High school graduate or higher,35,+/-32,100.0%,+/-48.2,24,+/-22,100.0%,+/-58.2,11,+/-14,100.0%,+/-85.9
Bachelor's degree or higher,0,+/-18,0.0%,+/-48.2,0,+/-18,0.0%,+/-58.2,0,+/-18,0.0%,+/-85.9
American Indian or Alaska Native alone,19,+/-17,(X),(X),10,+/-11,(X),(X),9,+/-10,(X),(X)
High school graduate or higher,19,+/-17,100.0%,+/-65.4,10,+/-11,100.0%,+/-90.1,9,+/-10,100.0%,+/-95.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-65.4,0,+/-18,0.0%,+/-90.1,0,+/-18,0.0%,+/-95.0
Asian alone,31,+/-14,(X),(X),7,+/-12,(X),(X),24,+/-13,(X),(X)
High school graduate or higher,13,+/-11,41.9%,+/-30.5,7,+/-12,100.0%,+/-100.0,6,+/-6,25.0%,+/-25.0
Bachelor's degree or higher,7,+/-12,22.6%,+/-33.1,7,+/-12,100.0%,+/-100.0,0,+/-18,0.0%,+/-58.2
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,70,+/-44,(X),(X),22,+/-25,(X),(X),48,+/-35,(X),(X)
High school graduate or higher,44,+/-36,62.9%,+/-33.6,15,+/-23,68.2%,+/-55.2,29,+/-29,60.4%,+/-40.2
Bachelor's degree or higher,0,+/-18,0.0%,+/-33.3,0,+/-18,0.0%,+/-60.7,0,+/-18,0.0%,+/-41.1
Two or more races,88,+/-49,(X),(X),50,+/-50,(X),(X),38,+/-24,(X),(X)
High school graduate or higher,69,+/-57,78.4%,+/-32.1,43,+/-53,86.0%,+/-29.5,26,+/-22,68.4%,+/-38.3
Bachelor's degree or higher,8,+/-13,9.1%,+/-14.6,0,+/-18,0.0%,+/-40.3,8,+/-13,21.1%,+/-28.1
Hispanic or Latino Origin,207,+/-18,(X),(X),82,+/-43,(X),(X),125,+/-45,(X),(X)
High school graduate or higher,176,+/-32,85.0%,+/-15.0,73,+/-41,89.0%,+/-14.1,103,+/-51,82.4%,+/-21.5
Bachelor's degree or higher,18,+/-19,8.7%,+/-9.3,11,+/-16,13.4%,+/-17.6,7,+/-11,5.6%,+/-8.7
