RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"8,782",+/-43,(X),(X),"4,384",+/-27,(X),(X),"4,398",+/-33,(X),(X)
High school graduate or higher,"7,571",+/-190,86.2%,+/-2.0,"3,695",+/-111,84.3%,+/-2.4,"3,876",+/-120,88.1%,+/-2.6
Bachelor's degree or higher,"1,022",+/-172,11.6%,+/-2.0,440,+/-98,10.0%,+/-2.2,582,+/-108,13.2%,+/-2.5
"White alone, not Hispanic or Latino","8,663",+/-18,(X),(X),"4,324",+/-18,(X),(X),"4,339",+/-18,(X),(X)
High school graduate or higher,"7,457",+/-176,86.1%,+/-2.0,"3,637",+/-105,84.1%,+/-2.4,"3,820",+/-114,88.0%,+/-2.6
Bachelor's degree or higher,"1,001",+/-170,11.6%,+/-2.0,425,+/-97,9.8%,+/-2.2,576,+/-105,13.3%,+/-2.4
Black alone,55,+/-49,(X),(X),37,+/-33,(X),(X),18,+/-23,(X),(X)
High school graduate or higher,55,+/-49,100.0%,+/-38.4,37,+/-33,100.0%,+/-46.8,18,+/-23,100.0%,+/-67.2
Bachelor's degree or higher,0,+/-18,0.0%,+/-38.4,0,+/-18,0.0%,+/-46.8,0,+/-18,0.0%,+/-67.2
American Indian or Alaska Native alone,12,+/-11,(X),(X),5,+/-8,(X),(X),7,+/-11,(X),(X)
High school graduate or higher,12,+/-11,100.0%,+/-82.2,5,+/-8,100.0%,+/-100.0,7,+/-11,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-82.3,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-100.0
Asian alone,29,+/-11,(X),(X),6,+/-11,(X),(X),23,+/-12,(X),(X)
High school graduate or higher,13,+/-11,44.8%,+/-36.0,6,+/-11,100.0%,+/-100.0,7,+/-6,30.4%,+/-25.9
Bachelor's degree or higher,6,+/-11,20.7%,+/-35.7,6,+/-11,100.0%,+/-100.0,0,+/-18,0.0%,+/-59.4
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,54,+/-41,(X),(X),25,+/-26,(X),(X),29,+/-32,(X),(X)
High school graduate or higher,41,+/-39,75.9%,+/-36.5,17,+/-26,68.0%,+/-59.9,24,+/-31,82.8%,+/-33.7
Bachelor's degree or higher,0,+/-18,0.0%,+/-38.8,0,+/-18,0.0%,+/-57.0,0,+/-18,0.0%,+/-52.9
Two or more races,99,+/-32,(X),(X),66,+/-32,(X),(X),33,+/-16,(X),(X)
High school graduate or higher,83,+/-36,83.8%,+/-19.9,56,+/-34,84.8%,+/-18.7,27,+/-17,81.8%,+/-27.1
Bachelor's degree or higher,0,+/-18,0.0%,+/-25.7,0,+/-18,0.0%,+/-34.6,0,+/-18,0.0%,+/-49.6
Hispanic or Latino Origin,197,+/-15,(X),(X),95,+/-23,(X),(X),102,+/-17,(X),(X)
High school graduate or higher,179,+/-27,90.9%,+/-11.7,85,+/-27,89.5%,+/-15.6,94,+/-20,92.2%,+/-9.6
Bachelor's degree or higher,21,+/-23,10.7%,+/-11.9,15,+/-20,15.8%,+/-21.3,6,+/-11,5.9%,+/-10.2
