Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"18,146",+/-103,(X),(X),"9,340",+/-78,(X),(X),"8,806",+/-61,(X),(X)
Less than high school graduate,"4,788",+/-434,26.4%,+/-2.4,"2,761",+/-321,29.6%,+/-3.4,"2,027",+/-327,23.0%,+/-3.7
High school graduate (includes equivalency),"6,495",+/-576,35.8%,+/-3.1,"3,327",+/-385,35.6%,+/-4.1,"3,168",+/-395,36.0%,+/-4.5
Some college or associate's degree,"6,022",+/-551,33.2%,+/-3.0,"2,943",+/-480,31.5%,+/-5.1,"3,079",+/-321,35.0%,+/-3.6
Bachelor's degree or higher,841,+/-255,4.6%,+/-1.4,309,+/-153,3.3%,+/-1.6,532,+/-188,6.0%,+/-2.1
Population 25 years and over,"128,152",+/-98,(X),(X),"62,193",+/-82,(X),(X),"65,959",+/-67,(X),(X)
Less than 9th grade,"10,890",+/-738,8.5%,+/-0.6,"6,088",+/-542,9.8%,+/-0.9,"4,802",+/-433,7.3%,+/-0.7
"9th to 12th grade, no diploma","13,671",+/-953,10.7%,+/-0.7,"6,264",+/-591,10.1%,+/-0.9,"7,407",+/-581,11.2%,+/-0.9
High school graduate (includes equivalency),"46,063","+/-1,404",35.9%,+/-1.1,"22,961",+/-975,36.9%,+/-1.6,"23,102",+/-820,35.0%,+/-1.2
"Some college, no degree","25,202","+/-1,037",19.7%,+/-0.8,"11,928",+/-666,19.2%,+/-1.1,"13,274",+/-726,20.1%,+/-1.1
Associate's degree,"8,353",+/-625,6.5%,+/-0.5,"3,517",+/-382,5.7%,+/-0.6,"4,836",+/-490,7.3%,+/-0.7
Bachelor's degree,"15,620",+/-891,12.2%,+/-0.7,"7,392",+/-595,11.9%,+/-1.0,"8,228",+/-600,12.5%,+/-0.9
Graduate or professional degree,"8,353",+/-745,6.5%,+/-0.6,"4,043",+/-431,6.5%,+/-0.7,"4,310",+/-468,6.5%,+/-0.7
Percent high school graduate or higher,(X),(X),80.8%,+/-0.8,(X),(X),80.1%,+/-1.2,(X),(X),81.5%,+/-0.9
Percent bachelor's degree or higher,(X),(X),18.7%,+/-1.0,(X),(X),18.4%,+/-1.2,(X),(X),19.0%,+/-1.1
Population 25 to 34 years,"25,708",+/-114,(X),(X),"12,912",+/-83,(X),(X),"12,796",+/-91,(X),(X)
High school graduate or higher,"20,240",+/-584,78.7%,+/-2.2,"9,896",+/-359,76.6%,+/-2.7,"10,344",+/-353,80.8%,+/-2.6
Bachelor's degree or higher,"4,316",+/-460,16.8%,+/-1.8,"1,689",+/-245,13.1%,+/-1.9,"2,627",+/-343,20.5%,+/-2.7
Population 35 to 44 years,"25,069",+/-130,(X),(X),"12,554",+/-73,(X),(X),"12,515",+/-106,(X),(X)
High school graduate or higher,"20,258",+/-512,80.8%,+/-2.0,"10,038",+/-292,80.0%,+/-2.3,"10,220",+/-339,81.7%,+/-2.6
Bachelor's degree or higher,"4,697",+/-535,18.7%,+/-2.1,"2,158",+/-318,17.2%,+/-2.5,"2,539",+/-370,20.3%,+/-2.9
Population 45 to 64 years,"49,707",+/-123,(X),(X),"24,641",+/-83,(X),(X),"25,066",+/-85,(X),(X)
High school graduate or higher,"40,857",+/-659,82.2%,+/-1.3,"20,147",+/-473,81.8%,+/-1.9,"20,710",+/-368,82.6%,+/-1.5
Bachelor's degree or higher,"9,423",+/-711,19.0%,+/-1.4,"4,567",+/-453,18.5%,+/-1.8,"4,856",+/-401,19.4%,+/-1.6
Population 65 years and over,"27,668",+/-77,(X),(X),"12,086",+/-51,(X),(X),"15,582",+/-46,(X),(X)
High school graduate or higher,"22,236",+/-496,80.4%,+/-1.8,"9,760",+/-291,80.8%,+/-2.4,"12,476",+/-330,80.1%,+/-2.1
Bachelor's degree or higher,"5,537",+/-527,20.0%,+/-1.9,"3,021",+/-288,25.0%,+/-2.4,"2,516",+/-334,16.1%,+/-2.2
