Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"17,696",+/-165,(X),(X),"8,958",+/-154,(X),(X),"8,738",+/-70,(X),(X)
Less than high school graduate,"4,828",+/-570,27.3%,+/-3.2,"2,590",+/-351,28.9%,+/-3.9,"2,238",+/-374,25.6%,+/-4.3
High school graduate (includes equivalency),"6,395",+/-424,36.1%,+/-2.4,"3,577",+/-385,39.9%,+/-4.4,"2,818",+/-331,32.2%,+/-3.8
Some college or associate's degree,"5,896",+/-534,33.3%,+/-2.9,"2,561",+/-371,28.6%,+/-4.0,"3,335",+/-364,38.2%,+/-4.2
Bachelor's degree or higher,577,+/-147,3.3%,+/-0.8,230,+/-103,2.6%,+/-1.1,347,+/-107,4.0%,+/-1.2
Population 25 years and over,"126,571",+/-164,(X),(X),"61,390",+/-161,(X),(X),"65,181",+/-64,(X),(X)
Less than 9th grade,"10,544",+/-713,8.3%,+/-0.6,"5,697",+/-494,9.3%,+/-0.8,"4,847",+/-475,7.4%,+/-0.7
"9th to 12th grade, no diploma","13,784",+/-845,10.9%,+/-0.7,"6,216",+/-503,10.1%,+/-0.8,"7,568",+/-662,11.6%,+/-1.0
High school graduate (includes equivalency),"46,665","+/-1,436",36.9%,+/-1.1,"23,414",+/-955,38.1%,+/-1.6,"23,251",+/-943,35.7%,+/-1.4
"Some college, no degree","24,794","+/-1,127",19.6%,+/-0.9,"11,862",+/-817,19.3%,+/-1.3,"12,932",+/-679,19.8%,+/-1.0
Associate's degree,"7,826",+/-613,6.2%,+/-0.5,"3,138",+/-317,5.1%,+/-0.5,"4,688",+/-541,7.2%,+/-0.8
Bachelor's degree,"15,620",+/-857,12.3%,+/-0.7,"7,394",+/-517,12.0%,+/-0.8,"8,226",+/-526,12.6%,+/-0.8
Graduate or professional degree,"7,338",+/-580,5.8%,+/-0.5,"3,669",+/-359,6.0%,+/-0.6,"3,669",+/-380,5.6%,+/-0.6
Percent high school graduate or higher,(X),(X),80.8%,+/-0.7,(X),(X),80.6%,+/-1.1,(X),(X),81.0%,+/-1.0
Percent bachelor's degree or higher,(X),(X),18.1%,+/-0.8,(X),(X),18.0%,+/-1.0,(X),(X),18.2%,+/-1.0
Population 25 to 34 years,"25,557",+/-236,(X),(X),"12,850",+/-192,(X),(X),"12,707",+/-100,(X),(X)
High school graduate or higher,"19,595",+/-614,76.7%,+/-2.2,"9,562",+/-457,74.4%,+/-3.1,"10,033",+/-362,79.0%,+/-2.7
Bachelor's degree or higher,"4,132",+/-470,16.2%,+/-1.8,"1,550",+/-265,12.1%,+/-2.1,"2,582",+/-336,20.3%,+/-2.7
Population 35 to 44 years,"25,252",+/-160,(X),(X),"12,620",+/-70,(X),(X),"12,632",+/-126,(X),(X)
High school graduate or higher,"20,355",+/-515,80.6%,+/-1.9,"10,228",+/-318,81.0%,+/-2.4,"10,127",+/-383,80.2%,+/-2.9
Bachelor's degree or higher,"4,758",+/-545,18.8%,+/-2.1,"2,184",+/-353,17.3%,+/-2.8,"2,574",+/-336,20.4%,+/-2.6
Population 45 to 64 years,"49,686",+/-130,(X),(X),"24,581",+/-95,(X),(X),"25,105",+/-88,(X),(X)
High school graduate or higher,"41,667",+/-595,83.9%,+/-1.2,"20,593",+/-403,83.8%,+/-1.6,"21,074",+/-391,83.9%,+/-1.6
Bachelor's degree or higher,"9,354",+/-775,18.8%,+/-1.6,"4,797",+/-488,19.5%,+/-2.0,"4,557",+/-427,18.2%,+/-1.7
Population 65 years and over,"26,076",+/-84,(X),(X),"11,339",+/-51,(X),(X),"14,737",+/-57,(X),(X)
High school graduate or higher,"20,626",+/-454,79.1%,+/-1.7,"9,094",+/-284,80.2%,+/-2.4,"11,532",+/-304,78.3%,+/-2.0
Bachelor's degree or higher,"4,714",+/-450,18.1%,+/-1.7,"2,532",+/-288,22.3%,+/-2.5,"2,182",+/-260,14.8%,+/-1.8
