RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"113,152",+/-688,(X),(X),"54,569",+/-467,(X),(X),"58,583",+/-364,(X),(X)
High school graduate or higher,"92,645",+/-973,81.9%,+/-0.8,"44,527",+/-777,81.6%,+/-1.3,"48,118",+/-590,82.1%,+/-0.9
Bachelor's degree or higher,"21,462","+/-1,015",19.0%,+/-0.9,"10,399",+/-597,19.1%,+/-1.1,"11,063",+/-645,18.9%,+/-1.1
"White alone, not Hispanic or Latino","103,577",+/-189,(X),(X),"49,534",+/-187,(X),(X),"54,043",+/-38,(X),(X)
High school graduate or higher,"87,225",+/-865,84.2%,+/-0.8,"41,618",+/-697,84.0%,+/-1.3,"45,607",+/-525,84.4%,+/-1.0
Bachelor's degree or higher,"20,793",+/-990,20.1%,+/-1.0,"10,139",+/-606,20.5%,+/-1.2,"10,654",+/-623,19.7%,+/-1.1
Black alone,"6,590",+/-217,(X),(X),"3,266",+/-207,(X),(X),"3,324",+/-101,(X),(X)
High school graduate or higher,"5,157",+/-358,78.3%,+/-4.2,"2,644",+/-267,81.0%,+/-5.4,"2,513",+/-216,75.6%,+/-6.0
Bachelor's degree or higher,691,+/-200,10.5%,+/-3.0,270,+/-124,8.3%,+/-3.7,421,+/-151,12.7%,+/-4.5
American Indian or Alaska Native alone,224,+/-76,(X),(X),112,+/-47,(X),(X),112,+/-54,(X),(X)
High school graduate or higher,177,+/-61,79.0%,+/-15.2,100,+/-41,89.3%,+/-16.3,77,+/-38,68.8%,+/-22.2
Bachelor's degree or higher,22,+/-25,9.8%,+/-10.3,0,+/-27,0.0%,+/-23.2,22,+/-25,19.6%,+/-19.3
Asian alone,"1,396",+/-110,(X),(X),568,+/-74,(X),(X),828,+/-77,(X),(X)
High school graduate or higher,"1,230",+/-137,88.1%,+/-5.9,524,+/-91,92.3%,+/-7.9,706,+/-96,85.3%,+/-7.8
Bachelor's degree or higher,456,+/-206,32.7%,+/-15.3,191,+/-123,33.6%,+/-21.0,265,+/-124,32.0%,+/-15.3
Native Hawaiian and Other Pacific Islander alone,32,+/-23,(X),(X),9,+/-13,(X),(X),23,+/-23,(X),(X)
High school graduate or higher,32,+/-23,100.0%,+/-50.4,9,+/-13,100.0%,+/-95.0,23,+/-23,100.0%,+/-59.4
Bachelor's degree or higher,19,+/-24,59.4%,+/-48.8,9,+/-13,100.0%,+/-95.0,10,+/-20,43.5%,+/-56.5
Some other race alone,"3,756",+/-676,(X),(X),"2,246",+/-463,(X),(X),"1,510",+/-350,(X),(X)
High school graduate or higher,"1,903",+/-454,50.7%,+/-7.3,"1,214",+/-367,54.1%,+/-8.7,689,+/-229,45.6%,+/-11.5
Bachelor's degree or higher,121,+/-69,3.2%,+/-1.8,112,+/-67,5.0%,+/-3.0,9,+/-16,0.6%,+/-1.0
Two or more races,"1,421",+/-298,(X),(X),620,+/-163,(X),(X),801,+/-196,(X),(X)
High school graduate or higher,"1,099",+/-286,77.3%,+/-7.3,459,+/-155,74.0%,+/-13.0,640,+/-193,79.9%,+/-8.5
Bachelor's degree or higher,187,+/-113,13.2%,+/-7.4,82,+/-79,13.2%,+/-12.0,105,+/-65,13.1%,+/-7.3
Hispanic or Latino Origin,"13,767",*****,(X),(X),"7,396",*****,(X),(X),"6,371",*****,(X),(X)
High school graduate or higher,"7,555",+/-561,54.9%,+/-4.1,"4,130",+/-357,55.8%,+/-4.8,"3,425",+/-351,53.8%,+/-5.5
Bachelor's degree or higher,841,+/-252,6.1%,+/-1.8,352,+/-160,4.8%,+/-2.2,489,+/-143,7.7%,+/-2.3
