RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"114,916",+/-639,(X),(X),"55,505",+/-433,(X),(X),"59,411",+/-303,(X),(X)
High school graduate or higher,"93,159","+/-1,078",81.1%,+/-0.9,"44,751",+/-725,80.6%,+/-1.2,"48,408",+/-665,81.5%,+/-1.0
Bachelor's degree or higher,"21,786","+/-1,041",19.0%,+/-0.9,"10,388",+/-589,18.7%,+/-1.1,"11,398",+/-729,19.2%,+/-1.2
"White alone, not Hispanic or Latino","103,879",+/-183,(X),(X),"49,745",+/-176,(X),(X),"54,134",+/-47,(X),(X)
High school graduate or higher,"87,312",+/-853,84.1%,+/-0.8,"41,792",+/-566,84.0%,+/-1.1,"45,520",+/-587,84.1%,+/-1.1
Bachelor's degree or higher,"20,960",+/-961,20.2%,+/-0.9,"10,087",+/-556,20.3%,+/-1.1,"10,873",+/-690,20.1%,+/-1.3
Black alone,"6,393",+/-171,(X),(X),"3,119",+/-134,(X),(X),"3,274",+/-87,(X),(X)
High school graduate or higher,"5,201",+/-250,81.4%,+/-3.3,"2,578",+/-178,82.7%,+/-4.3,"2,623",+/-163,80.1%,+/-4.5
Bachelor's degree or higher,696,+/-240,10.9%,+/-3.7,286,+/-147,9.2%,+/-4.7,410,+/-154,12.5%,+/-4.6
American Indian or Alaska Native alone,326,+/-103,(X),(X),212,+/-86,(X),(X),114,+/-66,(X),(X)
High school graduate or higher,252,+/-97,77.3%,+/-16.5,154,+/-84,72.6%,+/-22.5,98,+/-63,86.0%,+/-16.7
Bachelor's degree or higher,23,+/-31,7.1%,+/-9.3,0,+/-27,0.0%,+/-13.2,23,+/-31,20.2%,+/-23.4
Asian alone,"1,463",+/-105,(X),(X),613,+/-73,(X),(X),850,+/-66,(X),(X)
High school graduate or higher,"1,282",+/-121,87.6%,+/-6.7,553,+/-87,90.2%,+/-8.7,729,+/-87,85.8%,+/-8.6
Bachelor's degree or higher,409,+/-164,28.0%,+/-10.9,170,+/-76,27.7%,+/-11.5,239,+/-118,28.1%,+/-13.4
Native Hawaiian and Other Pacific Islander alone,53,+/-34,(X),(X),20,+/-17,(X),(X),33,+/-31,(X),(X)
High school graduate or higher,53,+/-34,100.0%,+/-39.1,20,+/-17,100.0%,+/-63.7,33,+/-31,100.0%,+/-49.6
Bachelor's degree or higher,18,+/-22,34.0%,+/-32.1,8,+/-11,40.0%,+/-51.3,10,+/-20,30.3%,+/-43.7
Some other race alone,"2,679",+/-568,(X),(X),"1,699",+/-412,(X),(X),980,+/-249,(X),(X)
High school graduate or higher,"1,404",+/-363,52.4%,+/-7.5,930,+/-306,54.7%,+/-9.6,474,+/-145,48.4%,+/-10.2
Bachelor's degree or higher,111,+/-76,4.1%,+/-2.5,100,+/-73,5.9%,+/-3.9,11,+/-17,1.1%,+/-1.8
Two or more races,"1,346",+/-243,(X),(X),547,+/-150,(X),(X),799,+/-171,(X),(X)
High school graduate or higher,"1,037",+/-219,77.0%,+/-7.7,438,+/-145,80.1%,+/-12.3,599,+/-166,75.0%,+/-10.5
Bachelor's degree or higher,191,+/-88,14.2%,+/-5.8,65,+/-47,11.9%,+/-8.6,126,+/-84,15.8%,+/-9.0
Hispanic or Latino Origin,"14,018",*****,(X),(X),"7,517",*****,(X),(X),"6,501",*****,(X),(X)
High school graduate or higher,"7,399",+/-604,52.8%,+/-4.3,"3,866",+/-380,51.4%,+/-5.1,"3,533",+/-324,54.3%,+/-5.0
Bachelor's degree or higher,"1,010",+/-310,7.2%,+/-2.2,393,+/-178,5.2%,+/-2.4,617,+/-197,9.5%,+/-3.0
