Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"18,932",+/-110,(X),(X),"8,986",+/-71,(X),(X),"9,946",+/-67,(X),(X)
Less than high school graduate,"2,989",+/-392,15.8%,+/-2.1,"1,797",+/-291,20.0%,+/-3.2,"1,192",+/-249,12.0%,+/-2.5
High school graduate (includes equivalency),"5,068",+/-386,26.8%,+/-2.0,"2,577",+/-278,28.7%,+/-3.1,"2,491",+/-266,25.0%,+/-2.6
Some college or associate's degree,"8,892",+/-386,47.0%,+/-2.0,"3,756",+/-316,41.8%,+/-3.5,"5,136",+/-320,51.6%,+/-3.2
Bachelor's degree or higher,"1,983",+/-296,10.5%,+/-1.6,856,+/-189,9.5%,+/-2.1,"1,127",+/-235,11.3%,+/-2.4
Population 25 years and over,"123,257",+/-112,(X),(X),"58,704",+/-92,(X),(X),"64,553",+/-80,(X),(X)
Less than 9th grade,"3,242",+/-402,2.6%,+/-0.3,"1,443",+/-257,2.5%,+/-0.4,"1,799",+/-273,2.8%,+/-0.4
"9th to 12th grade, no diploma","9,738",+/-798,7.9%,+/-0.6,"4,824",+/-488,8.2%,+/-0.8,"4,914",+/-499,7.6%,+/-0.8
High school graduate (includes equivalency),"40,260","+/-1,092",32.7%,+/-0.9,"19,625",+/-782,33.4%,+/-1.3,"20,635",+/-750,32.0%,+/-1.2
"Some college, no degree","26,924",+/-900,21.8%,+/-0.7,"12,809",+/-674,21.8%,+/-1.1,"14,115",+/-653,21.9%,+/-1.0
Associate's degree,"10,822",+/-752,8.8%,+/-0.6,"4,910",+/-457,8.4%,+/-0.8,"5,912",+/-512,9.2%,+/-0.8
Bachelor's degree,"20,697",+/-894,16.8%,+/-0.7,"10,068",+/-542,17.2%,+/-0.9,"10,629",+/-658,16.5%,+/-1.0
Graduate or professional degree,"11,574",+/-752,9.4%,+/-0.6,"5,025",+/-481,8.6%,+/-0.8,"6,549",+/-538,10.1%,+/-0.8
Percent high school graduate or higher,(X),(X),89.5%,+/-0.8,(X),(X),89.3%,+/-1.0,(X),(X),89.6%,+/-0.9
Percent bachelor's degree or higher,(X),(X),26.2%,+/-1.0,(X),(X),25.7%,+/-1.2,(X),(X),26.6%,+/-1.2
Population 25 to 34 years,"25,928",+/-206,(X),(X),"12,867",+/-166,(X),(X),"13,061",+/-132,(X),(X)
High school graduate or higher,"23,514",+/-396,90.7%,+/-1.5,"11,591",+/-284,90.1%,+/-2.1,"11,923",+/-260,91.3%,+/-1.9
Bachelor's degree or higher,"7,934",+/-692,30.6%,+/-2.7,"3,391",+/-379,26.4%,+/-3.0,"4,543",+/-468,34.8%,+/-3.6
Population 35 to 44 years,"20,957",+/-225,(X),(X),"10,471",+/-177,(X),(X),"10,486",+/-126,(X),(X)
High school graduate or higher,"18,681",+/-389,89.1%,+/-1.5,"9,330",+/-292,89.1%,+/-2.3,"9,351",+/-211,89.2%,+/-2.0
Bachelor's degree or higher,"6,700",+/-563,32.0%,+/-2.6,"2,780",+/-343,26.5%,+/-3.1,"3,920",+/-347,37.4%,+/-3.4
Population 45 to 64 years,"47,913",+/-221,(X),(X),"23,485",+/-164,(X),(X),"24,428",+/-154,(X),(X)
High school graduate or higher,"43,494",+/-502,90.8%,+/-1.0,"21,161",+/-330,90.1%,+/-1.4,"22,333",+/-364,91.4%,+/-1.3
Bachelor's degree or higher,"11,849",+/-639,24.7%,+/-1.3,"5,733",+/-390,24.4%,+/-1.6,"6,116",+/-448,25.0%,+/-1.8
Population 65 years and over,"28,459",+/-138,(X),(X),"11,881",+/-69,(X),(X),"16,578",+/-95,(X),(X)
High school graduate or higher,"24,588",+/-419,86.4%,+/-1.5,"10,355",+/-238,87.2%,+/-2.0,"14,233",+/-302,85.9%,+/-1.8
Bachelor's degree or higher,"5,788",+/-405,20.3%,+/-1.4,"3,189",+/-320,26.8%,+/-2.7,"2,599",+/-268,15.7%,+/-1.6
