Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"19,415",+/-127,(X),(X),"9,183",+/-112,(X),(X),"10,232",+/-58,(X),(X)
Less than high school graduate,"2,731",+/-315,14.1%,+/-1.6,"1,593",+/-236,17.3%,+/-2.6,"1,138",+/-214,11.1%,+/-2.1
High school graduate (includes equivalency),"5,247",+/-468,27.0%,+/-2.4,"2,858",+/-323,31.1%,+/-3.4,"2,389",+/-333,23.3%,+/-3.3
Some college or associate's degree,"9,564",+/-491,49.3%,+/-2.5,"3,966",+/-337,43.2%,+/-3.7,"5,598",+/-344,54.7%,+/-3.3
Bachelor's degree or higher,"1,873",+/-310,9.6%,+/-1.6,766,+/-188,8.3%,+/-2.0,"1,107",+/-244,10.8%,+/-2.4
Population 25 years and over,"122,490",+/-127,(X),(X),"58,391",+/-107,(X),(X),"64,099",+/-64,(X),(X)
Less than 9th grade,"3,084",+/-357,2.5%,+/-0.3,"1,402",+/-221,2.4%,+/-0.4,"1,682",+/-249,2.6%,+/-0.4
"9th to 12th grade, no diploma","9,434",+/-842,7.7%,+/-0.7,"4,830",+/-550,8.3%,+/-0.9,"4,604",+/-440,7.2%,+/-0.7
High school graduate (includes equivalency),"41,381","+/-1,173",33.8%,+/-1.0,"20,187",+/-754,34.6%,+/-1.3,"21,194",+/-832,33.1%,+/-1.3
"Some college, no degree","27,825","+/-1,043",22.7%,+/-0.8,"13,224",+/-652,22.6%,+/-1.1,"14,601",+/-720,22.8%,+/-1.1
Associate's degree,"10,263",+/-701,8.4%,+/-0.6,"4,561",+/-404,7.8%,+/-0.7,"5,702",+/-523,8.9%,+/-0.8
Bachelor's degree,"19,679",+/-956,16.1%,+/-0.8,"9,391",+/-583,16.1%,+/-1.0,"10,288",+/-673,16.1%,+/-1.0
Graduate or professional degree,"10,824",+/-763,8.8%,+/-0.6,"4,796",+/-426,8.2%,+/-0.7,"6,028",+/-499,9.4%,+/-0.8
Percent high school graduate or higher,(X),(X),89.8%,+/-0.7,(X),(X),89.3%,+/-0.9,(X),(X),90.2%,+/-0.8
Percent bachelor's degree or higher,(X),(X),24.9%,+/-1.0,(X),(X),24.3%,+/-1.2,(X),(X),25.5%,+/-1.2
Population 25 to 34 years,"25,729",+/-279,(X),(X),"12,788",+/-251,(X),(X),"12,941",+/-183,(X),(X)
High school graduate or higher,"23,361",+/-466,90.8%,+/-1.9,"11,497",+/-346,89.9%,+/-2.6,"11,864",+/-265,91.7%,+/-1.9
Bachelor's degree or higher,"7,224",+/-611,28.1%,+/-2.4,"3,068",+/-401,24.0%,+/-3.2,"4,156",+/-349,32.1%,+/-2.6
Population 35 to 44 years,"20,730",+/-241,(X),(X),"10,342",+/-161,(X),(X),"10,388",+/-151,(X),(X)
High school graduate or higher,"18,620",+/-392,89.8%,+/-1.5,"9,212",+/-266,89.1%,+/-2.0,"9,408",+/-231,90.6%,+/-1.9
Bachelor's degree or higher,"6,165",+/-436,29.7%,+/-2.0,"2,586",+/-274,25.0%,+/-2.6,"3,579",+/-281,34.5%,+/-2.6
Population 45 to 64 years,"48,249",+/-232,(X),(X),"23,688",+/-194,(X),(X),"24,561",+/-153,(X),(X)
High school graduate or higher,"44,120",+/-421,91.4%,+/-0.8,"21,502",+/-327,90.8%,+/-1.2,"22,618",+/-280,92.1%,+/-1.1
Bachelor's degree or higher,"11,944",+/-633,24.8%,+/-1.3,"5,700",+/-403,24.1%,+/-1.7,"6,244",+/-398,25.4%,+/-1.6
Population 65 years and over,"27,782",+/-109,(X),(X),"11,573",+/-52,(X),(X),"16,209",+/-80,(X),(X)
High school graduate or higher,"23,871",+/-369,85.9%,+/-1.3,"9,948",+/-266,86.0%,+/-2.3,"13,923",+/-261,85.9%,+/-1.6
Bachelor's degree or higher,"5,170",+/-408,18.6%,+/-1.5,"2,833",+/-287,24.5%,+/-2.5,"2,337",+/-276,14.4%,+/-1.7
