RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"108,562",+/-198,(X),(X),"51,745",+/-119,(X),(X),"56,817",+/-114,(X),(X)
High school graduate or higher,"98,499",+/-667,90.7%,+/-0.6,"46,869",+/-399,90.6%,+/-0.7,"51,630",+/-450,90.9%,+/-0.8
Bachelor's degree or higher,"27,339","+/-1,096",25.2%,+/-1.0,"12,892",+/-651,24.9%,+/-1.3,"14,447",+/-730,25.4%,+/-1.3
"White alone, not Hispanic or Latino","107,258",+/-12,(X),(X),"51,039",+/-27,(X),(X),"56,219",+/-12,(X),(X)
High school graduate or higher,"97,742",+/-623,91.1%,+/-0.6,"46,474",+/-388,91.1%,+/-0.8,"51,268",+/-422,91.2%,+/-0.8
Bachelor's degree or higher,"27,010","+/-1,109",25.2%,+/-1.0,"12,749",+/-650,25.0%,+/-1.3,"14,261",+/-738,25.4%,+/-1.3
Black alone,"9,841",+/-102,(X),(X),"4,729",+/-49,(X),(X),"5,112",+/-84,(X),(X)
High school graduate or higher,"8,137",+/-273,82.7%,+/-2.6,"3,812",+/-177,80.6%,+/-3.7,"4,325",+/-162,84.6%,+/-3.1
Bachelor's degree or higher,"1,056",+/-203,10.7%,+/-2.1,385,+/-119,8.1%,+/-2.5,671,+/-158,13.1%,+/-3.1
American Indian or Alaska Native alone,252,+/-83,(X),(X),143,+/-63,(X),(X),109,+/-58,(X),(X)
High school graduate or higher,234,+/-81,92.9%,+/-6.7,125,+/-64,87.4%,+/-13.4,109,+/-58,100.0%,+/-23.7
Bachelor's degree or higher,47,+/-38,18.7%,+/-15.0,34,+/-40,23.8%,+/-24.6,13,+/-22,11.9%,+/-19.8
Asian alone,"1,362",+/-150,(X),(X),624,+/-105,(X),(X),738,+/-97,(X),(X)
High school graduate or higher,"1,258",+/-158,92.4%,+/-5.6,576,+/-105,92.3%,+/-7.4,682,+/-96,92.4%,+/-6.4
Bachelor's degree or higher,563,+/-163,41.3%,+/-12.1,316,+/-97,50.6%,+/-18.6,247,+/-108,33.5%,+/-15.2
Native Hawaiian and Other Pacific Islander alone,54,+/-24,(X),(X),19,+/-7,(X),(X),35,+/-20,(X),(X)
High school graduate or higher,54,+/-24,100.0%,+/-38.8,19,+/-7,100.0%,+/-65.4,35,+/-20,100.0%,+/-48.2
Bachelor's degree or higher,12,+/-19,22.2%,+/-29.8,0,+/-27,0.0%,+/-65.4,12,+/-19,34.3%,+/-39.7
Some other race alone,662,+/-210,(X),(X),311,+/-122,(X),(X),351,+/-127,(X),(X)
High school graduate or higher,406,+/-155,61.3%,+/-16.4,201,+/-96,64.6%,+/-19.0,205,+/-91,58.4%,+/-17.5
Bachelor's degree or higher,78,+/-58,11.8%,+/-8.6,26,+/-26,8.4%,+/-8.9,52,+/-53,14.8%,+/-13.3
Two or more races,"1,000",+/-172,(X),(X),420,+/-111,(X),(X),580,+/-130,(X),(X)
High school graduate or higher,887,+/-155,88.7%,+/-6.2,414,+/-112,98.6%,+/-2.3,473,+/-128,81.6%,+/-11.0
Bachelor's degree or higher,320,+/-117,32.0%,+/-9.9,145,+/-78,34.5%,+/-15.4,175,+/-87,30.2%,+/-12.9
Hispanic or Latino Origin,"2,009",+/-94,(X),(X),"1,042",+/-94,(X),(X),967,*****,(X),(X)
High school graduate or higher,"1,195",+/-216,59.5%,+/-10.3,621,+/-152,59.6%,+/-12.6,574,+/-137,59.4%,+/-14.2
Bachelor's degree or higher,398,+/-154,19.8%,+/-7.7,169,+/-90,16.2%,+/-8.7,229,+/-103,23.7%,+/-10.6
