RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"109,093",+/-234,(X),(X),"51,997",+/-158,(X),(X),"57,096",+/-111,(X),(X)
High school graduate or higher,"98,766",+/-786,90.5%,+/-0.7,"46,937",+/-492,90.3%,+/-0.9,"51,829",+/-465,90.8%,+/-0.8
Bachelor's degree or higher,"28,250","+/-1,165",25.9%,+/-1.1,"13,284",+/-675,25.5%,+/-1.3,"14,966",+/-720,26.2%,+/-1.3
"White alone, not Hispanic or Latino","107,743",+/-13,(X),(X),"51,306",+/-27,(X),(X),"56,437",+/-13,(X),(X)
High school graduate or higher,"97,903",+/-733,90.9%,+/-0.7,"46,472",+/-462,90.6%,+/-0.9,"51,431",+/-449,91.1%,+/-0.8
Bachelor's degree or higher,"27,947","+/-1,136",25.9%,+/-1.1,"13,142",+/-661,25.6%,+/-1.3,"14,805",+/-705,26.2%,+/-1.2
Black alone,"9,917",+/-186,(X),(X),"4,722",+/-110,(X),(X),"5,195",+/-119,(X),(X)
High school graduate or higher,"8,367",+/-345,84.4%,+/-2.8,"3,897",+/-213,82.5%,+/-3.8,"4,470",+/-225,86.0%,+/-3.4
Bachelor's degree or higher,"1,302",+/-275,13.1%,+/-2.8,438,+/-152,9.3%,+/-3.2,864,+/-187,16.6%,+/-3.6
American Indian or Alaska Native alone,275,+/-80,(X),(X),129,+/-63,(X),(X),146,+/-64,(X),(X)
High school graduate or higher,224,+/-82,81.5%,+/-12.9,97,+/-59,75.2%,+/-20.4,127,+/-63,87.0%,+/-18.1
Bachelor's degree or higher,53,+/-49,19.3%,+/-16.0,39,+/-43,30.2%,+/-30.3,14,+/-24,9.6%,+/-15.1
Asian alone,"1,384",+/-116,(X),(X),673,+/-85,(X),(X),711,+/-88,(X),(X)
High school graduate or higher,"1,298",+/-112,93.8%,+/-4.2,627,+/-85,93.2%,+/-5.9,671,+/-88,94.4%,+/-4.7
Bachelor's degree or higher,555,+/-153,40.1%,+/-11.0,323,+/-113,48.0%,+/-18.4,232,+/-95,32.6%,+/-12.1
Native Hawaiian and Other Pacific Islander alone,106,+/-43,(X),(X),37,+/-20,(X),(X),69,+/-40,(X),(X)
High school graduate or higher,106,+/-43,100.0%,+/-24.3,37,+/-20,100.0%,+/-46.8,69,+/-40,100.0%,+/-33.6
Bachelor's degree or higher,7,+/-15,6.6%,+/-15.5,0,+/-27,0.0%,+/-46.8,7,+/-15,10.1%,+/-21.4
Some other race alone,625,+/-246,(X),(X),349,+/-186,(X),(X),276,+/-95,(X),(X)
High school graduate or higher,219,+/-102,35.0%,+/-22.2,104,+/-64,29.8%,+/-28.5,115,+/-63,41.7%,+/-18.7
Bachelor's degree or higher,58,+/-43,9.3%,+/-7.6,23,+/-25,6.6%,+/-8.5,35,+/-36,12.7%,+/-11.7
Two or more races,"1,090",+/-219,(X),(X),484,+/-152,(X),(X),606,+/-140,(X),(X)
High school graduate or higher,992,+/-212,91.0%,+/-4.7,460,+/-148,95.0%,+/-6.8,532,+/-136,87.8%,+/-7.5
Bachelor's degree or higher,278,+/-104,25.5%,+/-9.2,80,+/-67,16.5%,+/-12.8,198,+/-92,32.7%,+/-12.8
Hispanic or Latino Origin,"2,095",+/-84,(X),(X),"1,090",+/-84,(X),(X),"1,005",*****,(X),(X)
High school graduate or higher,"1,192",+/-209,56.9%,+/-10.7,619,+/-153,56.8%,+/-15.8,573,+/-110,57.0%,+/-11.0
Bachelor's degree or higher,359,+/-132,17.1%,+/-6.6,165,+/-100,15.1%,+/-9.6,194,+/-80,19.3%,+/-8.0
