Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"9,300",+/-174,(X),(X),"4,330",+/-137,(X),(X),"4,970",+/-93,(X),(X)
Less than high school graduate,914,+/-162,9.8%,+/-1.8,571,+/-152,13.2%,+/-3.6,343,+/-110,6.9%,+/-2.2
High school graduate (includes equivalency),"2,806",+/-308,30.2%,+/-3.3,"1,558",+/-230,36.0%,+/-5.1,"1,248",+/-187,25.1%,+/-3.8
Some college or associate's degree,"4,996",+/-357,53.7%,+/-3.6,"2,004",+/-222,46.3%,+/-4.8,"2,992",+/-266,60.2%,+/-5.0
Bachelor's degree or higher,584,+/-160,6.3%,+/-1.7,197,+/-82,4.5%,+/-1.9,387,+/-134,7.8%,+/-2.7
Population 25 years and over,"44,699",+/-170,(X),(X),"21,180",+/-158,(X),(X),"23,519",+/-149,(X),(X)
Less than 9th grade,"1,637",+/-295,3.7%,+/-0.7,870,+/-194,4.1%,+/-0.9,767,+/-178,3.3%,+/-0.8
"9th to 12th grade, no diploma","4,395",+/-444,9.8%,+/-1.0,"2,057",+/-268,9.7%,+/-1.3,"2,338",+/-297,9.9%,+/-1.3
High school graduate (includes equivalency),"18,337",+/-638,41.0%,+/-1.4,"8,968",+/-426,42.3%,+/-2.0,"9,369",+/-418,39.8%,+/-1.8
"Some college, no degree","9,355",+/-557,20.9%,+/-1.3,"4,366",+/-348,20.6%,+/-1.6,"4,989",+/-401,21.2%,+/-1.7
Associate's degree,"3,499",+/-335,7.8%,+/-0.7,"1,523",+/-209,7.2%,+/-1.0,"1,976",+/-261,8.4%,+/-1.1
Bachelor's degree,"4,580",+/-369,10.2%,+/-0.8,"2,052",+/-262,9.7%,+/-1.2,"2,528",+/-254,10.7%,+/-1.1
Graduate or professional degree,"2,896",+/-321,6.5%,+/-0.7,"1,344",+/-199,6.3%,+/-0.9,"1,552",+/-210,6.6%,+/-0.9
Percent high school graduate or higher,(X),(X),86.5%,+/-1.2,(X),(X),86.2%,+/-1.6,(X),(X),86.8%,+/-1.5
Percent bachelor's degree or higher,(X),(X),16.7%,+/-1.0,(X),(X),16.0%,+/-1.4,(X),(X),17.3%,+/-1.3
Population 25 to 34 years,"6,928",+/-202,(X),(X),"3,355",+/-159,(X),(X),"3,573",+/-132,(X),(X)
High school graduate or higher,"5,997",+/-251,86.6%,+/-2.9,"2,811",+/-183,83.8%,+/-4.3,"3,186",+/-175,89.2%,+/-3.7
Bachelor's degree or higher,"1,113",+/-202,16.1%,+/-3.0,439,+/-111,13.1%,+/-3.5,674,+/-127,18.9%,+/-3.6
Population 35 to 44 years,"7,516",+/-215,(X),(X),"3,680",+/-157,(X),(X),"3,836",+/-156,(X),(X)
High school graduate or higher,"6,801",+/-255,90.5%,+/-2.1,"3,262",+/-187,88.6%,+/-3.6,"3,539",+/-179,92.3%,+/-2.7
Bachelor's degree or higher,"1,547",+/-258,20.6%,+/-3.4,735,+/-172,20.0%,+/-4.4,812,+/-151,21.2%,+/-3.8
Population 45 to 64 years,"18,202",+/-172,(X),(X),"8,911",+/-150,(X),(X),"9,291",+/-96,(X),(X)
High school graduate or higher,"16,313",+/-322,89.6%,+/-1.6,"8,017",+/-205,90.0%,+/-1.8,"8,296",+/-240,89.3%,+/-2.4
Bachelor's degree or higher,"3,177",+/-325,17.5%,+/-1.8,"1,319",+/-179,14.8%,+/-2.0,"1,858",+/-218,20.0%,+/-2.4
Population 65 years and over,"12,053",+/-72,(X),(X),"5,234",+/-55,(X),(X),"6,819",+/-39,(X),(X)
High school graduate or higher,"9,556",+/-293,79.3%,+/-2.4,"4,163",+/-177,79.5%,+/-3.4,"5,393",+/-179,79.1%,+/-2.6
Bachelor's degree or higher,"1,639",+/-218,13.6%,+/-1.8,903,+/-159,17.3%,+/-3.0,736,+/-129,10.8%,+/-1.9
