RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"40,219",+/-148,(X),(X),"18,986",+/-105,(X),(X),"21,233",+/-76,(X),(X)
High school graduate or higher,"35,208",+/-417,87.5%,+/-1.1,"16,564",+/-313,87.2%,+/-1.7,"18,644",+/-285,87.8%,+/-1.3
Bachelor's degree or higher,"7,113",+/-565,17.7%,+/-1.4,"3,193",+/-351,16.8%,+/-1.9,"3,920",+/-340,18.5%,+/-1.6
"White alone, not Hispanic or Latino","39,329",+/-27,(X),(X),"18,491",+/-27,(X),(X),"20,838",+/-27,(X),(X)
High school graduate or higher,"34,551",+/-401,87.9%,+/-1.0,"16,186",+/-298,87.5%,+/-1.6,"18,365",+/-270,88.1%,+/-1.3
Bachelor's degree or higher,"7,049",+/-556,17.9%,+/-1.4,"3,143",+/-347,17.0%,+/-1.9,"3,906",+/-340,18.7%,+/-1.6
Black alone,"3,002",+/-162,(X),(X),"1,475",+/-114,(X),(X),"1,527",+/-101,(X),(X)
High school graduate or higher,"2,424",+/-170,80.7%,+/-4.5,"1,221",+/-115,82.8%,+/-6.6,"1,203",+/-125,78.8%,+/-6.4
Bachelor's degree or higher,284,+/-121,9.5%,+/-4.1,144,+/-94,9.8%,+/-6.3,140,+/-63,9.2%,+/-4.1
American Indian or Alaska Native alone,86,+/-48,(X),(X),65,+/-44,(X),(X),21,+/-20,(X),(X)
High school graduate or higher,59,+/-41,68.6%,+/-27.6,44,+/-37,67.7%,+/-33.7,15,+/-17,71.4%,+/-41.9
Bachelor's degree or higher,10,+/-14,11.6%,+/-15.9,10,+/-14,15.4%,+/-20.8,0,+/-27,0.0%,+/-62.2
Asian alone,372,+/-69,(X),(X),188,+/-134,(X),(X),184,+/-121,(X),(X)
High school graduate or higher,367,+/-70,98.7%,+/-2.9,188,+/-134,100.0%,+/-14.7,179,+/-120,97.3%,+/-6.0
Bachelor's degree or higher,93,+/-74,25.0%,+/-22.4,46,+/-63,24.5%,+/-39.4,47,+/-50,25.5%,+/-32.1
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,296,+/-137,(X),(X),232,+/-113,(X),(X),64,+/-47,(X),(X)
High school graduate or higher,200,+/-113,67.6%,+/-24.8,160,+/-106,69.0%,+/-27.8,40,+/-32,62.5%,+/-30.8
Bachelor's degree or higher,17,+/-27,5.7%,+/-9.2,17,+/-27,7.3%,+/-11.4,0,+/-27,0.0%,+/-35.3
Two or more races,571,+/-147,(X),(X),192,+/-82,(X),(X),379,+/-123,(X),(X)
High school graduate or higher,497,+/-151,87.0%,+/-11.8,182,+/-80,94.8%,+/-6.2,315,+/-120,83.1%,+/-17.0
Bachelor's degree or higher,98,+/-63,17.2%,+/-9.9,42,+/-45,21.9%,+/-18.5,56,+/-40,14.8%,+/-10.9
Hispanic or Latino Origin,"1,410",+/-66,(X),(X),833,+/-57,(X),(X),577,+/-41,(X),(X)
High school graduate or higher,"1,053",+/-140,74.7%,+/-9.1,644,+/-106,77.3%,+/-10.2,409,+/-78,70.9%,+/-13.1
Bachelor's degree or higher,121,+/-80,8.6%,+/-5.8,89,+/-74,10.7%,+/-9.0,32,+/-27,5.5%,+/-4.7
