Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"9,325",+/-144,(X),(X),"4,359",+/-92,(X),(X),"4,966",+/-109,(X),(X)
Less than high school graduate,"1,057",+/-178,11.3%,+/-1.9,714,+/-161,16.4%,+/-3.7,343,+/-114,6.9%,+/-2.3
High school graduate (includes equivalency),"2,308",+/-252,24.8%,+/-2.6,"1,294",+/-205,29.7%,+/-4.5,"1,014",+/-162,20.4%,+/-3.2
Some college or associate's degree,"5,331",+/-350,57.2%,+/-3.8,"2,179",+/-229,50.0%,+/-5.4,"3,152",+/-251,63.5%,+/-5.0
Bachelor's degree or higher,629,+/-175,6.7%,+/-1.9,172,+/-66,3.9%,+/-1.5,457,+/-165,9.2%,+/-3.3
Population 25 years and over,"45,070",+/-154,(X),(X),"21,254",+/-118,(X),(X),"23,816",+/-128,(X),(X)
Less than 9th grade,"1,660",+/-265,3.7%,+/-0.6,799,+/-171,3.8%,+/-0.8,861,+/-166,3.6%,+/-0.7
"9th to 12th grade, no diploma","4,510",+/-407,10.0%,+/-0.9,"2,075",+/-274,9.8%,+/-1.3,"2,435",+/-285,10.2%,+/-1.2
High school graduate (includes equivalency),"18,691",+/-661,41.5%,+/-1.5,"9,208",+/-423,43.3%,+/-2.0,"9,483",+/-477,39.8%,+/-2.0
"Some college, no degree","8,982",+/-565,19.9%,+/-1.3,"4,386",+/-408,20.6%,+/-1.9,"4,596",+/-355,19.3%,+/-1.5
Associate's degree,"3,450",+/-315,7.7%,+/-0.7,"1,475",+/-220,6.9%,+/-1.0,"1,975",+/-243,8.3%,+/-1.0
Bachelor's degree,"4,771",+/-429,10.6%,+/-1.0,"2,014",+/-246,9.5%,+/-1.2,"2,757",+/-297,11.6%,+/-1.2
Graduate or professional degree,"3,006",+/-357,6.7%,+/-0.8,"1,297",+/-200,6.1%,+/-0.9,"1,709",+/-249,7.2%,+/-1.0
Percent high school graduate or higher,(X),(X),86.3%,+/-1.1,(X),(X),86.5%,+/-1.4,(X),(X),86.2%,+/-1.4
Percent bachelor's degree or higher,(X),(X),17.3%,+/-1.0,(X),(X),15.6%,+/-1.3,(X),(X),18.8%,+/-1.3
Population 25 to 34 years,"7,018",+/-221,(X),(X),"3,338",+/-153,(X),(X),"3,680",+/-149,(X),(X)
High school graduate or higher,"6,180",+/-265,88.1%,+/-2.6,"2,829",+/-191,84.8%,+/-4.3,"3,351",+/-174,91.1%,+/-3.4
Bachelor's degree or higher,"1,277",+/-264,18.2%,+/-3.8,452,+/-131,13.5%,+/-4.0,825,+/-183,22.4%,+/-5.0
Population 35 to 44 years,"7,627",+/-171,(X),(X),"3,734",+/-131,(X),(X),"3,893",+/-142,(X),(X)
High school graduate or higher,"6,886",+/-235,90.3%,+/-2.3,"3,305",+/-176,88.5%,+/-3.5,"3,581",+/-181,92.0%,+/-2.8
Bachelor's degree or higher,"1,567",+/-284,20.5%,+/-3.6,724,+/-173,19.4%,+/-4.3,843,+/-168,21.7%,+/-4.2
Population 45 to 64 years,"18,535",+/-185,(X),(X),"9,027",+/-138,(X),(X),"9,508",+/-122,(X),(X)
High school graduate or higher,"16,618",+/-341,89.7%,+/-1.6,"8,095",+/-197,89.7%,+/-2.0,"8,523",+/-244,89.6%,+/-2.4
Bachelor's degree or higher,"3,262",+/-346,17.6%,+/-1.8,"1,269",+/-184,14.1%,+/-2.0,"1,993",+/-257,21.0%,+/-2.6
Population 65 years and over,"11,890",+/-107,(X),(X),"5,155",+/-63,(X),(X),"6,735",+/-58,(X),(X)
High school graduate or higher,"9,216",+/-270,77.5%,+/-2.3,"4,151",+/-166,80.5%,+/-3.2,"5,065",+/-192,75.2%,+/-2.8
Bachelor's degree or higher,"1,671",+/-224,14.1%,+/-1.9,866,+/-139,16.8%,+/-2.7,805,+/-154,12.0%,+/-2.3
